station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Oakleigh Park,OKL,Great_Northern,,,51.63769,-0.16621,,,,,,,,,,,,,,,,GR_000033,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000033,,,,,False,
Palmers Green,PAL,Great_Northern,,,51.61882,-0.11034,,,,,,,,,,,,,,,,GR_000034,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000034,,,,,False,
Potters Bar,PBR,Great_Northern,,,51.69729,-0.19236,,,,,,,,,,,,,,,,GR_000035,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000035,,,,,False,
Royston,RYS,Great_Northern,,,52.05309,-0.02691,,,,,,,,,,,,,,,,GR_000036,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000036,,,,,False,
Sandy,SDY,Great_Northern,,,52.12474,-0.28117,,,,,,,,,,,,,,,,GR_000037,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000037,,,,,False,
Shepreth,STH,Great_Northern,,,52.11417,0.031332,,,,,,,,,,,,,,,,GR_000038,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000038,,,,,False,
St Neots ,SNO,Great_Northern,,,52.23158,-0.24741,,,,,,,,,,,,,,,,GR_000039,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000039,,,,,False,
Stevenage,SVG,Great_Northern,,,51.90169,-0.20711,,,,,,,,,,,,,,,,GR_000040,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000040,,,,,False,
Waterbeach,WBC,Great_Northern,,,52.26245,0.197386,,,,,,,,,,,,,,,,GR_000041,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000041,,,,,False,
Watlington,WTG,Great_Northern,,,52.67319,0.383327,,,,,,,,,,,,,,,,GR_000042,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000042,,,,,False,
Watton-at-Stone,WAS,Great_Northern,,,51.85636,-0.11972,,,,,,,,,,,,,,,,GR_000043,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000043,,,,,False,
Welham Green,WMG,Great_Northern,,,51.73635,-0.21069,,,,,,,,,,,,,,,,GR_000044,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000044,,,,,False,
Welwyn Garden City,WGC,Great_Northern,,,51.80105,-0.20407,,,,,,,,,,,,,,,,GR_000045,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000045,,,,,False,
Welwyn North,WLW,Great_Northern,,,51.8235,-0.19209,,,,,,,,,,,,,,,,GR_000046,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000046,,,,,False,
Winchmore Hill,WIH,Great_Northern,,,51.63395,-0.10089,,,,,,,,,,,,,,,,GR_000047,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000047,,,,,False,
