crs,is_terminus
ABD,
AUR,
AAT,
ACN,
ACH,
ADW,
AIR,
ADR,
AXP,
ALX,
ALO,
ASS,
ABC,
AND,
ANN,
ANL,
ARB,
ARD,
AUI,
ADS,
ASB,
ADN,
AGS,
ARG,
ARM,
ART,
ASF,
ATT,
AUK,
AVM,
AYR,
BIO,
BHC,
BSI,
BNV,
BSS,
BGI,
BNL,
BRR,
BRL,
BYL,
BHG,
BRN,
BSL,
BEL,
BLG,
BLH,
BBG,
BPT,
BKR,
BLA,
BAI,
BLT,
BGS,
BWG,
BCN,
BRC,
BEA,
BRO,
BDG,
BRA,
BYF,
BSU,
BUI,
BTS,
BUS,
CAC,
CBL,
CMO,
CBX,
CDD,
CDO,
CDR,
CRF,
CLU,
CML,
CAN,
CAY,
CAG,
CRS,
CDY,
CCT,
CHC,
CTE,
CKS,
CEA,
CYK,
CBC,
CBS,
COA,
CON,
CBD,
CKH,
CPA,
CRR,
COW,
CGD,
CNR,
CFF,
CKT,
COI,
CMY,
CRO,
CUA,
CUB,
CUP,
CUH,
DAG,
DAL,
DAK,
DAM,
DMR,
DLR,
DLY,
DLW,
DIN,
DRM,
DMC,
DFR,
DRU,
DMY,
DRN,
DST,
DBC,
DBE,
DUM,
DMF,
DUN,
DBL,
DCG,
DEE,
DFE,
DFL,
DKD,
DNL,
DNO,
DYC,
EKL,
ELT,
EST,
EGY,
EDP,
EDB,
ELG,
EKB,
EXG,
FRL,
FKG,
FKK,
FOC,
FLD,
FRN,
FOR,
FRS,
FTM,
FTW,
GAL,
GCH,
GAR,
GRS,
GRH,
GVE,
GGJ,
GFN,
GSC,
GIR,
GLC,
GLQ,
GLE,
GLF,
GLG,
GLT,
GOF,
GOL,
GBG,
GRK,
GRL,
GKC,
GKW,
GEA,
HMY,
HNC,
HNW,
HTW,
HKH,
HYM,
HLC,
HLU,
HMS,
HST,
HLF,
HLE,
HLW,
HLY,
HOZ,
HNT,
HYN,
INS,
IGD,
ING,
INK,
INP,
INV,
IVA,
INH,
INR,
IRV,
JHN,
JOR,
KEH,
KVD,
KNS,
KIL,
KMK,
KLM,
KPT,
KWN,
KBC,
KGH,
KGP,
KGE,
KIN,
KTR,
KDY,
KRK,
KKH,
KKN,
KWD,
KYL,
LDY,
LRG,
LNK,
LGB,
LGS,
LBT,
LAR,
LRH,
LAU,
LNZ,
LEU,
LEV,
LIN,
LSN,
LVG,
LHA,
LHE,
LCL,
LCS,
LCG,
LCC,
LHW,
LOC,
LND,
MLG,
MNC,
MYH,
MAX,
MAY,
MEY,
MIN,
MLN,
MON,
MTS,
MRR,
MPK,
MTH,
MFL,
MTV,
MOO,
MUI,
MUB,
NRN,
NEI,
NCK,
NEW,
NTN,
NOA,
NEG,
NWR,
NIT,
NBW,
NQU,
OBN,
PCN,
PYG,
PYJ,
PTK,
PTT,
PTH,
PIT,
PLK,
PWE,
PWW,
PLE,
PLW,
PMT,
PTG,
PLN,
PPK,
PST,
PRA,
PTW,
PTL,
QPK,
RAN,
RTN,
RSN,
RRN,
ROG,
ROS,
RYB,
RUT,
SLT,
SQH,
SCT,
SCH,
SFI,
SHL,
SLS,
SDM,
SHS,
SIN,
SLA,
SGL,
SBR,
SPR,
SPF,
SPS,
STV,
STT,
STG,
STN,
SOI,
STR,
STC,
STF,
SUM,
TAI,
TAY,
THB,
THT,
THS,
TRN,
TUL,
TWB,
TYL,
UDD,
UHA,
UTY,
WAF,
WMS,
WCL,
WKB,
WTA,
WES,
WFF,
WNL,
WCR,
WCK,
WLM,
WSH,
WDL,
YOK,
