station_name,crs,nlc,slug,latitude,longitude,operator_code,operator_name,minimum_connection_time,platform_count,staffing_level,step_free_category
Maghull,MAG,215500,maghull,53.50648347,-2.930857798,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Maghull North,MNS,6576,maghull-north,53.516,-2.922,ME,Merseyrail,5,2.0,Part Time,"A, Compliant step-free access to all platform(s)"
Manor Road,MNR,225300,manor-road,53.39479742,-3.171450295,ME,Merseyrail,5,2.0,Full Time,"B3, step-free access only to some platforms"
Meols,MEO,225400,meols,53.39945033,-3.154281087,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Moorfields,MRF,222600,moorfields,53.40857308,-2.989179871,ME,Merseyrail,10,,Full Time,"A, Compliant step-free access to all platform(s)"
Moreton (Merseyside),MRT,215100,moreton-merseyside,53.40793134,-3.113140165,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
New Brighton,NBN,215200,new-brighton,53.43727598,-3.049174288,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Old Roan,ORN,225800,old-roan,53.48690801,-2.951077083,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Ormskirk,OMS,228100,ormskirk,53.56896888,-2.88179342,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Orrell Park,OPK,224700,orrell-park,53.46191022,-2.963321542,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Overpool,OVE,215700,overpool,53.28414758,-2.924818617,ME,Merseyrail,5,2.0,Unstaffed,"A, Compliant step-free access to all platform(s)"
Port Sunlight,PSL,219800,port-sunlight,53.3492693,-2.99803707,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform"
Rice Lane,RIL,213100,rice-lane,53.45778328,-2.962324455,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform"
Rock Ferry,RFY,218900,rock-ferry,53.37289259,-3.010914905,ME,Merseyrail,2,4.0,Full Time,"B2, (refer to quick reference guide)"
Sandhills,SDL,224900,sandhills,53.42994809,-2.991497322,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Seaforth & Litherland,SFL,225000,seaforth-litherland,53.46611293,-3.005295121,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Southport,SOP,226200,southport,53.64652777,-3.00244063,ME,Merseyrail,5,6.0,Full Time,"A, Compliant step-free access to all platform(s)"
Spital,SPI,219900,spital,53.33995485,-2.993914447,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform"
St Michaels,STM,224800,st-michaels,53.37561787,-2.952804749,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Town Green,TWN,228300,town-green,53.54282147,-2.904490485,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
Wallasey Grove Road,WLG,215400,wallasey-grove-road,53.42801467,-3.069716325,ME,Merseyrail,5,2.0,Full Time,"B1, (refer to quick reference guide)"
Wallasey Village,WLV,226500,wallasey-village,53.422896,-3.069136355,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform"
Walton (Merseyside),WAO,225100,walton-merseyside,53.45622746,-2.965753228,ME,Merseyrail,5,2.0,Full Time,"B3, step-free access only to some platforms"
Waterloo (Merseyside),WLO,213300,waterloo-merseyside,53.47496593,-3.025543946,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
West Kirby,WKI,220100,west-kirby,53.37319127,-3.183769494,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)"
