station_name,crs,nlc,slug,latitude,longitude,operator_code,operator_name,minimum_connection_time,platform_count,staffing_level,step_free_category,word_count,first_word,last_word,character_count,initial_letter,final_letter,contains_hyphen,contains_apostrophe,contains_digits,starts_with_the,starts_with_st,contains_and,contains_central,contains_parkway,contains_junction,is_request_stop,is_interchange,route_count,service_count,is_terminus,is_branch_line,is_mainline,primary_hub,canonical_time_to_hub,route_groups,service_density,route_diversity_band,region,word_count_band,is_coastal,station_id,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Bromborough,BOM,219000,bromborough,53.32184733,-2.987788553,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",1,Bromborough,Bromborough,11,B,H,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,single,True,MER0017,MER0017,,,,,False,
Bromborough Rake,BMR,219100,bromborough-rake,53.32992372,-2.989476735,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Bromborough,Rake,16,B,E,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,multiple,True,MER0018,MER0018,,,,,False,
Brunswick,BRW,362300,brunswick,53.38217523,-2.975653248,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Brunswick,Brunswick,9,B,K,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Hunts Cross Line'],,single,Hunts Cross Line,single,False,MER0019,MER0019,,,,,False,
Capenhurst,CPU,218600,capenhurst,53.26018901,-2.942291644,ME,Merseyrail,5,2.0,Unstaffed,"B2, (refer to quick reference guide)",1,Capenhurst,Capenhurst,10,C,T,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Chester Line'],,single,Chester Line,single,False,MER0020,MER0020,,,,,False,
Conway Park,CNP,362400,conway-park,53.39337776,-3.022679178,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Conway,Park,11,C,K,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['New Brighton Line'],,single,New Brighton Line,multiple,True,MER0021,MER0021,,,,,False,
Cressington,CSG,222500,cressington,53.35876717,-2.912008275,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",1,Cressington,Cressington,11,C,N,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Hunts Cross Line'],,single,Hunts Cross Line,single,False,MER0022,MER0022,,,,,False,
Eastham Rake,ERA,212800,eastham-rake,53.30759993,-2.981171169,ME,Merseyrail,5,2.0,Full Time,"B3, step-free access only to some platforms",2,Eastham,Rake,12,E,E,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,multiple,True,MER0023,MER0023,,,,,False,
Ellesmere Port,ELP,212100,ellesmere-port,53.28220693,-2.896427988,ME,Merseyrail,5,2.0,Part Time,"B3, step-free access only to some platforms",2,Ellesmere,Port,14,E,T,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Ellesmere Port Line'],,single,Ellesmere Port Line,multiple,False,MER0024,MER0024,,,,,False,
Fazakerley,FAZ,212600,fazakerley,53.46878354,-2.93545612,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Fazakerley,Fazakerley,10,F,Y,False,False,False,False,False,False,False,False,False,False,,2,,,True,False,Liverpool Central,,"['Ormskirk Line', 'Headbolt Lane Line']",,few,Ormskirk Line,single,False,MER0025,MER0025,,,,,False,
Formby,FBY,235400,formby,53.55349222,-3.070916313,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Formby,Formby,6,F,Y,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,single,True,MER0026,MER0026,,,,,False,
Freshfield,FRE,235500,freshfield,53.56606861,-3.071838001,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Freshfield,Freshfield,10,F,D,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,single,True,MER0027,MER0027,,,,,False,
Green Lane,GNL,221800,green-lane,53.38327334,-3.01642303,ME,Merseyrail,5,2.0,Full Time,"C, no step-free access to any platform",2,Green,Lane,10,G,E,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,multiple,True,MER0028,MER0028,,,,,False,
Hall Road,HLR,222900,hall-road,53.49838894,-3.050682508,ME,Merseyrail,3,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Hall,Road,9,H,D,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,multiple,True,MER0029,MER0029,,,,,False,
Headbolt Lane,HBL,42500,headbolt-lane,53.49284,-2.87978,ME,Merseyrail,5,3.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Headbolt,Lane,13,H,E,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Headbolt Lane Line'],,single,Headbolt Lane Line,multiple,False,MER0030,MER0030,,,,,False,
Hightown,HTO,235600,hightown,53.52512005,-3.057076334,ME,Merseyrail,5,2.0,Full Time,"B1, (refer to quick reference guide)",1,Hightown,Hightown,8,H,N,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,single,True,MER0031,MER0031,,,,,False,
Hillside,HIL,223100,hillside,53.62212307,-3.024723262,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Hillside,Hillside,8,H,E,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Southport Line'],,single,Southport Line,single,True,MER0032,MER0032,,,,,False,
Hooton,HOO,219300,hooton,53.29721539,-2.977016928,ME,Merseyrail,5,4.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Hooton,Hooton,6,H,N,False,False,False,False,False,False,False,False,False,False,,3,,,True,False,Liverpool Central,,"['West Kirby Line', 'Chester Line', 'Ellesmere Port Line']",,few,West Kirby Line,single,True,MER0033,MER0033,,,,,False,
Hoylake,HYK,219400,hoylake,53.39022996,-3.178843698,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Hoylake,Hoylake,7,H,E,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['West Kirby Line'],,single,West Kirby Line,single,True,MER0034,MER0034,,,,,False,
Hunts Cross,HNX,223500,hunts-cross,53.36062783,-2.854946075,ME,Merseyrail,5,3.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Hunts,Cross,11,H,S,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Hunts Cross Line'],,single,Hunts Cross Line,multiple,False,MER0035,MER0035,,,,,False,
Kirkby (Merseyside),KIR,212400,kirkby-merseyside,53.48620351,-2.902833396,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",2,Kirkby,(Merseyside),19,K,),False,False,False,False,False,False,False,False,False,False,,0,,,False,True,Liverpool Central,,[],,single,,multiple,False,MER0036,MER0036,,,,,False,
Kirkdale,KKD,224500,kirkdale,53.4405479,-2.981506598,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Kirkdale,Kirkdale,8,K,E,False,False,False,False,False,False,False,False,False,False,,0,,,False,True,Liverpool Central,,[],,single,,single,False,MER0037,MER0037,,,,,False,
Leasowe,LSW,223700,leasowe,53.40805676,-3.099603994,ME,Merseyrail,5,2.0,Full Time,"A, Compliant step-free access to all platform(s)",1,Leasowe,Leasowe,7,L,E,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['West Kirby Line'],,single,West Kirby Line,single,True,MER0038,MER0038,,,,,False,
Little Sutton,LTT,215600,little-sutton,53.28553102,-2.943299129,ME,Merseyrail,5,2.0,Unstaffed,"B2, (refer to quick reference guide)",2,Little,Sutton,13,L,N,False,False,False,False,False,False,False,False,False,False,,1,,,True,False,Liverpool Central,,['Ellesmere Port Line'],,single,Ellesmere Port Line,multiple,False,MER0039,MER0039,,,,,False,
