station_id,route_id,station_name,crs,operator,route,county,latitude,longitude,is_interchange,major_interchange,is_terminus,branch_junction,is_junction,canonical_time_to,time_band,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,,route_groups,route_count,service_count,service_density,route_diversity_band,region,word_count_band,is_branch_line,is_mainline,is_coastal,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
GR_0001,GR_R0001,Aldermaston,AMT,Great_Western,,,51.40201112,-1.138770296,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0002,GR_R0002,Appleford,APF,Great_Western,,,51.63964272,-1.242139074,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0003,GR_R0003,Ascott-under-Wychwood,AUW,Great_Western,,,51.86734048,-1.564058135,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0004,GR_R0004,Ashchurch for Tewkesbury,ASC,Great_Western,,,51.99916912,-2.109057444,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0005,GR_R0005,Ashley Down,ASD,Great_Western,,,51.4786762,-2.5771154,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0006,GR_R0006,Avoncliff,AVF,Great_Western,,,51.33964614,-2.281339394,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0007,GR_R0007,Avonmouth,AVN,Great_Western,,,51.50012646,-2.698421372,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0008,GR_R0008,Barnstaple,BNP,Great_Western,,,51.07396111,-4.063153416,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0009,GR_R0009,Bath Spa,BTH,Great_Western,,,51.37768276,-2.357034178,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0010,GR_R0010,Bedminster,BMT,Great_Western,,,51.44008674,-2.594156901,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0011,GR_R0011,Bedwyn,BDW,Great_Western,,,51.37963498,-1.598795279,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0012,GR_R0012,Bere Alston,BAS,Great_Western,,,50.4855868,-4.200398271,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0013,GR_R0013,Bere Ferrers,BFE,Great_Western,,,50.45085678,-4.181881299,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,multiple,FALSE,TRUE,FALSE,,,,,FALSE,
GR_0014,GR_R0014,Betchworth,BTO,Great_Western,,,51.24818664,-0.266974147,,,,,,,,,,,,,,,,,,,,,[nan],1,1,low,single,,single,FALSE,TRUE,FALSE,,,,,FALSE,
