station_id,route_id,station_name,crs,operator,route,county,region,latitude,longitude,is_interchange,major_interchange,is_terminus1,branch_junction,is_junction,canonical_time_to_...,time_band,distance_from_..._km,distance_band,route_count,service_count,service_density,route_diversity_band,is_mainline,is_coastal,is_high_speed,distance_band,accessibility_score,difficulty_score,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,word_count_band
SO_0026,SO_R0026,Carshalton Beeches,CSB,Southern,,,,51.35741124,-0.169794788,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0027,SO_R0027,Caterham,CAT,Southern,,,,51.28213943,-0.078302765,,,TRUE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0028,SO_R0028,Cheam,CHE,Southern,,,,51.35547926,-0.214166523,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0029,SO_R0029,Chichester,CCH,Southern,['West Coastway'],West Sussex,,50.83204016,-0.781752603,,FALSE,TRUE,FALSE,FALSE,31.5,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0030,SO_R0030,Chipstead,CHP,Southern,,,,51.30932005,-0.169427771,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0031,SO_R0031,Christs Hospital,CHH,Southern,,,,51.0506779,-0.363547086,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0032,SO_R0032,Collington,CLL,Southern,['East Coastway'],East Sussex,,50.8392821,0.457878337,,FALSE,FALSE,FALSE,FALSE,72,60-120,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0033,SO_R0033,Cooden Beach,COB,Southern,['East Coastway'],East Sussex,,50.83336546,0.426874784,,FALSE,FALSE,FALSE,FALSE,67.5,60-120,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0034,SO_R0034,Cooksbridge,CBR,Southern,,,,50.90375256,-0.009198424,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0035,SO_R0035,Coulsdon South,CDS,Southern,['Brighton Main Line'],England,,51.31583718,-0.137884398,,FALSE,FALSE,FALSE,FALSE,18,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0036,SO_R0036,Coulsdon Town,CDN,Southern,,,,51.322434,-0.13432,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0037,SO_R0037,Cowden (Kent),CWN,Southern,['Uckfield Branch'],,,51.15563114,0.110041555,,,FALSE,FALSE,FALSE,60,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0038,SO_R0038,Crawley,CRW,Southern,,,,51.1122072,-0.186672649,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0039,SO_R0039,Crowborough,COH,Southern,['Uckfield Branch'],,,51.04638117,0.188023149,,,TRUE,FALSE,FALSE,60,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0040,SO_R0040,Doleham,DLH,Southern,,,,50.9187472,0.610702875,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0041,SO_R0041,Dorking (Main),DKG,Southern,['Arun Valley'],,,51.240927,-0.32423924,,,TRUE,FALSE,FALSE,55,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0042,SO_R0042,Dormans,DMS,Southern,['East Grinstead Branch'],,,51.15578598,-0.004302625,,,FALSE,FALSE,FALSE,55,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0043,SO_R0043,Durrington-on-Sea,DUR,Southern,['West Coastway'],,,50.81752228,-0.411461916,,FALSE,FALSE,FALSE,FALSE,31.5,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0044,SO_R0044,Earlswood Surrey,ELD,Southern,['Brighton Main Line'],Surrey,,51.22732507,-0.170821639,,FALSE,FALSE,FALSE,FALSE,22.5,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0045,SO_R0045,East Croydon ,ECR,Southern,"['Brighton Main Line', 'East Grinstead Branch', 'Uckfield Branch']",Greater London,,51.37500564,-0.092276539,,FALSE,TRUE,TRUE,FALSE,4.5,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0046,SO_R0046,East Dulwich,EDW,Southern,,,,51.46132011,-0.080717696,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0047,SO_R0047,East Grinstead,EGR,Southern,['East Grinstead Branch'],,,51.12626697,-0.017895018,,,TRUE,FALSE,FALSE,60,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0048,SO_R0048,East Worthing,EWR,Southern,['West Coastway'],,,50.82163957,-0.354885361,,,FALSE,FALSE,FALSE,65,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0049,SO_R0049,Eastbourne,EBN,Southern,['East Coastway'],East Sussex,,50.76936955,0.281258504,,FALSE,TRUE,FALSE,FALSE,54,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0050,SO_R0050,Edenbridge (Kent),EBR,Southern,,,,51.20843113,0.060654046,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0051,SO_R0051,Edenbridge Town,EBT,Southern,['Uckfield Branch'],,,51.20007799,0.067180931,,,FALSE,FALSE,FALSE,70,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0052,SO_R0052,Emsworth,EMS,Southern,['West Coastway'],,,50.85138028,-0.93878361,,FALSE,FALSE,FALSE,FALSE,36,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0053,SO_R0053,Epsom (Surrey),EPS,Southern,,,,51.3343926,-0.268778341,,,TRUE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0054,SO_R0054,Epsom Downs,EPD,Southern,,,,51.323687,-0.238954739,,,TRUE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0055,SO_R0055,Eridge,ERI,Southern,['Uckfield Branch'],,,51.08895742,0.201442672,,,FALSE,FALSE,FALSE,70,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0056,SO_R0056,Ewell East,EWE,Southern,,,,51.34529966,-0.241529469,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0057,SO_R0057,Falmer,FMR,Southern,['East Coastway'],,,50.86212415,-0.087383616,,FALSE,FALSE,FALSE,FALSE,27,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0058,SO_R0058,Faygate,FGT,Southern,,,,51.09588376,-0.26302061,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0059,SO_R0059,Fishbourne (Sussex),FSB,Southern,['West Coastway'],West Sussex,,50.83903838,-0.815088781,,FALSE,FALSE,FALSE,FALSE,36,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0060,SO_R0060,Fishersgate,FSG,Southern,,,,50.83422898,-0.219411,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0061,SO_R0061,Ford,FOD,Southern,"['West Coastway', 'Arun Valley']",West Sussex,,50.82956237,-0.578615542,,FALSE,FALSE,FALSE,FALSE,31.5,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0062,SO_R0062,Gipsy Hill,GIP,Southern,,,,51.42445509,-0.083830832,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0063,SO_R0063,Glynde,GLY,Southern,['East Coastway'],,,50.85916668,0.07008355,,FALSE,FALSE,FALSE,FALSE,36,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0064,SO_R0064,Godstone,GDN,Southern,,,,51.21815351,-0.050080252,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0065,SO_R0065,Goring-by-Sea,GBS,Southern,['West Coastway'],West Sussex,,50.8177157,-0.433076924,,FALSE,FALSE,FALSE,FALSE,36,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0066,SO_R0066,Hackbridge,HCB,Southern,['Sutton & Metro'],England,,51.37787262,-0.153904728,,FALSE,FALSE,FALSE,FALSE,40.5,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0067,SO_R0067,Ham Street,HMT,Southern,,,,51.0683774,0.854521617,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0068,SO_R0068,Hampden Park (Sussex),HMD,Southern,['East Coastway'],East Sussex,,50.79639828,0.27936748,,FALSE,FALSE,FALSE,FALSE,49.5,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0069,SO_R0069,Hassocks,HSK,Southern,['Brighton Main Line'],West Sussex,,50.92461282,-0.145952423,,FALSE,FALSE,FALSE,FALSE,27,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0070,SO_R0070,Haywards Heath,HHE,Southern,['Brighton Main Line'],West Sussex,,51.00525294,-0.105306765,,FALSE,TRUE,TRUE,FALSE,13.5,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0071,SO_R0071,Hever,HEV,Southern,['Uckfield Branch'],,,51.18140581,0.0950779,,,FALSE,FALSE,FALSE,65,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0072,SO_R0072,Holmwood,HLM,Southern,['Arun Valley'],,,51.18099754,-0.321090928,,,FALSE,FALSE,FALSE,70,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0073,SO_R0073,Horley,HOR,Southern,['Brighton Main Line'],Surrey,,51.16877025,-0.161052239,,FALSE,TRUE,FALSE,FALSE,13.5,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0074,SO_R0074,Horsham,HRH,Southern,['Arun Valley'],,,51.06605718,-0.319258917,,,TRUE,FALSE,FALSE,55,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0075,SO_R0075,Hove,HOV,Southern,['West Coastway'],Brighton and Hove,,50.8352109,-0.170687991,,FALSE,TRUE,FALSE,FALSE,22.5,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0076,SO_R0076,Hurst Green,HUR,Southern,,,,51.24442735,0.003945749,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0077,SO_R0077,Ifield,IFI,Southern,,,,51.11561646,-0.214772632,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0078,SO_R0078,Kenley,KLY,Southern,,,,51.32460105,-0.101215735,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0079,SO_R0079,Kingswood,KND,Southern,,,,51.29486144,-0.211456639,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0080,SO_R0080,Lancing,LAC,Southern,['West Coastway'],West Sussex,,50.82707775,-0.323099956,,FALSE,FALSE,FALSE,FALSE,27,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0081,SO_R0081,Leatherhead,LHD,Southern,,,,51.29875147,-0.333064888,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0082,SO_R0082,Leigh (Kent),LIH,Southern,,,,51.19389559,0.210506799,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0083,SO_R0083,Lewes,LWS,Southern,['East Coastway'],East Sussex,,50.87062711,0.011335211,,FALSE,TRUE,FALSE,FALSE,31.5,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0084,SO_R0084,Lingfield,LFD,Southern,['East Grinstead Branch'],,,51.17644755,-0.007158941,,,FALSE,FALSE,FALSE,50,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0085,SO_R0085,Littlehampton,LIT,Southern,['West Coastway'],West Sussex,,50.81010344,-0.545991819,,FALSE,TRUE,FALSE,FALSE,36,30-60,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0086,SO_R0086,Littlehaven,LVN,Southern,,,,51.0797438,-0.307969555,,,FALSE,,FALSE,,,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
SO_0087,SO_R0087,London Road (Brighton),LRB,Southern,['Brighton Main Line'],Brighton and Hove,,50.83665742,-0.136501977,,FALSE,FALSE,FALSE,FALSE,22.5,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,multiple
SO_0088,SO_R0088,Merstham,MHM,Southern,['Brighton Main Line'],Surrey,,51.26415181,-0.150223451,,FALSE,FALSE,FALSE,FALSE,22.5,0-30,,,1,1,low,single,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,single
