station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id
Bramhall,BML,Northern,,,53.35998386,-2.162236693,,,,,,,,,,,,,,,,NO_000060
Bramley (West Yorkshire),BLE,Northern,,,53.80599077,-1.63810801,,,,,,,,,,,,,,,,NO_000061
Brampton (Cumbria),BMP,Northern,,,54.93263673,-2.703813718,,,,,,,,,,,,,,,,NO_000062
Braystones,BYS,Northern,,,54.43954367,-3.543374836,,,,,,,,,,,,,,,,NO_000063
Bredbury,BDY,Northern,,,53.42296542,-2.109807325,,,,,,,,,,,,,,,,NO_000064
Bridlington,BDT,Northern,,,54.08414656,-0.198719149,,,,,,,,,,,,,,,,NO_000065
Brierfield,BRF,Northern,,,53.82454874,-2.236946834,,,,,,,,,,,,,,,,NO_000066
Brigg,BGG,Northern,,,53.54916351,-0.48611936,,,,,,,,,,,,,,,,NO_000067
Brighouse,BGH,Northern,,,53.69821366,-1.779439708,,,,,,,,,,,,,,,,NO_000068
Brinnington,BNT,Northern,,,53.43103407,-2.130899716,,,,,,,,,,,,,,,,NO_000069
Broad Green,BGE,Northern,,,53.40618138,-2.893466308,,,,,,,,,,,,,,,,NO_000070
Broadbottom,BDB,Northern,,,53.44099228,-2.016514951,,,,,,,,,,,,,,,,NO_000071
Brockholes,BHS,Northern,,,53.59716619,-1.770295861,,,,,,,,,,,,,,,,NO_000072
Bromley Cross (Lancs),BMC,Northern,,,53.61376394,-2.409600356,,,,,,,,,,,,,,,,NO_000073
Broomfleet,BMF,Northern,,,53.74015046,-0.673345968,,,,,,,,,,,,,,,,NO_000074
Bryn,BYN,Northern,,,53.49945144,-2.648183788,,,,,,,,,,,,,,,,NO_000075
Buckshaw Parkway,BSV,Northern,,,53.672825,-2.66447,,,,,,,,,,,,,,,,NO_000076
Burley Park,BUY,Northern,,,53.81217572,-1.577912469,,,,,,,,,,,,,,,,NO_000077
Burley-in-Wharfedale,BUW,Northern,,,53.90838882,-1.753521668,,,,,,,,,,,,,,,,NO_000078
Burnage,BNA,Northern,,,53.42192326,-2.215140157,,,,,,,,,,,,,,,,NO_000079
Burneside (Cumbria),BUD,Northern,,,54.35530768,-2.76621552,,,,,,,,,,,,,,,,NO_000080
Burnley Barracks,BUB,Northern,,,53.79124886,-2.258010878,,,,,,,,,,,,,,,,NO_000081
Burnley Central,BNC,Northern,,,53.79352327,-2.244969486,,,,,,,,,,,,,,,,NO_000082
Burnley Manchester Road,BYM,Northern,,,53.78497641,-2.248865862,,,,,,,,,,,,,,,,NO_000083
Burscough Bridge,BCB,Northern,,,53.60521267,-2.841741809,,,,,,,,,,,,,,,,NO_000084
Burscough Junction,BCJ,Northern,,,53.59803326,-2.840087989,,,,,,,,,,,,,,,,NO_000085
Buxton,BUX,Northern,,,53.26074338,-1.912870681,,,,,,,,,,,,,,,,NO_000086
Cark & Cartmel,CAK,Northern,,,54.17756612,-2.972830022,,,,,,,,,,,,,,,,NO_000087
Carnforth,CNF,Northern,,,54.12969095,-2.771228496,,,,,,,,,,,,,,,,NO_000088
Castleford,CFD,Northern,,,53.72409345,-1.354656247,,,,,,,,,,,,,,,,NO_000089
Castleton (Manchester),CAS,Northern,,,53.5918608,-2.178231774,,,,,,,,,,,,,,,,NO_000090
Castleton Moor,CSM,Northern,,,54.46728813,-0.946647941,,,,,,,,,,,,,,,,NO_000091
Cattal,CTL,Northern,,,53.99749566,-1.319772686,,,,,,,,,,,,,,,,NO_000092
Chapel-en-le-Frith,CEF,Northern,,,53.31224546,-1.918769577,,,,,,,,,,,,,,,,NO_000093
Chapeltown (South Yorkshire),CLN,Northern,,,53.46235417,-1.466268507,,,,,,,,,,,,,,,,NO_000094
Chassen Road,CSR,Northern,,,53.44617874,-2.368237145,,,,,,,,,,,,,,,,NO_000095
Chathill,CHT,Northern,,,55.53672988,-1.706378108,,,,,,,,,,,,,,,,NO_000096
Cheadle Hulme,CHU,Northern,,,53.37594578,-2.188302225,,,,,,,,,,,,,,,,NO_000097
Chelford (Cheshire),CEL,Northern,,,53.27086569,-2.279608703,,,,,,,,,,,,,,,,NO_000098
Cherry Tree,CYT,Northern,,,53.7328804,-2.518385495,,,,,,,,,,,,,,,,NO_000099
Chester-le-Street,CLS,Northern,,,54.85459856,-1.578018751,,,,,,,,,,,,,,,,NO_000100
Chinley,CLY,Northern,,,53.34030561,-1.944399045,,,,,,,,,,,,,,,,NO_000101
Chorley,CRL,Northern,,,53.65255337,-2.626775381,,,,,,,,,,,,,,,,NO_000102
Church & Oswaldtwistle,CTW,Northern,,,53.75035199,-2.390909816,,,,,,,,,,,,,,,,NO_000103
Church Fenton,CHF,Northern,,,53.82633993,-1.227441339,,,,,,,,,,,,,,,,NO_000104
Clapham (North Yorkshire),CPY,Northern,,,54.10539906,-2.409841839,,,,,,,,,,,,,,,,NO_000105
Clifton (Manchester),CLI,Northern,,,53.52223401,-2.314143209,,,,,,,,,,,,,,,,NO_000106
Clitheroe,CLH,Northern,,,53.87347985,-2.394338568,,,,,,,,,,,,,,,,NO_000107
Colne,CNE,Northern,,,53.85484616,-2.1811716,,,,,,,,,,,,,,,,NO_000108
Commondale,COM,Northern,,,54.48182216,-0.974983944,,,,,,,,,,,,,,,,NO_000109
Congleton,CNG,Northern,,,53.15787409,-2.192581008,,,,,,,,,,,,,,,,NO_000110
Conisbrough,CNS,Northern,,,53.48932729,-1.234332884,,,,,,,,,,,,,,,,NO_000111
Cononley,CEY,Northern,,,53.91726977,-2.011236378,,,,,,,,,,,,,,,,NO_000112
Corbridge,CRB,Northern,,,54.96630507,-2.018556061,,,,,,,,,,,,,,,,NO_000113
Corkickle,CKL,Northern,,,54.54167907,-3.582164579,,,,,,,,,,,,,,,,NO_000114
Cottingham,CGM,Northern,,,53.78166481,-0.406425104,,,,,,,,,,,,,,,,NO_000115
Cottingley,COT,Northern,,,53.76783456,-1.587702959,,,,,,,,,,,,,,,,NO_000116
Cramlington,CRM,Northern,,,55.0877699,-1.598597623,,,,,,,,,,,,,,,,NO_000117
Cross Gates,CRG,Northern,,,53.80491752,-1.450295749,,,,,,,,,,,,,,,,NO_000118
Crossflatts,CFL,Northern,,,53.85847792,-1.844887769,,,,,,,,,,,,,,,,NO_000119
Croston,CSO,Northern,,,53.66756883,-2.77774904,,,,,,,,,,,,,,,,NO_000120
Crowle,CWE,Northern,,,53.58975345,-0.81736252,,,,,,,,,,,,,,,,NO_000121
Cuddington,CUD,Northern,,,53.23993338,-2.59930339,,,,,,,,,,,,,,,,NO_000122
Daisy Hill,DSY,Northern,,,53.53946635,-2.515868885,,,,,,,,,,,,,,,,NO_000123
Dalston (Cumbria),DLS,Northern,,,54.84617418,-2.988848877,,,,,,,,,,,,,,,,NO_000124
Dalton (Cumbria),DLT,Northern,,,54.15424234,-3.179010182,,,,,,,,,,,,,,,,NO_000125
Danby,DNY,Northern,,,54.46643039,-0.910719291,,,,,,,,,,,,,,,,NO_000126
