crs,terminus
CBK,AXM|EXD|NEM|SAL|YVJ
CBL,CUB|DMR|EDB|GLC|GRS|LNK|LRH|MLN|MTH
CBN,BHM|EDB|EXD|NQY|PAD|PLY|PNZ
CBP,GFD|PAD|WEA
CBR,BAK|BAL|EBN|HGS|HHE|LWS|ORE|WSW|XSU
CBS,ADR|BHC|BHG|EDB|FTW|GRS|HLC|MLN
CBW,AFK|CBW|CHX|MAR|RAM|SPX|TON|XSI|XVJ
CBX,EDB|LEV
CBY,DID|EVE|GMV|HFD|OXF|PAD|WOF|WOP|WOS|WPH
CCC,MCN|PWL
CCH,BAL|BOG|BTN|CCH|GTW|HAV|HOV|HRH|LIT|PMH|PMS|SOU|WSW
CCT,GLC|NEI
CDB,CDB|CDF|CDQ|PPD
CDD,EDB|GLT|LEV|PTH
CDF,ABA|AGV|BGD|BGN|BHM|BPW|BRI|BYI|CDF|CMN|CNM|COY|CPH|CRE|CTR|EBB|EDB|EXD|FGH|FRO|GCR|HFD|HHD|MAN|MER|MFH|MST|NOT|PAD|PEN|PLY|PMD|PMH|PNZ|PPD|RHY|SWA|TAU|TRB|YSM
CDI,AXM|BNP|EXC|EXD|EXM|OKE|PGN
CDN,PUR|TAT
CDO,GLC|GRK|WMS
CDQ,ABA|BGD|BGN|BYI|CDB|CDF|CDQ|COY|CPH|MER|PEN|PPD|RHY|TRB|YSM
CDR,ADR|BHG|EDB|GLQ|HLC
CDS,BAK|BAL|BDM|BTN|HRH|PBO|REI|TBD|WSW
CDT,BHM|CDF|CNM|GCR|NOT|NWP
CDU,BRI|EXD|GCR|GMV|WOF|WOS
CDY,GLC|GRK
CEA,EDB|GLC
CED,BHM|EUS|MKC|NMP
CEF,BUX|MAN
CEH,BHM|CBG|GCR|LDS|LEI|NOT|SSD
CEL,BMH|CDF|CMN|CRE|EUS|FGH|MAN|MFH|PMD|SHR
CEN,BNG|CEN
CES,BTR|LST|SNF|WTM
CET,CET|COL|LST|WON
CEY,BDQ|CAR|LAN|LDS|SKI
CFB,CHX|HYS|LEW|NWX|TBW
CFC,CFC|SGE|WRM
CFD,GOO|HUL|KNO|LDS|MAN|MIA|NCL|SHF|WKK|YRK
CFF,GLC|NTN
CFH,BKG|FST|GRY|PSE|SFO|SOC|SRY
CFL,BDQ|CAR|LAN|LDS|SKI
CFN,AVN|BRI|CFN|SAL|SVB|WSM
CFO,AVP|AYS|MYB
CFR,ROM|SAL
CFS,AYW|BFF|BNG|CFS|DOG|PGR|PTM
CFT,BFR|DVP|FPK|GLM|KTN|LUT|ORP|SEV|WGC|WHP|XVJ
CGD,ADR|BHG|EDB|HLC
CGM,BDT|BEV|HUL|KGX|SCA|SHF|YRK
CGN,BGD|BGN|BYI|CDF|CPH|RHY|YSM
CGT,CGT|DAR
CGW,BID|WRX|WXC
CHC,ADR|BHC|BHG|EDB|FTW|GRS|HLC|MLN|SPR
CHD,ABD|BHM|BRI|CDF|DBY|EDB|GLC|LDS|LIV|MAN|NCL|NOT|NRW|PLY|PNZ|RDG|SHF|STP|YRK
CHE,BAK|BAL|DKG|EPS|HRH|XSU
CHF,ABD|BBN|BDT|BHM|BPN|BRI|CDF|DAR|EDB|GLC|HUL|LDS|LIV|LLD|MAN|MIA|NCL|PLY|PNZ|RCC|SCA|SHF|SLB|WKK|YRK
CHG,AFK|CHX|FKW|GLM|RAM|XVJ
CHH,BAL|BOG|CCH|GTW|HRH|PMH|PMS|WSW|XSU
CHI,CHI|LST
CHK,ASN|HOU|QRB|TWI|WOK|WYB
CHL,BAL|GTW|RDG|RDH|RDZ
CHM,BTR|CET|CLT|COL|HPQ|HWC|IPS|LST|NRW|SNF|STA|WTM|XFD
CHN,BIS|CBG|CHN|CMB|ELY|HFE|LST|SRA|SSD|TOM
CHO,DID|OXF|PAD|RDG|SWA
CHP,PUR|TAT
CHR,BCU|BMH|BSK|NEM|POO|SOU|WEY|WIN|WOK
CHT,CHT|NCL
CHU,ALD|BHM|BMH|BRI|CDF|CMN|CRE|EUS|FGH|MAC|MAN|MFH|PGN|PMD|RDG|SHR|SOT|SOU
CHW,FST|SOC|SRY
CHX,AFK|CBW|CHX|CST|DFD|DVP|GLM|GRV|HGS|HYS|MDE|ORP|RAM|SEV|TBW
CHY,ASN|BAL|BNS|CHY|QRB|SFR|SNS|WOK|WYB
CIC,APN|CIC|REG|SGH|SHZ
CIL,AFK|CBW|CHX|MAR|RAM|SPX|TON|XVJ
CIM,LLE|SHR|SWA
CIN,PAQ|SHQ
CIR,CMD|IMW|KWG|SRA|WJH|WJL
CIT,AFK|CBW|CHX|CST|DVP|HGS|MDE|ORP|RAM|SEV|TBW|TON
CKH,GLC|PCN
CKL,BIF|CKL|LAN|MLM|PRE|SEL|WKG|WTH
CKN,EXD|NEM|PAD|SAL|YVJ
CKS,EKL|GLC
CKT,GLC|PCN
CKY,CDF|EBB|MST|NWP
CLA,EAD|GLD|RAY
CLC,BRI|EXD|GCR|NQY|PAD|PGN|PLY|PNZ|SAL|WEY|WSB|YVJ|YVP
CLD,AFK|CHX|CST|HGS|SEV|TBW|TON
CLE,BAU|CLE|LIV|MAT|NNG|NOT|SHF
CLG,EAD|GLD|RAY
CLH,BBN|CLH|MCV
CLI,MCV|SOP
CLK,CHX|HYS|LEW|NWX
CLL,AFK|BAK|BAL|BTN|EBN|HGS|HHE|ORE|PLG
CLM,CLE|CRE|GMB|LCN|MAT|NNG|NOT|PBO|STP
CLN,BNY|HUD|LDS|PNS|SHF|WKK
CLO,OBN
CLP,BAK|DLJ|WWR|XHZ
CLR,CDF|CLR|CMN|FGH|MAN|MFH
CLS,CAR|DAR|LIV|MAN|NCL|YRK
CLT,CLT|COL|LST|WON
CLU,CRS|EDB|GLC|GRS|LNK|MTH
CLV,LMS|MYB|SAV|WOF
CLW,AVP|AYS|MYB
CLY,CLY|LIV|MAN|NOT|NRW|SHF
CMA,BNP|CMA
CMB,BHM|CBG|CMB|ELY|KGX|KLN|LST|LWT|NRW|SSD
CMD,CMD|IMW|KWG|SRA|WJH|WJL
CME,DID|EVE
CMF,CLE|DBY|LCN|MAT|NOT
CMH,ABA|CDF|MER
CML,CRS|DMR|GLC|LIV|MTH|WFF
CMN,AYW|BPW|CDF|CMN|FGH|MAN|MFH|PAD|PMD|SHR|SWA|TEN
CMO,ABD|DBL|DEE|EDB|EUS|FKG|GLQ|INV
CMR,NRW|SHM
CMS,BHM|BIS|BTN|CBG|CMB|ELY|KGX|KLN|LST|LWT|NRW|SRA|SSD
CMY,BRR|EKL|GLC|KMK
CNA,MLG
CNE,CNE|PRE
CNF,BIF|CKL|CNF|LAN|LDS|MCM|MIA|MLM|PRE|SKI
CNG,BHM|BMH|BRI|EUS|MAN|PGN|RDG|SOT|SOU
CNL,BHM|BMH|COV|EUS|INV|MAN|MKC|NMP|WSL|WVH
CNM,ABD|BHM|BRI|CDF|CNM|EDB|GCR|GLC|GMV|LDS|MAN|NCL|NOT|NWP|PAD|PGN|PLY|PNZ|SSD|SWI|WOF|WOS
CNN,CMD|IMW|KWG|SRA|WJH|WJL
CNO,BRI|GCR|WEY|WSB
CNP,NBN|WKI
CNR,CNR|EDB|FTW|GLQ|MLG|OBN
CNS,AWK|DON|SHF
CNW,CTR|HHD|MIA|WBQ
CNY,BCC|CBG|GYM|LWT|NRW|SPO|XFD
COA,ADR|BHC|BHG|EDB|FTW|GRS|HLC|MLN
COB,AFK|BAK|BAL|BTN|EBN|HGS|HHE|ORE|PLG
COC,COH
COE,LOO|LSK
COH,COH|UCK|XSU
COI,GLC|NEI|NTN
COL,CET|CLT|COL|HPQ|HWC|IPS|LST|NRW|PBO|WON|XFD
COM,MBR|NCL|WTB
CON,CNR|DAL|GLQ|OBN
COO,BNE|MAI|MLW
COP,AXM|BNP|EXC|EXD|EXM|PGN
COR,COR|DBY|KET|MMO|STP
COS,AYW|BHI|BHM|CTR|HHD|LLJ|MAN|SHR|STA
COT,BDI|DEW|HBD|HUD|HUL|LDS|MAN|NCL|YRK
COV,BHM|BMH|COV|CRE|EDB|EUS|GLC|INV|LIV|LMS|MAN|MKC|NMP|NUN|RDG|SOU|WSL|WVH
COW,COW|DEE|EDB|GLQ|GLT|LEV|PTH
COY,CDF|COY|PEN
CPA,FTW|GLQ|MLG
CPG,BWR|CPG
CPH,BGD|BGN|BYI|CDF|CPH|PEN|RHY|YSM
CPK,EUS|WFH
CPM,BRI|CNM|OXF|PAD|PNZ|SAL|SOU|SWA|SWI|TAU|WOF|WSB|WSM
CPN,BNP|EXC
CPT,CHI|LST
CPU,CTR|HOO|XLV
CPW,BHM|CDF|CNM|EDB|GCR|NOT|NWP
CPY,LAN|LDS|MCM|SKI
CRA,BSW|DDG|KID|LMS|SAV|SBJ|WOF|WOS|WTE
CRB,CAR|HEX|HPL|MBR|MPT|NCL|NNT
CRD,BHM|BMV|FOK|LIC|LIF|LOB|RDC
CRE,BHI|BHM|BMH|BPN|CDF|CMN|CRE|CTR|EDB|EUS|FGH|GLC|HHD|INV|LCN|LIV|MAN|MFH|NMP|NOT|PMD|PRE|RUG|SHR|STA|STG|WRX
CRF,EDB|GLC
CRG,ABD|BBN|BHM|BPN|BRI|CDF|DAR|EDB|GLC|HFX|HUL|LDS|LIV|MAN|NCL|PLY|PNZ|RCC|SBY|SCA|SLB|YRK
CRH,BGV|GPO
CRI,BDM|BFR|BTN|COR|DBY|EGR|EPH|GTW|HNH|LUT|NOT|ORP|RAI|SAC|SHF|STP|SUO|TBD
CRK,BHI|BHM|CDF|CTR|HHD|LIV|LLJ|MAN|SHR
CRL,BIF|BPN|EDB|GLC|MAN|MIA|OXN|WDM
CRM,CHT|MPT|NCL
CRN,GTW|RDG|RDH|RDZ|SFR
CRO,ABD|ALO|ARB|DEE|EDB|GLQ|INV|KGX|PTH|SBR|STG
CRP,AYR|BFA|CRP
CRR,EDB|FTW|GLQ|MLG
CRS,CRS|EDB|EUS|GLC|GRS|MTH
CRT,AFK|CBW|CHX|MAR|RAM|SPX|TON|XVJ
CRU,CRU|OBN
CRV,CDF|CMN|CRE|CTR|FGH|HHD|LLE|LLO|MAN|MFH|PMD|SHR|SWA
CRW,BAL|BDM|BOG|CCH|GTW|HRH|PBO|PMH|PMS|WSW|XSU
CRY,BFR|CHX|CST|DFD|GLM|GRV
CSA,BRI|BTN|CDF|ESL|FRM|HOV|HRH|LIT|NEM|PMH|PMS|SOU|WIN|WOK|WSB
CSB,BAK|EPD|EPS|SRS|SUO|WCY|XSU
CSD,EAD|GLD|RAY
CSG,HNX|LVC|OMS|SDL
CSH,BAK|BAL|BDM|DKG|EPS|HRH|SAC|SUO|XSU
CSK,GSL|PLY
CSL,BHI|BHM|SHR
CSM,MBR|NCL|WTB
CSN,CSS|EAD|RAY
CSO,OMS|PRE
CSR,LIV|MCO|WAC
CSS,CSS|EAD|RAY
CST,AFK|CST|DFD|DVP|GRV|HGS|ORP|RAM|RTR|TBW|TON
CSW,AFK|CHX|CST|FAV|GLM|RAM|RTR|SPX|XVJ
CSY,BHI|BHM|BMH|EUS|HHD|LIV|MAN|RGL|SHR|WSL|WVH
CTB,CTB|OBN
CTE,DMR|GRS|LRH|MLN
CTF,BFR|DVP|FPK|KTN|LUT|ORP|SEV|WGC|WHP|XVJ
CTH,CLT|COL|GDP|HAF|HWV|LST|PDX|SNF|SOV
CTK,BDM|BFR|BTN|CBG|EGR|EPH|FPK|GLM|GTW|HNH|HRH|KTN|LUT|ORP|PBO|RAI|SAC|SEV|SUO|TBD|WGC|WHP
CTL,LDS|YRK
CTM,BFR|CST|DFD|DVP|FAV|GLM|KTN|LUT|MAR|PDW|RAI|RAM|RTR|SPX|TON|WHP|XVJ
CTN,CHX|CST|DFD|GLM|KTN|LUT|RAI|WHP|XKE
CTO,CLE|CRE|GMB|LCN|MAT|NCT|NOT
CTR,BHI|BHM|CDF|CRE|CTR|EUS|HHD|HOO|LIV|LLD|LLJ|MAN|MIA|SHR|SPT|WBQ|WRX|XLV
CTT,CDF|CMN|CRE|CTR|FGH|HHD|LLE|LLO|MAN|MFH|PMD|SHR|SWA
CTW,CNE|PRE
CUA,INV|WCK
CUB,CUB|DMR|EUS|FKG|GLQ|MLN|STG
CUD,CTR|MAN|SPT
CUF,FPK|HFN|KGX|LET|MOG|SVG
CUH,EDB|GLC|MTH
CUL,LAR
CUM,BAN|DID|EVE|OXF
CUP,ABD|DEE|DON|EDB|GLQ|KGX|PLY
CUS,ABX|HAF|HAY|HWV|MAI|PDX|RDG
CUW,CDF|CMN|FGH|MAN|MFH
CUX,GLM|MDW|PDW|SOO|SPX|TON
CWB,BHI|BHM|CDF|CRE|CTR|EUS|HHD|LIV|LLD|LLJ|MIA|SHR|WBQ|XOA
CWC,COL|MKT|SUY
CWD,NOT|WRK
CWE,CLE|DON|LIV|SCU|SHF
CWH,FPK|HFN|KGX|LET|MOG|SVG
CWL,BHM|HFD|PAD|WOS
CWM,AGV|CDF|CMN|CRE|CTR|FGH|HFD|HHD|MAN|MFH|PMD
CWN,UCK|XSU
CWS,AYW|BHI|SHR
CWU,CHX|CST|HGS|TON
CWX,ABX|HAF|HAY|HWV|MAI|PDX|RDG
CYA,OBN
CYB,BID|WRX|WXC
CYK,BHC|CRS|CUB|DMR|EDB|GLQ|HLC|MTH|OBN|RUT|SPR|WFF
CYN,LLE|SHR|SWA
CYP,BAK|BIK|CYP|DLJ|NWD|SRH|WCY|XHZ|XSU
CYS,ABA|CDB|CDF|MER|PPD|TRB
CYT,BBN|BPN|CNE|PRE|YRK
DAG,DEE|EDB|GLT|LEV|PTH
DAK,CRS|CUB|DMR|GRS|LRH|MLN|MTH|WFF
DAL,CNR|DAL|GLQ|OBN
DAM,ABD|COW|EDB|GLT|LEV|PTH
DAN,LCN|LDS|NOT|RET|SHF|WRK
DAR,ABD|BHM|BIA|BRI|CAR|CDF|CGT|DAR|DON|EDB|GLC|GLQ|INV|KGX|LIV|MAN|MBR|NCL|PLY|PNZ|RDG|SHD|SLB|YRK
DAS,BHM|SHR
DAT,QRB|SNS|WNR
DBC,ADR|BHC|BHG|DMR|EDB|FTW|GLQ|HLC|OBN|SBR|SPR
DBD,HUD|SHF
DBE,ADR|BHC|BHG|DMR|EDB|HLC|SPR
DBG,ROM|SAL
DBL,ABD|ARB|DBL|DEE|EDB|EUS|GLQ|INV|KGX|PTH
DBR,FLX|IPS
DBY,ABD|BHM|BMH|BRI|CDF|CLE|CRE|DBY|EDB|EMA|GCR|GLC|LCN|LDS|MAT|NCL|NOT|PLY|PNZ|RDG|SHF|STP|YRK
DCG,INV|KYL
DCH,BMH|NEM|SOU|WEY|WOK
DCT,ABA|CDF|MER
DCW,BRI|GCR|WEY|WSB
DDG,BAN|BMO|BSW|DDG|LMS|MAN|MYB|NCL|RDG|SAV|SBJ|WOF|WOS|YRK
DDK,FST|GRY|LES|PSE|SOC
DDP,AYW|BHI|BHM|BMH|BRI|CRE|CTR|EDB|EUS|GLC|HHD|LIV|LLJ|MAN|PGN|RDG|RGL|SHR|SOU|WSL|WVH
DEA,AFK|CHX|FAV|RAM|SPX
DEB,DEB|PBO
DEE,ABD|ARB|DEE|DON|EDB|GLQ|INR|INV|KGX|PLY|PTH
DEN,BRI|CDF|PMH|PMS|ROM|SAL|SOU|WSB
DEP,CST|DFD|GLM|KTN|LUT|RAI|WHP|XKE
DEW,BDI|DAR|DEW|HBD|HUD|HUL|LDS|LIV|MAN|NCL|RCC|SLB|YRK
DFD,CHX|CST|DFD|GLM|GRV|KTN|LUT|MDW|RAI|RTR|WHP|XKE|XVJ
DFE,COW|DEE|EDB|GLQ|GLT|LEV|PTH
DFI,CLE|DBY|LCN|MAT|NOT
DFL,COW|DEE|EDB|GLT|LEV|PTH
DFP,DFP|HHD
DFR,GLC|WMS
DGC,AYS|BCS|GER|HWY|MYB
DGL,CDF|COY|CPH|PEN
DGS,DGS|LVS
DGT,BIF|BPN|CKL|CLE|CTR|DON|EDB|GLC|HHD|LAN|LIV|LLJ|MAN|MCO|MIA|NCL|NOT|NRW|OXN|SHF|SOP|WAC|WDM|WGN
DGY,BFF|BHM|CRE|LIV|LLD|LLJ
DHM,ABD|BHM|BRI|CAR|CDF|DAR|DON|EDB|GLC|GLQ|INV|KGX|LGK|LIV|MAN|NCL|PLY|PNZ|RDG|YRK
DHN,BGH|HFX|HUD|HUL|LDS|MAN|MIA|NCL|RCC|SCA|YRK
DID,BAN|BPW|BRI|CDF|CMN|CNM|DID|EVE|NCL|OXF|PAD|PNZ|RDG|SLO|SWA|TAU|WOF|WOS|WSM
DIG,BNP|CDF|EXD|EXM|PGN
DIN,ARD|DIN|IGD|INV|KYL|TAI|WCK
DIS,IPS|LST|NRW|XFD
DKD,EDB|EUS|GLQ|INV|KGX|KIN
DKG,BAK|BAL|DKG|EAD|HRH
DKT,BAL|GTW|RDG|RDH|RDZ
DLG,BFF|LLD
DLH,AFK|EBN|HGS
DLJ,BAK|CYP|DLJ|SQE|WCY|WWR|XHZ
DLK,CMD|IMW|KWG|SRA|WJH|WJL
DLM,CTR|MAN|SPT
DLR,ADR|BHC|BHG|DMR|EDB|FTW|GLQ|HLC|OBN|SBR|SPR
DLS,CAR|WTH
DLT,BIF|CKL|LAN|MIA|MLM|PRE
DLW,DEE|EDB|EUS|GLQ|INV|KGX|KIN
DLY,ADN|ADS|ASB|AYR|GLC|LAR
DMC,ADR|BHC|BHG|DMR|EDB|HLC|LRH
DMF,CAR|DMF|GLC
DMG,CDF|TRB
DMH,BRI|CDF|GCR|PMH|SAL|SOU|WMN|WSB
DMK,BAK|BFR|CBW|DFD|DLJ|DVP|FKW|FPK|GLM|GRV|KTN|LUT|MDE|MDW|ORP|RTR|SEV|WGC|WHP|WWR|XHZ|XVJ
DMP,AFK|CHX|CST|FAV|GLM|RAM|RTR|SPX|XVJ
DMR,ADR|BHC|BHG|CRS|CUB|DMR|EDB|FTW|GLQ|HLC|LRH|MTH|OBN|RUT|SPR|WFF
DMS,BAK|BAL|BDM|EGR|WHP|WSW|XSU
DMY,ADR|BHC|BHG|DMR|EDB|HLC|LRH
DND,BIA|CAR|DAR|MBR|NCL|SLB
DNG,AFK|CHX|CST|HGS|SEV|TBW
DNL,AYR|CAR|DMF|GIR|GLC|KMK
DNM,AYS|BAN|BCS|GER|HWY|MYB|OXF|PRR
DNO,INV|WCK
DNS,BGD|BGN|BYI|CDF|CPH|RHY|YSM
DNT,CAR|LDS
DNY,MBR|NCL|WTB
DOC,EXD|GSL|LSK|PAD|PLY|PNZ
DOD,HUD|PNS|SHF
DOG,AYW|BNG|CFS|DOG
DOL,LLE|SHR|SWA
DON,ABD|AWK|BDI|BDQ|BDT|BEV|BHM|CLE|DON|EDB|GLQ|GOO|HGT|HUL|INV|KGX|LCN|LDS|LIV|LLD|MBR|NCL|RDG|SCA|SCU|SHF|SKI|SUN|YRK
DOR,CLE|LIV|MAN|NOT|NRW|SHF
DOT,CAR|HEX|MBR|MCE|MPT|NCL|NNT|PRU
DOW,DOW|ELY|KGX|KLN
DPD,GTW|RDG|RDH|RDZ
DPS,DPS|HHD
DPT,EXD|GSL|LSK|PAD|PLY|PNZ
DRF,BDT|HUL|SCA|SHF|YRK
DRG,GFD|PAD|WEA
DRI,BIF|CKL|LAN|MLM|PRE|WKG
DRM,ABD|BHM|BRI|CDF|DON|DUN|EDB|GLC|GLQ|HYM|INV|KGX|NBW|NCL|PLY|PNZ
DRN,INV|KYL
DRO,LDS|LIV|NOT|NRW|SHF
DRT,LDS|SHF|WKK
DRU,ADR|BHG|EDB|GRS|HLC|MLN
DSL,BUX|MAN
DSM,HPQ|IPS|LWT|NRW
DST,BHC|GRS|MLN|SPR
DSY,HBL|MCV|SOP|WGN|WGW
DTG,GLO|HDF|MAN
DTW,BHM|BSW|CDF|DDG|GMV|HFD|LMS|SAV|WOF|WOS
DUD,BHM|BMV|FOK|LIC|LIF|LOB|RDC|RGL|WSL|WVH
DUL,CBG|HPQ|IPS
DUM,DUM|GLC|PCN
DUN,ABD|BHM|BRI|CDF|DON|DUN|EDB|GLC|GLQ|INV|KGX|NCL|PLY|PNZ
DUO,DUO
DUR,BAL|BOG|BTN|CCH|HHE|LIT|PMH|PMS|SOU|WSW|XSU
DUU,BWK|XAA
DVC,COL|HWC|LST|MNG
DVH,BUX|MAN
DVN,BUX|CLE|HAZ|LIV|MAN|SHF
DVP,AFK|CHX|CST|DVP|FAV|FKW|RAM|SPX|XVJ
DVY,AYW|BHI|MCN|PWL|SHR
DWD,BFF|LLD
DWL,ABD|BHM|BRI|CDF|EDB|EXD|EXM|GCR|GLC|LDS|MAN|NCL|NQY|PAD|PGN|PLY|PNZ
DWN,BBN|CLH|MCV
DWW,ABD|BHM|BRI|CDF|EDB|EXD|EXM|GCR|GLC|LDS|MAN|NCL|NQY|PAD|PGN|PLY|PNZ
DYC,ABD|DEE|EDB|HNT|INR|INV|MTS
DYF,MCN|PWL
DYP,FPK|GDH|HFN|LET|MOG|SVG|WGC
DZY,KID|SAV|WOS
EAD,BMH|CSS|DKG|EAD|GLD|HMC|QRB|SHP|SOU|STW|TWI|WOK
EAG,BIA|CAR|DAR|KGX|LDS|LLD|MAN|MBR|NCL|RCC|SLB|SUN|YRK
EAL,ABX|GFD|HAF|HAY|HWV|MAI|OXF|PAD|PNZ|RDG|SNF
EAR,ACT|BNS|GTW|OXP|QRB|RDG|RDH|RDZ|SFR|SNS
EAS,BWK|XAA
EBA,BPN|CRE|EUS|GLC|LIV
EBB,CDF|EBB|MST|NWP
EBF,AFK|DVP|FAV|MAR|MDW|RAM|SPX
EBK,BGD|BGN|BYI|CDF|CPH|RHY|YSM
EBL,APN|CIC|REG|SGH|SHZ|SUN
EBN,AFK|BAK|BAL|BTN|EBN|HGS|HHE|ORE|PLG|WSW|XSU
EBR,BAL|RDH|TON
EBT,COH|UCK|XSU
EBV,CDF|EBB|MST|NWP
ECC,CKL|CTR|GLC|HHD|LAN|LIV|LLJ|MAN|MCV|MIA|NCL|WDM|WGN
ECL,BPN|LIV|PRE|WGN
ECP,BGD|BYI|CDF|PEN|RHY|YSM
ECR,BAK|BAL|BDM|BOG|BTN|CAT|CBG|CCH|EBN|ECR|EGR|GTW|HGS|HRH|LIT|LUT|ORE|OXT|PBO|PMH|PMS|REI|TBD|UCK|WFJ|WHP|WRH|WSW|XSU
ECS,CBG|NRW|SSD
EDA,EDA|HYM|INK
EDB,ABD|ADR|BHG|BHM|BRI|CDF|COW|CRS|DBL|DEE|DON|DUN|EDB|EUS|FTW|GLC|GLQ|GLT|GRS|HLC|HNT|HYM|INV|KGX|KIN|LEV|MIA|MLN|MTH|NBW|NCL|PLY|PNZ|PTH|SBR|TWB|XCN
EDG,BHM|BPN|CLE|CRE|CTR|DON|EUS|GLC|LIV|LLD|MAN|MCO|MCV|MIA|NCL|NOT|NRW|OXN|PRE|SHF|WAC|WGN
EDL,CLE|DON|LIV|MAN|NOT|NRW|SHF
EDN,CHX|HYS|LEW|NWX
EDP,ABD|ADR|BHG|DBL|EDB|EUS|FTW|GRS|HLC|INV|MLN
EDR,CHN|ENF|LST
EDS,PGN
EDW,BIK|ECR|NWD|SRS|SUO|XSU
EDY,BIF|BPN|CLE|CRE|CTR|HHD|LIV|LLJ|MAN|MIA|SCA|WML|YRK
EFF,EAD|GLD|NEM|PMH|PMS|RAY
EFL,BAL|GLM|PDW|SOO|TON
EGF,BBN|BPN|EDB|HFX|HUL|LDS|MAN|NCL|RCC|SBY|SCA|YRK
EGG,AXM|BNP|EXC|EXD|EXM|PGN
EGH,AHT|ASN|QRB|RDZ|SNS|WKM|WOK|WYB
EGN,BDT|HUL|KGX|LDS|YRK
EGR,BAK|BAL|BDM|EGR|WHP|WSW|XSU
EGT,MBR|NCL|WTB
EGY,ABD|COW|DEE|EDB|GLT|LEV|PTH
EIG,MLG
EKB,EDB|TWB
EKL,EKL|GLC
ELD,BAK|BAL|BDM|BOG|BTN|CBG|CCH|EBN|GTW|HGS|HRH|LIT|LUT|ORE|PBO|PMH|PMS|RDG|RDH|RDZ|TBD|WRH|WSW|XSU
ELE,CHX|HYS|LEW|NWX
ELG,ABD|DEE|EDB|ELG|INV|KYL
ELO,LIV|NOT|PBO|SKG
ELP,BKQ|CTR|ELP|HSB|LIV
ELR,BNY|HUD|LDS|PNS|SHF|WKK
ELS,BDM|BFR|BTN|COR|DBY|EGR|EPH|HNH|LUT|NOT|ORP|RAI|SAC|SHF|STP|SUO|TBD
ELT,DUN|EDB|NCL
ELW,CHX|CST|DFD|GRV|MDW|RAI|RTR|WHP|XVJ
ELY,BHM|CBG|COL|DBY|DOW|ELY|IPS|KGX|KLN|LIV|LST|LWT|MAN|NRW|PBO|SHF|SSD
EMA,DBY|EMA
EMD,DBY|LCN|LEI|NOT|NRW|SHF|STP
EML,AFK|BFR|CHX|EML|MDE|RAM|XVJ
EMP,RMF|XUP
EMS,BAL|BOG|BTN|GTW|HAV|HOV|HRH|LIT|PMH|PMS|SOU|WSW
ENC,CBG|FPK|GDH|HFN|KGX|LDS|LET|MOG|PBO|RYS|SVG
ENF,ENF|LST
ENL,BIS|ELY|HFE|LST|SRA
ENT,BBN|CLH|MCV
EPD,BAK|EPD|SUO|WCY
EPH,BDM|BFR|BKJ|BTN|EPH|FPK|HNH|KTN|LUT|MDE|ORP|PBO|RTR|SAC|SEV|SUO|TBD|WGC|WHP
EPS,BAK|BAL|DKG|EAD|EPS|GLD|HRH|RAY|XSU
ERA,BKQ|CTR|ELP|XLV
ERB,COH
ERD,BHM|BMV|FOK|LIC|LIF|LOB|RDC
ERH,CHX|CST|DFD|GLM|LUT|RAI|XKE
ERI,UCK|XSU
ERL,CTR|HHD|LIV|LLJ|MAN|MCV|MIA|NCL|WGN
ESD,CHX|CST|HGS|ORP|SEV|TBW
ESH,AHT|AON|BMH|BSK|EAD|GLD|NEM|QRB|SOU|WOK
ESL,BHM|BMH|BRI|BSK|BTN|ESL|LIT|MAN|NCL|NEM|PMH|POO|ROM|SAL|SOU|WEY|WIN|WOK|WSB
ESM,BIS|CBG|CMB|ELY|LST
EST,ADR|BHC|BHG|EDB|FTW|GRS|HLC|MLN
ESW,BSE|CBG|HPQ|IPS|PBO
ETC,CHX|CST|HGS|TON
ETL,BKG|FST|LES|PSE|SFO|SOC|SRY
EUS,BHM|BLY|BPN|CRE|CTR|EDB|EUS|GLC|HHD|INV|LIV|MAN|MKC|NMP|PRE|SAA|STG|TRI|WFH|WJL|WRX|WSL|WVH
EVE,DID|EVE|GMV|HFD|OXF|PAD|WOF|WOP|WOS|WPH
EWD,BSW|KID|SAV|WOS
EWE,BAK|BAL|DKG|EPS|HRH|XSU
EWR,BAL|BOG|BTN|CCH|HAV|LIT|PMH|PMS|SOU|WRH|WSW|WWO
EWW,DKG|EAD|GLD|RAY
EXC,AXM|BNP|CDF|EXC|EXD|EXM|NEM|OKE|PAD|PGN|SAL|YVJ
EXD,ABD|AXM|BHM|BNP|BRI|CDF|EDB|EXC|EXD|EXM|GCR|GLC|LDS|MAN|NCL|NEM|NQY|OKE|PAD|PGN|PLY|PNZ|SAL|YVJ
EXG,CRS|CUB|DMR|GRS|LRH|MLN|MTH|RUT|WFF
EXM,BNP|CDF|EXD|EXM|PGN
EXN,BNP|CDF|EXD|EXM|PGN
EXR,FPK|GDH|HFN|LET|MOG|SVG|WGC
EXT,BRI|CDF|EXD|EXM|PAD|PGN|PNZ
EYN,BFR|CHX|FPK|SEV|WGC|XVJ
FAL,FAL|PAR|TRU
FAV,AFK|CBW|CHX|CST|DVP|FAV|FKW|GLM|MAR|RAM|RTR|SPX|XVJ
FAZ,HBL|LVC
FBY,LVC|SOP
FCN,CHX|CST|DFD|GRV|RAI|RTR|XVJ
