crs,terminus
ATN,HBL|MCV|SOP|WGN|WGW
ATT,INV|KYL
AUD,BHM|BIS|CBG|CMB|ELY|LST|LWT|NRW|SRA|SSD
AUG,HNX|LVC|OMS
AUI,EDB|FTW|GLQ|OBN
AUK,CAR|DMF|GLC
AUR,EDB|GLT|LEV|PTH
AUW,DID|EVE|GMV|HFD|OXF|PAD|WOF|WOS|WPH
AVF,BRI|CDF|FRO|GCR|PMH|PMS|SAL|WEY|WMN|WSB
AVM,AVM|DEE|EDB|EUS|GLQ|INV|KGX
AVN,AVN|BRI|SAL|SVB|WSM
AVP,AVP|AYS|MYB
AVY,MCN|PWL
AWK,AWK|BDI|BDQ|DON|HGT|KGX|LDS|SHF|SKI
AWM,BTN|CBG|ELY|KGX|KLN|RYS
AWT,CAR|LDS
AXM,AXM|EXD|NEM|PAD|SAL|YVJ
AXP,BHC|GRS|MLN|SPR
AYH,DVP|FAV|XVJ
AYL,GLM|MDW|PDW|SOO|SPX|TON
AYP,BFR|CHX|CST|DFD|GLM|GRV
AYR,AYR|CRP|GIR|GLC|KMK|STR
AYS,AVP|AYS|MYB|PRR
AYW,AYW|BHI|BNG|CFS|CMN|DOG|MCN|SHR
BAA,BAA|BAL|BOG|BTN|CCH|GTW|HAV|HOV|HRH|LIT|PMH|PMS|SOU|WSW|XSU
BAB,BAL|BDM|BTN|CBG|ORE|WRH|WSW
BAC,CTR|HOO|XLV
BAD,BAK|EPD|WCY
BAG,ACT|AHT|FNH|QRB
BAH,LVC|SOP
BAI,ADR|BHC|BHG|EDB|FTW|GRS|HLC|MLN
BAJ,CDF|CMN|LLE|MFH|PMD|PTA|SWA
BAK,BAK|BTN|DKG|DLJ|ECR|EGR|EPD|EPS|HRH|OXT|SRH|SRS|SUO|TBD|WCY|WRH|XSU
BAL,BAK|BAL|BOG|BTN|CCH|DKG|EBN|ECR|EGR|EPD|EPS|GTW|HGS|HRH|LIT|ORE|OXT|PMH|PMS|REI|SRH|SRS|SUO|TBD|WCY|WFJ|WRH|WSW|XSU
BAM,CLE|DON|LIV|MAN|NOT|NRW|SHF
BAN,BAN|BHM|BMH|BMO|BSW|DID|MAN|MYB|NCL|OXF|PAD|RDG|SBJ|SOU|YRK
BAR,HHB|LAN|LDS|MCM
BAS,GSL|PLY
BAT,CHX|CST|HGS|TON
BAU,BAU|CLE|HUU
BAV,BAU|CLE
BAW,GTW|RDG|RDH|RDZ|SFR
BAY,FPK|HFN|LET|MOG|SVG
BBG,ABD|ALO|ARB|DEE|EDB|GLQ|INV|KGX|PTH|SBR|STG
BBK,BHI|BHM|SHR
BBL,BFR|FPK|SEV|WGC|XVJ
BBN,BBN|BPN|CLH|CNE|LDS|MCV|PRE|RCD|YRK
BBW,HUD|SHF
BCB,MCO|MCV|SOP|WGW
BCC,BCC|HPQ|IPS|LWT|NRW
BCE,ACT|BNS|OXP|QRB|RDZ|SNS|WKM
BCF,AYS|BAN|BCS|BMO|BSW|HWY|MYB|OXF
BCG,CDF|COY|PEN
BCH,AFK|CHX|CST|FAV|GLM|MAR|RAM|RTR|SPX|XVJ
BCJ,OMS|PRE
BCK,BID|WRX|WXC
BCN,GLC|WMS
BCS,BAN|BCS|BMO|BSW|MYB|SBJ
BCU,BCU|BHM|BMH|BSK|LYP|MAN|NEM|POO|SOU|WEY|WIN|WOK
BCV,CHN|ENF|LST
BCY,BAK|BDM|BTN|CAT|CBG|CYP|DLJ|ECR|EGR|EPS|HRH|PBO|SRH|SUO|TBD|WCY|XHZ|XSU
BCZ,BDM|BFR|BTN|COR|DBY|EGR|EPH|HNH|LUT|NOT|ORP|RAI|SAC|SHF|STP|SUO|TBD
BDA,BCC|CBG|GYM|LWT|NRW|SPO|XFD
BDB,GLO|HDF|MAN
BDC,ADS|BDC
BDD,KYL|UIG
BDF,BOD|PDT
BDG,CRS|CUB|DMR|GRS|LRH|MLN|MTH|WFF
BDH,BTN|FTN|GLD|HRH|LIT|NEM|PMH|PMS|SOU
BDI,BBN|BDI|BPN|HFX|HUL|KGX|LDS|RCD|YRK
BDK,BTN|CBG|ELY|KGX|KLN|RYS
BDL,LVC|SOP
BDM,BDM|BLY|BTN|COR|DBY|EGR|GTW|NOT|RAI|SHF|STP|TBD
BDN,RYP|RYR|SHN
BDQ,BDQ|ILK|KGX|LAN|LDS|SHY|SKI
BDS,ABX|HAF|HAY|HWV|MAI|PDX|RDG|SNF|WHX
BDT,BDT|HUL|SCA|SHF|YRK
BDW,BDW|EXD|FRO|NBY|NQY|NRC|PAD|PGN|PLY|PNZ|RDG|WSB
BDY,CLY|MAN|NMC|SHF
BEA,ABD|ARB|DBL|DEE|EDB|GLQ|INV|PTH
BEB,BKQ|CTR|ELP|XLV
BEC,BFR|DVP|FPK|KTN|LUT|ORP|SEV|WGC|WHP|XVJ
