station_id,station_name,crs,operator,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band,route,county
SO_000029,Chichester,CCH,Southern,50.831821,-0.783032,False,BAL|BOG|BTN|CCH|GTW|HAV|HOV|HRH|LIT|PMH|PMS|SOU|WSW,False,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR014,31.5,30-60,False,outer,,West Sussex
,City Thameslink,CTK,Southern,,,,BDM|BFR|BTN|CBG|EGR|EPH|FPK|GLM|GTW|HNH|HRH|KTN|LUT|ORP|PBO|RAI|SAC|SEV|SUO|TBD|WGC|WHP,False,,,,,,,,,,,,,,,,,0.0,,,,"['Thameslink Core', 'Southern Thameslink Branches']",Thameslink Core,False,True,False,multiple,False,False,SR019,0.0,,False,inner,,
,Clapham Junction,CLJ,Southern,51.464134,-0.170281,True,,True,,,,,,,,,,,,,4.0,4.0,high,many,4.5,0-30,8.0,2.0,"['Brighton Main Line', 'Portsmouth Direct']",Brighton Main Line,False,True,False,multiple,True,False,SR015,4.5,0-30,False,inner,,England
SO_000032,Collington,CLL,Southern,50.839272,0.457142,False,AFK|BAK|BAL|BTN|EBN|HGS|HHE|ORE|PLG,False,,,,,,,,,,,,,1.0,1.0,low,few,72.0,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR016,72.0,60-120,False,regional,,East Sussex
SO_000033,Cooden Beach,COB,Southern,50.83271,0.426969,False,AFK|BAK|BAL|BTN|EBN|HGS|HHE|ORE|PLG,False,,,,,,,,,,,,,1.0,1.0,low,few,67.5,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,multiple,False,False,SR017,67.5,60-120,False,regional,,East Sussex
,Cosham,CSA,Southern,50.841644,-1.068259,False,BRI|BTN|CDF|ESL|FRM|HOV|HRH|LIT|NEM|PMH|PMS|SOU|WIN|WOK|WSB,False,,,,,,,,,,,,,1.0,1.0,low,few,54.0,30-60,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR018,54.0,30-60,False,commuter,,England
SO_000035,Coulsdon South,CDS,Southern,51.315231,-0.13746,False,BAK|BAL|BDM|BTN|HRH|PBO|REI|TBD|WSW,False,,,,,,,,,,,,,1.0,1.0,low,few,18.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR019,18.0,0-30,False,inner,,England
,Cowden,CWN,Southern,,,,UCK|XSU,False,,,,,,,,,,,,,,,,,60.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR025,60.0,,False,commuter,,
,Crowborough,COH,Southern,,,,COH|UCK|XSU,False,,,,,,,,,,,,,,,,,60.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR026,60.0,,False,commuter,,
,Dorking,DKG,Southern,,,,BAK|BAL|DKG|EAD|HRH,False,,,,,,,,,,,,,,,,,55.0,,,,['Arun Valley'],Arun Valley,False,True,False,single,False,False,SR027,55.0,,False,commuter,,
