station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band
SR084,Southwick,SWK,,,,50.832928,-0.236254,False,,,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR084,31.5,30-60,False,outer
SR085,St Denys,SDN,,,,50.921997,-1.3882,False,,,,,,,,,,,,,,,1.0,1.0,low,few,57.5,30-60,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,multiple,False,False,SR085,57.5,30-60,False,commuter
SR086,St Leonards Warrior Square,SLQ,,,,50.855942,0.560326,False,,,,,,,,,,,,,,,1.0,1.0,low,few,85.5,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,multiple,False,False,SR086,85.5,60-120,False,regional
SR109,St Pancras International,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,"['Thameslink Core', 'Southern Thameslink Branches']",Thameslink Core,False,True,False,multiple,False,False,SR109,0.0,,False,inner
SR087,Stonegate,SOG,,,,51.020184,0.364016,False,,,,,,,,,,,,,,,1.0,1.0,low,few,67.5,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR087,67.5,60-120,False,regional
SR088,Streatham,STE,,,,51.425755,-0.131535,False,,,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR088,27.0,0-30,False,outer
SR089,Streatham Common,SRC,,,,51.418629,-0.136136,False,,,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,multiple,False,False,SR089,13.5,0-30,False,inner
SR090,Streatham Hill,SRH,,,,51.43829,-0.128136,False,,,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,multiple,False,False,SR090,13.5,0-30,False,inner
SR091,Sutton,SUO,,,,51.360126,-0.190223,True,,,,,,,,,,,,,,,1.0,1.0,low,few,49.5,30-60,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,single,True,False,SR091,49.5,30-60,False,commuter
SR092,Swanley,SAY,,,,51.392727,0.16755,False,,,,,,,,,,,,,,,1.0,1.0,low,few,4.5,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,single,False,False,SR092,4.5,0-30,False,inner
SR093,Swanwick,SNW,,,,50.875427,-1.265151,False,,,,,,,,,,,,,,,1.0,1.0,low,few,66.5,60-120,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR093,66.5,60-120,False,regional
SR094,Thornton Heath,TTH,,,,51.399181,-0.100981,False,,,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,multiple,False,False,SR094,13.5,0-30,False,inner
SR095,Three Bridges,TBD,,,,51.116863,-0.161162,False,,,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR095,13.5,0-30,False,inner
SR096,Tonbridge,TON,,,,51.191132,0.269715,False,,,,,,,,,,,,,,,1.0,1.0,low,few,45.0,30-60,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,single,False,False,SR096,45.0,30-60,False,commuter
SR097,Tulse Hill,TUH,,,,51.439713,-0.10506,False,,,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,multiple,False,False,SR097,22.5,0-30,False,outer
SR098,Tunbridge Wells,TBW,,,,51.130119,0.262435,False,,,,,,,,,,,,,,,1.0,1.0,low,few,54.0,30-60,2.0,8.0,['Uckfield Branch'],Uckfield Branch,True,False,False,multiple,False,False,SR098,54.0,30-60,False,commuter
SR122,Uckfield,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR122,85.0,,False,regional
SR123,Upper Warlingham,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,['Sutton & Metro'],Sutton & Metro,False,True,False,multiple,False,False,SR123,40.0,,False,outer
SR099,Wadhurst,WAD,,,,51.07338,0.312483,False,,,,,,,,,,,,,,,1.0,1.0,low,few,63.0,60-120,2.0,8.0,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR099,63.0,60-120,False,regional
SR125,Wallington,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR125,25.0,,False,outer
SR100,Wandsworth Common,WSW,,,,51.446072,-0.165239,False,,,,,,,,,,,,,,,1.0,1.0,low,few,9.0,0-30,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,multiple,False,False,SR100,9.0,0-30,False,inner
SR127,Warnham,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,['Arun Valley'],Arun Valley,False,True,False,single,False,False,SR127,60.0,,False,commuter
SR101,West Brompton,WBP,,,,51.487289,-0.195265,False,,,,,,,,,,,,,,,1.0,1.0,low,few,9.0,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,False,False,SR101,9.0,0-30,False,inner
SR102,West Norwood,WNW,,,,51.431583,-0.102517,False,,,,,,,,,,,,,,,1.0,1.0,low,few,18.0,0-30,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,multiple,False,False,SR102,18.0,0-30,False,inner
SR103,West St Leonards,WLD,,,,50.85368,0.540303,False,,,,,,,,,,,,,,,1.0,1.0,low,few,81.0,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,multiple,False,False,SR103,81.0,60-120,False,regional
SR131,West Sutton,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,['Sutton & Metro'],Sutton & Metro,False,True,False,multiple,False,False,SR131,30.0,,False,outer
SR104,West Worthing,WWO,,,,50.818111,-0.392983,False,,,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['West Coastway'],West Coastway,False,True,True,multiple,False,False,SR104,27.0,0-30,False,outer
SR133,Whyteleafe,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR133,35.0,,False,outer
SR105,Winchester,WIN,,,,51.067303,-1.320628,False,,,,,,,,,,,,,,,1.0,1.0,low,few,48.5,30-60,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR105,48.5,30-60,False,commuter
SR106,Wivelsfield,WVF,,,,50.964249,-0.121633,False,,,,,,,,,,,,,,,1.0,1.0,low,few,18.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR106,18.0,0-30,False,inner
SR136,Woldingham,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR136,45.0,,False,commuter
SR107,Worthing,WRH,,,,50.818768,-0.375924,False,,,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR107,22.5,0-30,False,outer
