station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band
SR026,Crowborough,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR026,60.0,,False,commuter
SR027,Dorking,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,['Arun Valley'],Arun Valley,False,True,False,single,False,False,SR027,55.0,,False,commuter
SR028,Dorking West,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,['Arun Valley'],Arun Valley,False,True,False,multiple,False,False,SR028,60.0,,False,commuter
SR029,Dormans,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,['East Grinstead Branch'],East Grinstead Branch,True,False,False,single,False,False,SR029,55.0,,False,commuter
SR020,Dunton Green,DNG,,,,51.296425,0.171616,False,,,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,False,False,SR020,31.5,30-60,False,outer
SR021,Durrington-on-Sea,DUR,,,,50.817463,-0.411463,False,,,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR021,31.5,30-60,False,outer
SR022,Earlswood,ELD,,,,51.227631,-0.171078,False,,,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR022,22.5,0-30,False,outer
SR023,East Croydon,ECR,,,,51.375679,-0.093335,False,,,,,,,,,,,,,,,1.0,1.0,low,few,4.5,0-30,2.0,8.0,"['Brighton Main Line', 'East Grinstead Branch', 'Uckfield Branch']",Brighton Main Line,True,False,False,multiple,False,False,SR023,4.5,0-30,False,inner
SR034,East Grinstead,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,['East Grinstead Branch'],East Grinstead Branch,True,False,False,multiple,False,False,SR034,60.0,,False,commuter
SR035,East Worthing,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,['West Coastway'],West Coastway,False,True,True,multiple,False,False,SR035,65.0,,False,regional
SR024,Eastbourne,EBN,,,,50.769085,0.281847,False,,,,,,,,,,,,,,,1.0,1.0,low,few,54.0,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR024,54.0,30-60,False,commuter
SR037,Edenbridge Town,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,multiple,False,False,SR037,70.0,,False,regional
SR025,Emsworth,EMS,,,,50.851326,-0.938784,False,,,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR025,36.0,30-60,False,outer
