station_name,crs,operator,route_groups,county,latitude,longitude,is_interchange,is_terminus,major_interchange,branch_junction,canonical_time_to_london,time_band,station_id,route_count,service_count,service_density,route_diversity_band,,is_branch_line,is_mainline,is_coastal,route_station_id,is_high_speed,distance_band,accessibility_score,difficulty_score,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,word_count_band
Cheam,CHE,Southern,,,51.35547926,-0.214166523,,FALSE,,,,,SO_000028,1,1,low,single,,FALSE,TRUE,FALSE,SO_000028,FALSE,,,,,,,,,,,,,,,,single
Chichester,CCH,Southern,['West Coastway'],West Sussex,50.83204016,-0.781752603,,TRUE,False,False,31.5,30-60,SO_000029,1,1,low,single,,FALSE,TRUE,FALSE,SO_000029,FALSE,,,,,,,,,,,,,,,,single
Chipstead,CHP,Southern,,,51.30932005,-0.169427771,,FALSE,,,,,SO_000030,1,1,low,single,,FALSE,TRUE,FALSE,SO_000030,FALSE,,,,,,,,,,,,,,,,single
Christs Hospital,CHH,Southern,,,51.0506779,-0.363547086,,FALSE,,,,,SO_000031,1,1,low,single,,FALSE,TRUE,FALSE,SO_000031,FALSE,,,,,,,,,,,,,,,,multiple
Collington,CLL,Southern,['East Coastway'],East Sussex,50.8392821,0.457878337,,FALSE,False,False,72,60-120,SO_000032,1,1,low,single,,FALSE,TRUE,FALSE,SO_000032,FALSE,,,,,,,,,,,,,,,,single
Cooden Beach,COB,Southern,['East Coastway'],East Sussex,50.83336546,0.426874784,,FALSE,False,False,67.5,60-120,SO_000033,1,1,low,single,,FALSE,TRUE,FALSE,SO_000033,FALSE,,,,,,,,,,,,,,,,multiple
Cooksbridge,CBR,Southern,,,50.90375256,-0.009198424,,FALSE,,,,,SO_000034,1,1,low,single,,FALSE,TRUE,FALSE,SO_000034,FALSE,,,,,,,,,,,,,,,,single
Coulsdon South,CDS,Southern,['Brighton Main Line'],England,51.31583718,-0.137884398,,FALSE,False,False,18,0-30,SO_000035,1,1,low,single,,FALSE,TRUE,FALSE,SO_000035,FALSE,,,,,,,,,,,,,,,,multiple
Coulsdon Town,CDN,Southern,,,51.322434,-0.13432,,FALSE,,,,,SO_000036,1,1,low,single,,FALSE,TRUE,FALSE,SO_000036,FALSE,,,,,,,,,,,,,,,,multiple
Cowden (Kent),CWN,Southern,['Uckfield Branch'],,51.15563114,0.110041555,,FALSE,,False,60,,SO_000037,1,1,low,single,,FALSE,TRUE,FALSE,SO_000037,FALSE,,,,,,,,,,,,,,,,multiple
