crs,terminus
LVN,BAL|BDM|BOG|CCH|GTW|HRH|PBO|PMH|PMS|WSW|XSU
LRB,BTN|EBN|HGS|LWS|NVH|ORE|SEF
MHM,BAK|BAL|BDM|BTN|HRH|PBO|REI|TBD|WSW
MTC,BAK|BAL|BDM|DKG|EPS|HRH|SAC|SUO|XSU
MIJ,BAK|BAL|BDM|DKG|EPS|HRH|SAC|SUO|XSU
MCB,BTN|EBN|HGS|LWS|NVH|ORE|SEF
NVH,BTN|LWS|NVH|SEF
NVN,BTN|LWS|NVH|SEF
NRB,BAK|BAL|BTN|ECR|EGR|EPD|GTW|ORE|PMH|REI|SRS|SUO|TBD|WFJ|WRH|WSW|XSU
NSB,AFK|BAL|BTN|HGS|HHE|ORE
NDL,BIK|ECR|NWD|SRS|SUO|XSU
NUT,BTN|HRH|LIT|PMH|PMS|SOU|WSW
NUF,RDH|TON
OLY,BAK|HRH
ORE,AFK|BAK|BAL|BTN|CHX|EBN|HGS|ORE|PLG
OXT,BAK|BAL|BDM|COH|EGR|OXT|UCK|WHP|WSW|XSU
PMR,BFR|DFD|FPK|GLM|GRV|KTN|LUT|ORP|SEV|WGC|WHP|XVJ
PHR,RDH|TON
PEV,AFK|BAK|BAL|BTN|EBN|HGS|HHE|ORE|PLG
PEB,AFK|BTN|HGS|HHE|ORE
PMP,BAK|BAL|EBN|HGS|HHE|LWS|ORE|PMP|WSW|XSU
PLG,BAK|BAL|BTN|EBN|HGS|HHE|LWS|ORE|PLG|WSW|XSU
PLD,BAL|BOG|BTN|CCH|HAV|HHE|LIT|PMH|PMS|SOU|WRH|WSW|WWO|XSU
PRP,BAK|BAL|BDM|BOG|BTN|CBG|HHE|LIT|WRH|WSW|XSU
PUL,BAL|BOG|CCH|GTW|HRH|PMH|PMS|WSW|XSU
PUR,BAK|BAL|BDM|BOG|BTN|CAT|CBG|CCH|EBN|GTW|HGS|HRH|LIT|LUT|ORE|PBO|PMH|PMS|PUR|REI|TAT|TBD|WRH|WSW|XSU
PUO,BAL|BDM|BTN|CAT|CBG|GTW|HRH|ORE|PBO|PMH|REI|TBD|WRH|WSW|XSU
QRP,BAK|BIK|DLJ|ECR|NWD|SRS|SUO|WWR|XHZ|XSU
RDH,BAK|BAL|BDM|BTN|GTW|HRH|LUT|ORE|PBO|RDG|RDH|RDZ|REI|TBD|TON|WRH|WSW
RHM,PUR|TAT
REI,BAK|BAL|GTW|RDG|RDH|RDZ|REI|WSW
RDD,BAK|BAL|BDM|EGR|OXT|UCK|WSW|XSU
RYE,AFK|EBN|HGS
SAF,BAK|BAL|BDM|BOG|BTN|CBG|GTW|HRH|LUT|ORE|PBO|PMH|RDG|RDH|RDZ|TBD|WRH|WSW
SNR,BAK|BAL|BDM|EGR|OXT|UCK|WHP|WSW|XSU
SEF,BTN|LWS|SEF
SRS,BAK|BAL|BDM|BOG|BTN|CCH|EBN|ECR|EGR|EPD|GTW|HGS|HRH|LIT|ORE|OXT|PBO|PMH|PMS|REI|SRS|SUO|TBD|WFJ|WRH|WSW|XSU
SSE,BAL|BOG|BTN|CCH|HAV|HHE|HOV|LIT|PMH|PMS|SOU|WRH|WSW|WWO|XSU
SBM,BIK|ECR|NWD|SRS|SUO|XSU
SCY,BAK|BAL|BDM|BTN|CAT|CBG|EGR|GTW|HRH|LUT|ORE|OXT|PBO|PMH|REI|TBD|UCK|WHP|WRH|WSW|XSU
SOB,BOG|BTN|GTW|HAV|HRH|LIT|PMH|PMS|SOU|WSW
SEE,BTN|SEF
SWK,BOG|BTN|CCH|HAV|LIT|PMH|PMS|SOU|WRH|WSW|WWO
STE,BDM|BTH|BTN|ECR|HOV|PBO|SAC|SRS|SUO|TBD|XSU
SRC,BAK|BAL|BDM|BTN|ECR|EGR|EPD|EPS|GTW|HRH|ORE|OXT|PBO|REI|SRS|SUO|TBD|WFJ|WRH|WSW|XSU
SRH,BAK|SRH|WCY|XSU
SUO,BAK|BAL|BDM|DKG|EPD|EPS|HRH|SAC|SRS|SUO|WCY|XSU
TAD,PUR|TAT
TAT,PUR|TAT
TTH,BAK|BAL|BTN|ECR|EGR|EPD|GTW|ORE|PMH|REI|SRS|SUO|TBD|WFJ|WRH|WSW|XSU
TBD,BAK|BAL|BDM|BOG|BTN|CBG|CCH|EBN|GTW|HGS|HRH|LIT|LUT|ORE|PBO|PMH|PMS|RDH|TBD|WRH|WSW|XSU
TOK,AFK|EBN|HGS
TUH,BDM|BIK|BTH|BTN|ECR|HOV|NWD|PBO|SAC|SRS|SUO|TBD|XSU
UCK,UCK|XSU
UWL,BAK|BAL|BDM|EGR|OXT|UCK|WSW|XSU
WDO,BAK|EPD|EPS|SRS|SUO|WCY|XSU
WLT,BAK|BAL|EPD|EPS|HRH|SRS|SUO|WCY|XSU
