station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Chestfield & Swalecliffe,CSW,Southeastern,,,51.36032694,1.067706206,,,,,,,,,,,,,,,,SO_000033,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000033,,,,,False,
Chilham,CIL,Southeastern,,,51.24461449,0.97591547,,,,,,,,,,,,,,,,SO_000034,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000034,,,,,False,
Chislehurst,CIT,Southeastern,,,51.40555763,0.057426909,,,,,,,,,,,,,,,,SO_000035,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000035,,,,,False,
Clock House,CLK,Southeastern,,,51.40858783,-0.040650863,,,,,,,,,,,,,,,,SO_000036,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000036,,,,,False,
Crayford,CRY,Southeastern,,,51.4483295,0.178807049,,,,,,,,,,,,,,,,SO_000037,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000037,,,,,False,
Crowhurst,CWU,Southeastern,,,50.88857369,0.501354995,,,,,,,,,,,,,,,,SO_000038,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000038,,,,,False,
Cuxton,CUX,Southeastern,,,51.37392606,0.46171433,,,,,,,,,,,,,,,,SO_000039,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000039,,,,,False,
Dartford,DFD,Southeastern,,,51.44737254,0.219261557,,,,,,,,,,,,,,,,SO_000040,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000040,,,,,False,
Deal,DEA,Southeastern,,,51.22304659,1.398864195,,,,,,,,,,,,,,,,SO_000041,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000041,,,,,False,
Deptford,DEP,Southeastern,,,51.4788514,-0.026263166,,,,,,,,,,,,,,,,SO_000042,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000042,,,,,False,
Dover Priory,DVP,Southeastern,,,51.12570009,1.305307618,,,,,,,,,,,,,,,,SO_000043,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000043,,,,,False,
Dumpton Park,DMP,Southeastern,,,51.34570515,1.425837546,,,,,,,,,,,,,,,,SO_000044,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000044,,,,,False,
Dunton Green,DNG,Southeastern,,,51.29648798,0.170948548,,,,,,,,,,,,,,,,SO_000045,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000045,,,,,False,
East Farleigh,EFL,Southeastern,,,51.25523373,0.484734574,,,,,,,,,,,,,,,,SO_000046,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000046,,,,,False,
East Malling,EML,Southeastern,,,51.28580685,0.439284828,,,,,,,,,,,,,,,,SO_000047,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000047,,,,,False,
Eden Park,EDN,Southeastern,,,51.39081565,-0.026605004,,,,,,,,,,,,,,,,SO_000048,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000048,,,,,False,
Elmers End,ELE,Southeastern,,,51.39830239,-0.049428828,,,,,,,,,,,,,,,,SO_000049,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000049,,,,,False,
Elmstead Woods,ESD,Southeastern,,,51.41711905,0.044282703,,,,,,,,,,,,,,,,SO_000050,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000050,,,,,False,
Eltham,ELW,Southeastern,,,51.45564856,0.052337616,,,,,,,,,,,,,,,,SO_000051,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000051,,,,,False,
Erith,ERH,Southeastern,,,51.48168188,0.174635475,,,,,,,,,,,,,,,,SO_000052,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000052,,,,,False,
Etchingham,ETC,Southeastern,,,51.0105441,0.442373902,,,,,,,,,,,,,,,,SO_000053,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000053,,,,,False,
Eynsford,EYN,Southeastern,,,51.36271986,0.204405917,,,,,,,,,,,,,,,,SO_000054,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000054,,,,,False,
Falconwood,FCN,Southeastern,,,51.45914359,0.078550785,,,,,,,,,,,,,,,,SO_000055,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000055,,,,,False,
Farningham Road,FNR,Southeastern,,,51.40139519,0.235524653,,,,,,,,,,,,,,,,SO_000056,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000056,,,,,False,
Faversham,FAV,Southeastern,,,51.31171034,0.891062265,,,,,,,,,,,,,,,,SO_000057,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000057,,,,,False,
Folkestone Central,FKC,Southeastern,,,51.08288631,1.169492303,,,,,,,,,,,,,,,,SO_000058,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000058,,,,,False,
Folkestone West,FKW,Southeastern,,,51.08458538,1.153912918,,,,,,,,,,,,,,,,SO_000059,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000059,,,,,False,
Frant,FRT,Southeastern,,,51.10402068,0.2945567,,,,,,,,,,,,,,,,SO_000060,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000060,,,,,False,
Gillingham Kent,GLM,Southeastern,,,51.38672166,0.550513828,,,,,,,,,,,,,,,,SO_000061,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000061,,,,,False,
Gravesend,GRV,Southeastern,,,51.44134993,0.366646481,,,,,,,,,,,,,,,,SO_000062,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000062,,,,,False,
Greenhithe for Bluewater,GNH,Southeastern,,,51.45076146,0.278856807,,,,,,,,,,,,,,,,SO_000063,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000063,,,,,False,
Greenwich,GNW,Southeastern,,,51.47783848,-0.014209644,,,,,,,,,,,,,,,,SO_000064,[nan],1,1,low,single,,False,False,single,False,True,False,SO_000064,,,,,False,
Grove Park,GRP,Southeastern,,,51.43044575,0.022578266,,,,,,,,,,,,,,,,SO_000065,[nan],1,1,low,single,,False,False,multiple,False,True,False,SO_000065,,,,,False,
