station_id,network,route_station_id,crs,station_name,route_group
uk_000593,GWR,GW0093,LYC,Lympstone Commando,
uk_000594,GWR,GW0094,LYM,Lympstone Village,
uk_000701,GWR,GW0095,MDN,Maiden Newton,
uk_000595,GWR,GW0096,MAI,Maidenhead,
uk_000305,GWR,GW0097,MVL,Malvern Link,
uk_000597,GWR,GW0098,MLW,Marlow,
uk_000693,GWR,GW0099,MKM,Melksham,
uk_000598,GWR,GW0100,MEN,Menheniot,
uk_000678,GWR,GW0101,MDG,Midgham,
uk_000599,GWR,GW0102,MTP,Montpelier,
uk_000600,GWR,GW0103,MRD,Morchard Road,
uk_000601,GWR,GW0104,MIM,Moreton-in-Marsh,
uk_000602,GWR,GW0105,MOR,Mortimer,
uk_000603,GWR,GW0106,NLS,Nailsea & Backwell,
uk_000604,GWR,GW0107,NTH,Neath,
uk_000681,GWR,GW0108,NBY,Newbury,
uk_000680,GWR,GW0109,NRC,Newbury Racecourse,
uk_000605,GWR,GW0110,NCO,Newcourt,
uk_000606,GWR,GW0111,NWP,Newport,
uk_000607,GWR,GW0112,NQY,Newquay,
uk_000608,GWR,GW0113,NTA,Newton Abbot,
uk_000609,GWR,GW0114,NTC,Newton St Cyres,
uk_000610,GWR,GW0115,OKE,Okehampton,
uk_000234,GWR,GW0116,OXF,Oxford,
uk_000612,GWR,GW0117,PAN,Pangbourne,
uk_000613,GWR,GW0118,PAR,Par,
uk_000614,GWR,GW0119,PBY,Pembrey & Burry Port,
uk_000615,GWR,GW0120,PNM,Penmere,
uk_000616,GWR,GW0121,PYN,Penryn,
uk_000617,GWR,GW0122,PNZ,Penzance,
uk_000618,GWR,GW0123,PRW,Perranwell,
uk_000619,GWR,GW0124,PSH,Pershore,
uk_000685,GWR,GW0125,PEW,Pewsey,
uk_000620,GWR,GW0126,PLY,Plymouth,
uk_000621,GWR,GW0127,POL,Polsloe Bridge,
uk_000622,GWR,GW0128,PTA,Port Talbot Parkway,
uk_000623,GWR,GW0129,PMA,Portsmouth Arms,
uk_000624,GWR,GW0130,QUI,Quintrell Downs,
uk_000625,GWR,GW0131,RAD,Radley,
uk_000626,GWR,GW0132,RDG,Reading,
uk_000676,GWR,GW0133,RDW,Reading West,
uk_000627,GWR,GW0134,RDA,Redland,
uk_000628,GWR,GW0135,RED,Redruth,
uk_000629,GWR,GW0136,ROC,Roche,
uk_000630,GWR,GW0137,STS,Saltash,
uk_000631,GWR,GW0138,,Sampford Courtenay,
uk_000632,GWR,GW0139,SDP,Sandplace,
uk_000633,GWR,GW0140,SML,Sea Mills,
uk_000634,GWR,GW0141,SVB,Severn Beach,
uk_000635,GWR,GW0142,SHI,Shiplake,
uk_000636,GWR,GW0143,SIP,Shipton,
uk_000637,GWR,GW0144,SHH,Shirehampton,
uk_000638,GWR,GW0145,SLO,Slough,
uk_000639,GWR,GW0146,SGN,South Greenford,
uk_000640,GWR,GW0147,STL,Southall,
uk_000641,GWR,GW0148,SAR,St Andrews Road,
uk_000642,GWR,GW0149,SAU,St Austell,
uk_000643,GWR,GW0150,SBV,St Budeaux Victoria Road,
uk_000644,GWR,GW0151,SCR,St Columb Road,
uk_000645,GWR,GW0152,SER,St Erth,
uk_000646,GWR,GW0153,SGM,St Germans,
uk_000647,GWR,GW0154,SIV,St Ives,
uk_000648,GWR,GW0155,SJP,St James Park,
uk_000649,GWR,GW0156,SKN,St Keyne Wishing Well Halt,
uk_000650,GWR,GW0157,SRD,Stapleton Road,
uk_000651,GWR,GW0158,SCS,Starcross,
uk_000652,GWR,GW0159,SWA,Swansea,
uk_000653,GWR,GW0160,SWI,Swindon,
uk_000654,GWR,GW0161,TAP,Taplow,
uk_000655,GWR,GW0162,TAU,Taunton,
uk_000656,GWR,GW0163,TGM,Teignmouth,
uk_000679,GWR,GW0164,THA,Thatcham,
uk_000675,GWR,GW0165,THE,Theale,
uk_000698,GWR,GW0166,THO,Thornford,
uk_000657,GWR,GW0167,TLH,Tilehurst,
uk_000658,GWR,GW0168,TVP,Tiverton Parkway,
uk_000659,GWR,GW0169,TOP,Topsham,
uk_000660,GWR,GW0170,TOT,Totnes,
uk_000689,GWR,GW0171,TRO,Trowbridge,
uk_000661,GWR,GW0172,TRU,Truro,
uk_000662,GWR,GW0173,TWY,Twyford,
