pattern_a,pattern_b,origin,destination_a,destination_b,shared_prefix,divergence_station,branch_a,branch_b,overlap
SP000002,SP000190,ORP,XVJ,LUT,7,SRT,BKJ,RVB,0.467
SP000002,SP002971,ORP,XVJ,KTN,7,SRT,BKJ,RVB,0.467
SP000002,SP002987,ORP,XVJ,BFR,7,SRT,BKJ,RVB,0.467
SP000002,SP003027,ORP,XVJ,WHP,7,SRT,BKJ,RVB,0.467
SP000003,SP000019,XHZ,WCY,WWR,12,SQE,BCY,QRP,0.706
SP000003,SP000779,XHZ,WCY,SQE,12,SQE,BCY,,1.0
SP000003,SP001023,XHZ,WCY,CYP,16,SYD,PNW,CYP,0.941
SP000004,SP000035,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP000059,MYB,HWY,SBJ,5,WRU,DNM,GER,0.5
SP000004,SP000061,MYB,HWY,BMO,5,WRU,DNM,GER,0.5
SP000004,SP000081,MYB,HWY,HWY,7,GER,SRG,BCF,0.778
SP000004,SP000088,MYB,HWY,BMO,5,WRU,DNM,GER,0.5
SP000004,SP000117,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP000124,MYB,HWY,BSW,5,WRU,DNM,GER,0.5
SP000004,SP000168,MYB,HWY,BAN,5,WRU,DNM,GER,0.5
SP000004,SP000199,MYB,HWY,BSW,5,WRU,DNM,GER,0.5
SP000004,SP000227,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP000248,MYB,HWY,HWY,6,DNM,GER,DGC,0.6
SP000004,SP000298,MYB,HWY,PRR,7,GER,SRG,HWY,0.7
SP000004,SP000305,MYB,HWY,GER,7,GER,SRG,,1.0
SP000004,SP000313,MYB,HWY,OXF,7,GER,SRG,BCF,0.7
SP000004,SP000328,MYB,HWY,BMO,5,WRU,DNM,GER,0.5
SP000004,SP000552,MYB,HWY,BSW,5,WRU,DNM,GER,0.5
SP000004,SP001643,MYB,HWY,HWY,6,DNM,GER,DGC,0.6
SP000004,SP002429,MYB,HWY,AYS,6,DNM,GER,DGC,0.6
SP000004,SP002777,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP002783,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP003198,MYB,HWY,BAN,5,WRU,DNM,GER,0.5
SP000004,SP003867,MYB,HWY,OXF,5,WRU,DNM,GER,0.5
SP000004,SP004114,MYB,HWY,BCS,6,DNM,GER,DGC,0.6
SP000004,SP004157,MYB,HWY,BMO,5,WRU,DNM,GER,0.5
SP000004,SP004185,MYB,HWY,BAN,7,GER,SRG,HWY,0.7
SP000004,SP004191,MYB,HWY,SBJ,5,WRU,DNM,GER,0.5
SP000004,SP004257,MYB,HWY,BMO,5,WRU,DNM,GER,0.5
SP000004,SP004445,MYB,HWY,BAN,5,WRU,DNM,GER,0.5
SP000004,SP004479,MYB,HWY,PRR,5,WRU,DNM,GER,0.556
SP000004,SP004626,MYB,HWY,OXF,7,GER,SRG,BCF,0.7
SP000004,SP004639,MYB,HWY,BAN,7,GER,SRG,BCF,0.7
SP000004,SP004641,MYB,HWY,BSW,5,WRU,DNM,GER,0.5
SP000006,SP000015,SHF,AWK,DON,7,DON,BYK,,1.0
SP000008,SP000634,KNT,ZEL,QPW,8,QPW,ZEL,,1.0
SP000010,SP002204,SQE,DLJ,XHZ,10,DLJ,,XIC,1.0
SP000012,SP000056,OXF,MYB,MYB,9,HWY,BCF,GER,0.6
SP000012,SP000120,OXF,MYB,MYB,11,GER,WRU,DNM,0.688
SP000012,SP000206,OXF,MYB,MYB,9,HWY,BCF,SRG,0.562
SP000012,SP000679,OXF,MYB,MYB,10,BCF,GER,SRG,0.625
SP000012,SP000689,OXF,MYB,MYB,9,HWY,BCF,SRG,0.562
SP000012,SP004149,OXF,MYB,MYB,11,GER,WRU,DGC,0.688
SP000012,SP004560,OXF,MYB,MYB,11,GER,WRU,DGC,0.688
SP000012,SP004636,OXF,MYB,MYB,9,HWY,BCF,SRG,0.562
SP000014,SP000021,CHX,HGS,HGS,10,SEV,HLB,TON,0.526
SP000014,SP000031,CHX,HGS,HGS,10,SEV,HLB,TON,0.5
SP000014,SP000039,CHX,HGS,HGS,10,SEV,HLB,TON,0.417
SP000014,SP000337,CHX,HGS,TBW,14,TBW,FRT,,1.0
SP000014,SP000349,CHX,HGS,TBW,9,ORP,SEV,CLD,0.6
SP000014,SP000413,CHX,HGS,GRV,5,HGR,GRP,LEE,0.25
SP000014,SP000477,CHX,HGS,GLM,5,HGR,GRP,LEE,0.227
SP000014,SP000659,CHX,HGS,ORP,9,ORP,SEV,,1.0
SP000014,SP000668,CHX,HGS,AFK,7,CIT,XPE,XMU,0.35
SP000014,SP000670,CHX,HGS,MDE,7,CIT,XPE,XMU,0.5
SP000014,SP001044,CHX,HGS,RAM,10,SEV,HLB,TON,0.4
SP000014,SP001137,CHX,HGS,SEV,6,GRP,CIT,ESD,0.4
SP000014,SP001138,CHX,HGS,ORP,6,GRP,CIT,ESD,0.545
SP000014,SP001883,CHX,HGS,HGS,10,SEV,HLB,TON,0.455
SP000014,SP001892,CHX,HGS,DVP,10,SEV,HLB,TON,0.417
SP000014,SP002537,CHX,HGS,TBW,5,HGR,GRP,CFB,0.2
SP000014,SP002807,CHX,HGS,DVP,10,SEV,HLB,TON,0.435
SP000014,SP002976,CHX,HGS,CBW,10,SEV,HLB,TON,0.476
SP000014,SP003387,CHX,HGS,DVP,10,SEV,HLB,TON,0.435
SP000014,SP003400,CHX,HGS,RAM,10,SEV,HLB,TON,0.4
SP000014,SP004546,CHX,HGS,HGS,10,SEV,HLB,TON,0.5
SP000014,SP004547,CHX,HGS,HGS,6,GRP,CIT,ESD,0.24
SP000014,SP004549,CHX,HGS,HGS,9,ORP,SEV,CLD,0.36
SP000014,SP004551,CHX,HGS,HGS,10,SEV,HLB,TON,0.455
SP000017,SP000627,SBP,ZEL,QPW,5,QPW,ZEL,,1.0
SP000018,SP000024,MYB,AVP,AYS,11,AYS,AVP,,1.0
SP000019,SP000779,XHZ,WWR,SQE,12,SQE,QRP,,1.0
SP000019,SP001023,XHZ,WWR,CYP,12,SQE,QRP,BCY,0.706
SP000021,SP000031,CHX,HGS,HGS,16,BAT,XOP,WLD,0.842
SP000021,SP000039,CHX,HGS,HGS,13,TBW,WAD,FRT,0.684
SP000021,SP000337,CHX,HGS,TBW,10,SEV,TON,HLB,0.714
SP000021,SP000349,CHX,HGS,TBW,9,ORP,SEV,CLD,0.6
SP000021,SP000413,CHX,HGS,GRV,5,HGR,GRP,LEE,0.263
SP000021,SP000477,CHX,HGS,GLM,5,HGR,GRP,LEE,0.263
SP000021,SP000659,CHX,HGS,ORP,9,ORP,SEV,,1.0
SP000021,SP000668,CHX,HGS,AFK,7,CIT,XPE,XMU,0.368
SP000021,SP000670,CHX,HGS,MDE,7,CIT,XPE,XMU,0.5
SP000021,SP001044,CHX,HGS,RAM,11,TON,HIB,PDW,0.579
SP000021,SP001137,CHX,HGS,SEV,6,GRP,CIT,ESD,0.4
SP000021,SP001138,CHX,HGS,ORP,6,GRP,CIT,ESD,0.545
SP000021,SP001883,CHX,HGS,HGS,14,WAD,RBR,ETC,0.737
SP000021,SP001892,CHX,HGS,DVP,11,TON,HIB,PDW,0.579
SP000021,SP002537,CHX,HGS,TBW,5,HGR,GRP,CFB,0.263
SP000021,SP002807,CHX,HGS,DVP,11,TON,HIB,PDW,0.579
SP000021,SP002976,CHX,HGS,CBW,11,TON,HIB,PDW,0.579
SP000021,SP003387,CHX,HGS,DVP,11,TON,HIB,PDW,0.579
SP000021,SP003400,CHX,HGS,RAM,11,TON,HIB,PDW,0.579
SP000021,SP004546,CHX,HGS,HGS,14,WAD,RBR,ETC,0.737
SP000021,SP004547,CHX,HGS,HGS,6,GRP,CIT,ESD,0.316
SP000021,SP004549,CHX,HGS,HGS,9,ORP,SEV,CLD,0.474
SP000021,SP004551,CHX,HGS,HGS,13,TBW,WAD,FRT,0.684
SP000023,SP000780,DLJ,WWR,BAK,15,WWR,,BAK,1.0
SP000023,SP001020,DLJ,WWR,CYP,10,SQE,QRP,BCY,0.667
SP000023,SP003630,DLJ,WWR,SQE,10,SQE,QRP,,1.0
SP000023,SP004580,DLJ,WWR,WCY,10,SQE,QRP,BCY,0.667
SP000025,SP001701,WWR,DLJ,XHZ,15,DLJ,,XIC,1.0
SP000027,SP000118,CDF,BHM,CNM,8,CNM,ASC,,1.0
SP000027,SP001526,CDF,BHM,NOT,10,XAY,WOS,WOP,0.476
SP000027,SP003482,CDF,BHM,GCR,7,GCR,CNM,,1.0
SP000027,SP004105,CDF,BHM,NOT,10,XAY,WOS,WOP,0.476
SP000031,SP000039,CHX,HGS,HGS,13,TBW,WAD,FRT,0.65
SP000031,SP000337,CHX,HGS,TBW,10,SEV,TON,HLB,0.714
SP000031,SP000349,CHX,HGS,TBW,9,ORP,SEV,CLD,0.6
SP000031,SP000413,CHX,HGS,GRV,5,HGR,GRP,LEE,0.25
SP000031,SP000477,CHX,HGS,GLM,5,HGR,GRP,LEE,0.25
SP000031,SP000659,CHX,HGS,ORP,9,ORP,SEV,,1.0
SP000031,SP000668,CHX,HGS,AFK,7,CIT,XPE,XMU,0.35
SP000031,SP000670,CHX,HGS,MDE,7,CIT,XPE,XMU,0.5
SP000031,SP001044,CHX,HGS,RAM,11,TON,HIB,PDW,0.55
SP000031,SP001137,CHX,HGS,SEV,6,GRP,CIT,ESD,0.4
SP000031,SP001138,CHX,HGS,ORP,6,GRP,CIT,ESD,0.545
SP000031,SP001883,CHX,HGS,HGS,14,WAD,RBR,ETC,0.7
SP000031,SP001892,CHX,HGS,DVP,11,TON,HIB,PDW,0.55
SP000031,SP002537,CHX,HGS,TBW,5,HGR,GRP,CFB,0.25
SP000031,SP002807,CHX,HGS,DVP,11,TON,HIB,PDW,0.55
SP000031,SP002976,CHX,HGS,CBW,11,TON,HIB,PDW,0.55
SP000031,SP003387,CHX,HGS,DVP,11,TON,HIB,PDW,0.55
SP000031,SP003400,CHX,HGS,RAM,11,TON,HIB,PDW,0.55
SP000031,SP004546,CHX,HGS,HGS,14,WAD,RBR,ETC,0.7
SP000031,SP004547,CHX,HGS,HGS,6,GRP,CIT,ESD,0.3
SP000031,SP004549,CHX,HGS,HGS,9,ORP,SEV,CLD,0.45
SP000031,SP004551,CHX,HGS,HGS,13,TBW,WAD,FRT,0.65
SP000032,SP002048,YRK,BDT,HUL,7,GBD,BUH,BMF,0.583
SP000032,SP002547,YRK,BDT,HUL,9,HUL,CGM,,1.0
SP000032,SP003407,YRK,BDT,BDT,5,SBY,HOW,WRS,0.333
SP000033,SP000522,BRI,WOS,WOF,10,WOS,,WOF,1.0
SP000033,SP000531,BRI,WOS,GCR,6,GCR,CNM,,1.0
SP000033,SP003494,BRI,WOS,GMV,10,WOS,,WOF,1.0
SP000034,SP001577,SSD,BHM,BHM,18,LEI,HNK,SWS,0.692
SP000034,SP001704,SSD,BHM,CBG,5,CBG,CMB,,1.0
SP000035,SP000059,MYB,OXF,SBJ,6,GER,BCF,HWY,0.375
SP000035,SP000061,MYB,OXF,BMO,6,GER,BCF,HWY,0.375
SP000035,SP000081,MYB,OXF,HWY,5,WRU,GER,DNM,0.556
SP000035,SP000088,MYB,OXF,BMO,6,GER,BCF,HWY,0.375
SP000035,SP000117,MYB,OXF,OXF,6,GER,BCF,HWY,0.4
SP000035,SP000124,MYB,OXF,BSW,6,GER,BCF,HWY,0.375
SP000035,SP000168,MYB,OXF,BAN,6,GER,BCF,HWY,0.4
SP000035,SP000199,MYB,OXF,BSW,6,GER,BCF,HWY,0.375
SP000035,SP000227,MYB,OXF,OXF,6,GER,BCF,SRG,0.375
SP000035,SP000248,MYB,OXF,HWY,5,WRU,GER,DNM,0.5
SP000035,SP000298,MYB,OXF,PRR,5,WRU,GER,DNM,0.5
SP000035,SP000305,MYB,OXF,GER,5,WRU,GER,DNM,0.714
SP000035,SP000313,MYB,OXF,OXF,5,WRU,GER,DNM,0.312
SP000035,SP000328,MYB,OXF,BMO,6,GER,BCF,HWY,0.375
SP000035,SP000552,MYB,OXF,BSW,6,GER,BCF,HWY,0.375
SP000035,SP001643,MYB,OXF,HWY,5,WRU,GER,DNM,0.455
SP000035,SP002429,MYB,OXF,AYS,5,WRU,GER,DNM,0.333
SP000035,SP002777,MYB,OXF,OXF,6,GER,BCF,SRG,0.375
SP000035,SP002783,MYB,OXF,OXF,14,BIT,OXP,ISP,0.875
SP000035,SP003198,MYB,OXF,BAN,12,XJV,XGY,BCS,0.75
SP000035,SP003867,MYB,OXF,OXF,6,GER,BCF,HWY,0.375
SP000035,SP004114,MYB,OXF,BCS,5,WRU,GER,DNM,0.312
SP000035,SP004157,MYB,OXF,BMO,6,GER,BCF,HWY,0.375
SP000035,SP004185,MYB,OXF,BAN,5,WRU,GER,DNM,0.333
SP000035,SP004191,MYB,OXF,SBJ,6,GER,BCF,HWY,0.375
SP000035,SP004257,MYB,OXF,BMO,12,XJV,XGY,BCS,0.75
SP000035,SP004445,MYB,OXF,BAN,16,OXF,,HYD,1.0
SP000035,SP004479,MYB,OXF,PRR,6,GER,BCF,HWY,0.667
SP000035,SP004626,MYB,OXF,OXF,5,WRU,GER,DNM,0.312
SP000035,SP004639,MYB,OXF,BAN,5,WRU,GER,DNM,0.312
SP000035,SP004641,MYB,OXF,BSW,12,XJV,XGY,BCS,0.75
SP000039,SP000337,CHX,HGS,TBW,10,SEV,TON,HLB,0.714
SP000039,SP000349,CHX,HGS,TBW,9,ORP,SEV,CLD,0.6
SP000039,SP000413,CHX,HGS,GRV,5,HGR,GRP,LEE,0.25
SP000039,SP000477,CHX,HGS,GLM,5,HGR,GRP,LEE,0.227
SP000039,SP000659,CHX,HGS,ORP,9,ORP,SEV,,1.0
SP000039,SP000668,CHX,HGS,AFK,7,CIT,XPE,XMU,0.35
SP000039,SP000670,CHX,HGS,MDE,7,CIT,XPE,XMU,0.5
SP000039,SP001044,CHX,HGS,RAM,11,TON,HIB,PDW,0.458
SP000039,SP001137,CHX,HGS,SEV,6,GRP,CIT,ESD,0.4
SP000039,SP001138,CHX,HGS,ORP,6,GRP,CIT,ESD,0.545
SP000039,SP001883,CHX,HGS,HGS,13,TBW,FRT,WAD,0.591
SP000039,SP001892,CHX,HGS,DVP,11,TON,HIB,PDW,0.458
SP000039,SP002537,CHX,HGS,TBW,5,HGR,GRP,CFB,0.208
SP000039,SP002807,CHX,HGS,DVP,11,TON,HIB,PDW,0.478
SP000039,SP002976,CHX,HGS,CBW,11,TON,HIB,PDW,0.524
SP000039,SP003387,CHX,HGS,DVP,11,TON,HIB,PDW,0.478
SP000039,SP003400,CHX,HGS,RAM,11,TON,HIB,PDW,0.458
SP000039,SP004546,CHX,HGS,HGS,13,TBW,FRT,WAD,0.65
SP000039,SP004547,CHX,HGS,HGS,6,GRP,CIT,ESD,0.25
SP000039,SP004549,CHX,HGS,HGS,9,ORP,SEV,CLD,0.375
SP000039,SP004551,CHX,HGS,HGS,19,BAT,CWU,XOP,0.864
SP000040,SP000045,OXF,MYB,MYB,14,SRU,NLT,WCX,0.824
SP000040,SP000073,OXF,MYB,MYB,10,HWY,SRG,BCF,0.588
SP000040,SP004152,OXF,MYB,HWY,10,HWY,SRG,,1.0
SP000040,SP004488,OXF,MYB,MYB,12,GER,WRU,DGC,0.667
SP000040,SP004633,OXF,MYB,MYB,10,HWY,SRG,BCF,0.556
SP000040,SP004643,OXF,MYB,MYB,10,HWY,SRG,BCF,0.556
SP000041,SP000044,PAD,HFD,WOF,11,AUW,KGM,SIP,0.55
SP000041,SP000048,PAD,HFD,GMV,15,EVE,WPH,PSH,0.682
SP000041,SP000094,PAD,HFD,PLY,6,RDG,GOR,THE,0.286
SP000041,SP000096,PAD,HFD,PNZ,6,RDG,GOR,THE,0.24
SP000041,SP000099,PAD,HFD,PNZ,6,RDG,GOR,THE,0.24
SP000041,SP000105,PAD,HFD,DID,6,RDG,GOR,TLH,0.545
SP000041,SP000106,PAD,HFD,NBY,6,RDG,GOR,THE,0.667
SP000041,SP000129,PAD,HFD,WOF,7,GOR,OXF,DID,0.35
SP000041,SP000184,PAD,HFD,HFD,15,EVE,WPH,PSH,0.6
SP000041,SP000198,PAD,HFD,WOS,15,EVE,WPH,PSH,0.833
SP000041,SP000326,PAD,HFD,DID,6,RDG,GOR,TLH,0.6
SP000041,SP000364,PAD,HFD,WOF,15,EVE,WPH,PSH,0.789
SP000041,SP000462,PAD,HFD,OXF,8,OXF,HND,,1.0
SP000041,SP000581,PAD,HFD,BRI,7,GOR,OXF,DID,0.583
SP000041,SP000651,PAD,HFD,PLY,6,RDG,GOR,THE,0.273
SP000041,SP000801,PAD,HFD,PLY,6,RDG,GOR,THE,0.261
SP000041,SP000835,PAD,HFD,WSM,7,GOR,OXF,DID,0.412
SP000041,SP000840,PAD,HFD,PNZ,7,GOR,OXF,DID,0.28
SP000041,SP000848,PAD,HFD,WOS,11,AUW,KGM,SIP,0.579
SP000041,SP000858,PAD,HFD,OXF,7,GOR,OXF,DID,0.778
SP000041,SP000862,PAD,HFD,CNM,7,GOR,OXF,DID,0.5
SP000041,SP001654,PAD,HFD,NBY,6,RDG,GOR,THE,0.6
SP000041,SP001823,PAD,HFD,SWA,7,GOR,OXF,DID,0.333
SP000041,SP001838,PAD,HFD,SWA,7,GOR,OXF,DID,0.35
SP000041,SP001939,PAD,HFD,RDG,6,RDG,GOR,,1.0
SP000041,SP002174,PAD,HFD,WSM,7,GOR,OXF,DID,0.438
SP000041,SP002183,PAD,HFD,WSM,7,GOR,OXF,DID,0.412
SP000041,SP002209,PAD,HFD,EXD,6,RDG,GOR,THE,0.375
SP000041,SP002216,PAD,HFD,NQY,6,RDG,GOR,THE,0.24
SP000041,SP002711,PAD,HFD,BDW,6,RDG,GOR,THE,0.5
SP000041,SP003385,PAD,HFD,PGN,6,RDG,GOR,THE,0.261
SP000041,SP003417,PAD,HFD,CDF,7,GOR,OXF,DID,0.467
SP000041,SP003420,PAD,HFD,WOS,7,GOR,OXF,DID,0.412
SP000041,SP003428,PAD,HFD,WSB,6,RDG,GOR,THE,0.429
SP000041,SP003429,PAD,HFD,CMN,7,GOR,OXF,DID,0.28
SP000041,SP003434,PAD,HFD,SWA,7,GOR,OXF,DID,0.333
SP000041,SP003440,PAD,HFD,SWA,7,GOR,OXF,DID,0.318
SP000041,SP003448,PAD,HFD,TAU,7,GOR,OXF,DID,0.368
SP000041,SP003480,PAD,HFD,PNZ,6,RDG,GOR,THE,0.24
SP000041,SP003666,PAD,HFD,TAU,7,GOR,OXF,DID,0.35
SP000041,SP003788,PAD,HFD,SWA,7,GOR,OXF,DID,0.292
SP000041,SP004186,PAD,HFD,FRO,6,RDG,GOR,THE,0.4
SP000041,SP004248,PAD,HFD,WPH,15,EVE,WPH,PSH,0.882
SP000041,SP004338,PAD,HFD,BPW,7,GOR,OXF,DID,0.7
SP000041,SP004416,PAD,HFD,BDW,6,RDG,GOR,RDW,0.375
SP000041,SP004476,PAD,HFD,BAN,8,OXF,HND,HYD,0.727
SP000041,SP004599,PAD,HFD,WOS,7,GOR,OXF,DID,0.5
SP000042,SP004617,DEE,EDB,EDB,9,EGY,HYM,SGL,0.818
SP000042,SP004619,DEE,EDB,EDB,8,INK,EGY,NQU,0.727
SP000043,SP000645,BAN,MYB,MYB,9,HWY,GER,SRG,0.6
SP000043,SP004180,BAN,MYB,MYB,9,HWY,GER,BCF,0.6
SP000044,SP000048,PAD,WOF,GMV,11,AUW,SIP,KGM,0.55
SP000044,SP000094,PAD,WOF,PLY,6,RDG,GOR,THE,0.3
SP000044,SP000096,PAD,WOF,PNZ,6,RDG,GOR,THE,0.3
SP000044,SP000099,PAD,WOF,PNZ,6,RDG,GOR,THE,0.3
SP000044,SP000105,PAD,WOF,DID,6,RDG,GOR,TLH,0.545
SP000044,SP000106,PAD,WOF,NBY,6,RDG,GOR,THE,0.667
SP000044,SP000129,PAD,WOF,WOF,7,GOR,OXF,DID,0.35
SP000044,SP000184,PAD,WOF,HFD,11,AUW,SIP,KGM,0.55
SP000044,SP000198,PAD,WOF,WOS,11,AUW,SIP,KGM,0.611
SP000044,SP000326,PAD,WOF,DID,6,RDG,GOR,TLH,0.6
SP000044,SP000364,PAD,WOF,WOF,11,AUW,SIP,KGM,0.579
SP000044,SP000462,PAD,WOF,OXF,8,OXF,HND,,1.0
SP000044,SP000581,PAD,WOF,BRI,7,GOR,OXF,DID,0.583
SP000044,SP000651,PAD,WOF,PLY,6,RDG,GOR,THE,0.3
SP000044,SP000801,PAD,WOF,PLY,6,RDG,GOR,THE,0.3
SP000044,SP000835,PAD,WOF,WSM,7,GOR,OXF,DID,0.412
SP000044,SP000840,PAD,WOF,PNZ,7,GOR,OXF,DID,0.35
SP000044,SP000848,PAD,WOF,WOS,19,WOS,WOF,,1.0
SP000044,SP000858,PAD,WOF,OXF,7,GOR,OXF,DID,0.778
SP000044,SP000862,PAD,WOF,CNM,7,GOR,OXF,DID,0.5
SP000044,SP001654,PAD,WOF,NBY,6,RDG,GOR,THE,0.6
SP000044,SP001823,PAD,WOF,SWA,7,GOR,OXF,DID,0.35
SP000044,SP001838,PAD,WOF,SWA,7,GOR,OXF,DID,0.35
SP000044,SP001939,PAD,WOF,RDG,6,RDG,GOR,,1.0
SP000044,SP002174,PAD,WOF,WSM,7,GOR,OXF,DID,0.438
SP000044,SP002183,PAD,WOF,WSM,7,GOR,OXF,DID,0.412
SP000044,SP002209,PAD,WOF,EXD,6,RDG,GOR,THE,0.375
SP000044,SP002216,PAD,WOF,NQY,6,RDG,GOR,THE,0.3
SP000044,SP002711,PAD,WOF,BDW,6,RDG,GOR,THE,0.5
SP000044,SP003385,PAD,WOF,PGN,6,RDG,GOR,THE,0.3
SP000044,SP003417,PAD,WOF,CDF,7,GOR,OXF,DID,0.467
SP000044,SP003420,PAD,WOF,WOS,7,GOR,OXF,DID,0.412
SP000044,SP003428,PAD,WOF,WSB,6,RDG,GOR,THE,0.429
SP000044,SP003429,PAD,WOF,CMN,7,GOR,OXF,DID,0.35
SP000044,SP003434,PAD,WOF,SWA,7,GOR,OXF,DID,0.35
SP000044,SP003440,PAD,WOF,SWA,7,GOR,OXF,DID,0.35
SP000044,SP003448,PAD,WOF,TAU,7,GOR,OXF,DID,0.368
SP000044,SP003480,PAD,WOF,PNZ,6,RDG,GOR,THE,0.3
SP000044,SP003666,PAD,WOF,TAU,7,GOR,OXF,DID,0.35
SP000044,SP003788,PAD,WOF,SWA,7,GOR,OXF,DID,0.35
SP000044,SP004186,PAD,WOF,FRO,6,RDG,GOR,THE,0.4
SP000044,SP004248,PAD,WOF,WPH,11,AUW,SIP,KGM,0.647
SP000044,SP004338,PAD,WOF,BPW,7,GOR,OXF,DID,0.7
SP000044,SP004416,PAD,WOF,BDW,6,RDG,GOR,RDW,0.375
SP000044,SP004476,PAD,WOF,BAN,8,OXF,HND,HYD,0.727
SP000044,SP004599,PAD,WOF,WOS,7,GOR,OXF,DID,0.5
SP000045,SP000073,OXF,MYB,MYB,10,HWY,SRG,BCF,0.588
SP000045,SP004152,OXF,MYB,HWY,10,HWY,SRG,,1.0
SP000045,SP004488,OXF,MYB,MYB,12,GER,WRU,DGC,0.706
SP000045,SP004633,OXF,MYB,MYB,10,HWY,SRG,BCF,0.588
SP000045,SP004643,OXF,MYB,MYB,10,HWY,SRG,BCF,0.588
SP000046,SP000196,RDC,BHM,FOK,11,BHM,,XOZ,1.0
SP000046,SP001479,RDC,BHM,FOK,11,BHM,,XOZ,1.0
SP000047,SP000234,SHF,HUD,LDS,6,BNY,DOD,DRT,0.462
SP000047,SP002642,SHF,HUD,BNY,6,BNY,DOD,,1.0
SP000047,SP003839,SHF,HUD,PNS,9,PNS,DBD,,1.0
SP000047,SP003966,SHF,HUD,WKK,6,BNY,DOD,DRT,0.75
SP000047,SP004470,SHF,HUD,LDS,6,BNY,DOD,DRT,0.5
SP000048,SP000094,PAD,GMV,PLY,6,RDG,GOR,THE,0.286
SP000048,SP000096,PAD,GMV,PNZ,6,RDG,GOR,THE,0.273
SP000048,SP000099,PAD,GMV,PNZ,6,RDG,GOR,THE,0.273
SP000048,SP000105,PAD,GMV,DID,6,RDG,GOR,TLH,0.545
SP000048,SP000106,PAD,GMV,NBY,6,RDG,GOR,THE,0.667
SP000048,SP000129,PAD,GMV,WOF,7,GOR,OXF,DID,0.35
SP000048,SP000184,PAD,GMV,HFD,22,GMV,,XMN,1.0
SP000048,SP000198,PAD,GMV,WOS,18,WOS,WOF,,1.0
SP000048,SP000326,PAD,GMV,DID,6,RDG,GOR,TLH,0.6
SP000048,SP000364,PAD,GMV,WOF,19,WOF,XHK,,1.0
SP000048,SP000462,PAD,GMV,OXF,8,OXF,HND,,1.0
SP000048,SP000581,PAD,GMV,BRI,7,GOR,OXF,DID,0.583
SP000048,SP000651,PAD,GMV,PLY,6,RDG,GOR,THE,0.273
SP000048,SP000801,PAD,GMV,PLY,6,RDG,GOR,THE,0.273
SP000048,SP000835,PAD,GMV,WSM,7,GOR,OXF,DID,0.412
SP000048,SP000840,PAD,GMV,PNZ,7,GOR,OXF,DID,0.318
SP000048,SP000848,PAD,GMV,WOS,11,AUW,KGM,SIP,0.579
SP000048,SP000858,PAD,GMV,OXF,7,GOR,OXF,DID,0.778
SP000048,SP000862,PAD,GMV,CNM,7,GOR,OXF,DID,0.5
SP000048,SP001654,PAD,GMV,NBY,6,RDG,GOR,THE,0.6
SP000048,SP001823,PAD,GMV,SWA,7,GOR,OXF,DID,0.333
SP000048,SP001838,PAD,GMV,SWA,7,GOR,OXF,DID,0.35
SP000048,SP001939,PAD,GMV,RDG,6,RDG,GOR,,1.0
SP000048,SP002174,PAD,GMV,WSM,7,GOR,OXF,DID,0.438
SP000048,SP002183,PAD,GMV,WSM,7,GOR,OXF,DID,0.412
SP000048,SP002209,PAD,GMV,EXD,6,RDG,GOR,THE,0.375
SP000048,SP002216,PAD,GMV,NQY,6,RDG,GOR,THE,0.273
SP000048,SP002711,PAD,GMV,BDW,6,RDG,GOR,THE,0.5
SP000048,SP003385,PAD,GMV,PGN,6,RDG,GOR,THE,0.273
SP000048,SP003417,PAD,GMV,CDF,7,GOR,OXF,DID,0.467
SP000048,SP003420,PAD,GMV,WOS,7,GOR,OXF,DID,0.412
SP000048,SP003428,PAD,GMV,WSB,6,RDG,GOR,THE,0.429
SP000048,SP003429,PAD,GMV,CMN,7,GOR,OXF,DID,0.318
SP000048,SP003434,PAD,GMV,SWA,7,GOR,OXF,DID,0.333
SP000048,SP003440,PAD,GMV,SWA,7,GOR,OXF,DID,0.318
SP000048,SP003448,PAD,GMV,TAU,7,GOR,OXF,DID,0.368
SP000048,SP003480,PAD,GMV,PNZ,6,RDG,GOR,THE,0.273
SP000048,SP003666,PAD,GMV,TAU,7,GOR,OXF,DID,0.35
SP000048,SP003788,PAD,GMV,SWA,7,GOR,OXF,DID,0.318
SP000048,SP004186,PAD,GMV,FRO,6,RDG,GOR,THE,0.4
SP000048,SP004248,PAD,GMV,WPH,17,WPH,WOS,,1.0
SP000048,SP004338,PAD,GMV,BPW,7,GOR,OXF,DID,0.7
SP000048,SP004416,PAD,GMV,BDW,6,RDG,GOR,RDW,0.375
SP000048,SP004476,PAD,GMV,BAN,8,OXF,HND,HYD,0.727
SP000048,SP004599,PAD,GMV,WOS,7,GOR,OXF,DID,0.5
SP000049,SP000194,MYB,HWY,HWY,8,DNM,DGC,GER,0.667
SP000049,SP000605,MYB,HWY,GER,7,WRU,DNM,DGC,0.778
SP000049,SP000607,MYB,HWY,GER,8,DNM,DGC,GER,0.889
SP000049,SP000667,MYB,HWY,WRU,7,WRU,DNM,,1.0
