route_id,pattern_id
R00065,SP000084
R00066,SP000087
R00067,SP000090
R00068,SP000092
R00069,SP000095
R00069,SP000428
R00069,SP000431
R00069,SP003734
R00070,SP000097
R00070,SP000101
R00070,SP002109
R00070,SP002497
R00070,SP002568
R00070,SP004514
R00071,SP000098
R00071,SP002824
R00071,SP003468
R00072,SP000100
R00072,SP000226
R00072,SP000555
R00072,SP000609
R00072,SP002430
R00073,SP000102
R00073,SP000107
R00073,SP000450
R00073,SP000521
R00073,SP000529
R00073,SP000698
R00073,SP000700
R00073,SP000799
R00073,SP000920
R00073,SP000930
R00073,SP000950
R00073,SP000952
R00073,SP000958
R00073,SP000999
R00073,SP001003
R00073,SP001007
R00073,SP001047
R00073,SP001120
R00073,SP001594
R00073,SP001727
R00073,SP001880
R00073,SP002020
R00073,SP002363
R00073,SP002914
R00073,SP002953
R00073,SP003540
R00073,SP003600
R00073,SP003669
R00074,SP000103
R00074,SP002306
R00074,SP002883
R00075,SP000104
R00075,SP001311
R00076,SP000110
R00076,SP000588
R00076,SP001310
R00076,SP001623
R00076,SP001677
R00076,SP003020
R00077,SP000111
R00077,SP001609
R00077,SP002857
R00077,SP002858
R00077,SP003485
R00077,SP003488
R00077,SP003492
R00077,SP003590
R00077,SP003617
R00077,SP003676
R00077,SP003678
R00077,SP003686
R00077,SP003692
R00077,SP004209
R00077,SP004565
R00078,SP000112
R00078,SP001872
R00078,SP003665
R00079,SP000115
R00079,SP000131
R00079,SP000982
R00079,SP001665
R00079,SP002289
R00079,SP002797
R00079,SP002803
R00080,SP000116
R00081,SP000119
R00082,SP000122
R00082,SP000274
R00082,SP000494
R00082,SP000694
R00082,SP000697
R00082,SP000702
R00082,SP001593
R00082,SP002302
R00082,SP002641
R00082,SP003869
R00082,SP003980
R00082,SP004117
R00082,SP004465
R00083,SP000123
R00084,SP000125
R00085,SP000127
R00086,SP000130
R00087,SP000132
R00088,SP000134
R00088,SP000175
R00088,SP000692
R00088,SP001440
R00088,SP002004
R00088,SP004100
R00088,SP004108
R00088,SP004113
R00089,SP000135
R00089,SP003436
R00089,SP003751
R00090,SP000136
R00090,SP000192
R00090,SP000209
R00090,SP000631
R00090,SP004375
R00091,SP000137
R00092,SP000138
R00092,SP000761
R00092,SP001629
R00092,SP001681
R00092,SP001778
R00092,SP003915
R00092,SP004591
R00093,SP000139
R00093,SP001284
R00094,SP000140
R00094,SP003701
R00095,SP000141
R00096,SP000142
R00097,SP000143
R00097,SP002157
R00097,SP002176
R00097,SP002247
R00097,SP002262
R00097,SP003062
R00097,SP004218
R00097,SP004576
R00098,SP000144
R00098,SP000152
R00099,SP000146
R00099,SP002097
R00099,SP002136
R00100,SP000147
R00101,SP000148
R00101,SP000961
R00101,SP003398
R00101,SP004474
R00102,SP000149
R00102,SP003250
R00102,SP003562
R00102,SP003970
R00102,SP004263
R00103,SP000150
R00104,SP000151
R00104,SP001412
R00104,SP002268
R00105,SP000153
R00105,SP000176
R00105,SP003226
R00105,SP004296
R00105,SP004581
R00106,SP000155
R00106,SP001992
R00106,SP001995
R00106,SP002669
R00106,SP002998
R00106,SP003768
R00106,SP003770
R00106,SP003773
R00106,SP003782
R00107,SP000156
R00107,SP000186
R00108,SP000157
R00109,SP000158
R00109,SP001211
R00110,SP000159
R00111,SP000160
R00111,SP002286
R00111,SP003573
R00111,SP003985
R00112,SP000161
R00112,SP004264
R00113,SP000162
R00113,SP003405
R00114,SP000163
R00114,SP000172
R00114,SP002084
R00114,SP002229
R00114,SP003323
R00114,SP004009
R00114,SP004033
R00114,SP004044
R00115,SP000164
R00115,SP002758
R00115,SP003974
R00116,SP000165
R00116,SP002006
R00117,SP000166
R00118,SP000167
R00119,SP000169
R00119,SP000188
R00119,SP000984
R00119,SP003781
R00119,SP004106
R00120,SP000171
R00121,SP000173
R00121,SP000197
R00122,SP000177
R00122,SP000334
R00122,SP003024
R00122,SP003107
R00123,SP000178
R00123,SP000888
R00124,SP000179
R00125,SP000180
R00125,SP000185
R00125,SP001031
R00125,SP001056
R00125,SP001064
R00125,SP001893
R00125,SP001895
R00125,SP002910
R00125,SP003122
R00125,SP003425
R00125,SP004537
R00125,SP004538
R00126,SP000181
R00126,SP000347
R00127,SP000182
R00127,SP000229
R00128,SP000183
R00128,SP003806
R00129,SP000187
R00129,SP001726
R00129,SP002354
R00129,SP002757
R00129,SP002762
R00130,SP000189
R00130,SP000205
R00130,SP000560
R00130,SP000565
R00130,SP000570
R00130,SP000610
R00130,SP003292
R00130,SP003707
R00130,SP004451
R00130,SP004500
R00131,SP000191
R00132,SP000193
R00133,SP000200
R00133,SP003239
R00134,SP000201
R00135,SP000202
R00135,SP000224
R00135,SP002685
R00136,SP000203
R00137,SP000204
