route_a,route_b,route_a_length,route_b_length,shared_prefix,shared_suffix,shared_stations,overlap_percent
R00002,R00079,33,45,0,16,16,35.6
R00002,R00122,33,13,3,0,3,9.1
R00002,R00188,33,44,0,16,16,36.4
R00002,R01575,33,11,1,0,10,30.3
R00002,R02066,33,10,1,0,2,6.1
R00002,R02073,33,9,1,0,2,6.1
R00003,R00020,21,19,0,19,19,90.5
R00003,R00701,21,9,0,3,3,14.3
R00003,R00837,21,9,0,9,9,42.9
R00004,R00017,37,12,2,0,2,5.4
R00004,R00039,37,13,3,0,7,18.9
R00004,R00060,37,8,3,0,5,13.5
R00004,R00158,37,26,3,0,25,67.6
R00004,R02092,37,3,3,0,3,8.1
R00006,R00038,9,17,2,0,2,11.8
R00006,R00111,9,13,4,0,4,30.8
R00006,R00228,9,28,2,0,5,17.9
R00006,R00290,9,19,1,0,1,5.3
R00006,R00298,9,30,1,0,1,3.3
R00006,R00359,9,11,1,0,1,9.1
R00006,R00367,9,5,1,0,2,22.2
R00006,R00842,9,22,1,0,2,9.1
R00006,R00846,9,22,1,0,1,4.5
R00006,R01087,9,12,1,0,2,16.7
R00006,R01292,9,7,1,0,1,11.1
R00006,R01362,9,13,1,0,1,7.7
R00006,R01411,9,10,4,0,4,40.0
R00006,R01438,9,4,1,0,1,11.1
R00006,R01447,9,21,1,0,1,4.8
R00006,R01450,9,34,1,0,1,2.9
R00006,R01452,9,21,1,0,1,4.8
R00006,R01525,9,3,2,0,2,22.2
R00006,R01577,9,3,0,3,3,33.3
R00006,R01726,9,20,3,0,5,25.0
R00006,R01753,9,5,1,0,1,11.1
R00006,R02012,9,7,2,0,2,22.2
R00007,R01507,2,3,1,0,1,33.3
R00008,R00016,9,6,0,6,6,66.7
R00008,R00795,9,8,1,0,7,77.8
R00010,R00021,12,17,0,12,12,70.6
R00010,R00075,12,22,0,12,12,54.5
R00010,R00717,12,18,0,12,12,66.7
R00011,R00260,17,13,0,2,2,11.8
R00011,R00303,17,13,0,2,2,11.8
R00011,R00307,17,18,0,2,2,11.1
R00011,R00317,17,21,0,2,2,9.5
R00011,R00335,17,13,0,2,2,11.8
R00011,R00407,17,5,1,0,1,5.9
R00011,R00639,17,6,0,6,6,35.3
R00011,R00721,17,13,0,6,6,35.3
R00011,R00771,17,16,0,1,1,5.9
R00011,R00772,17,15,0,1,1,5.9
R00011,R00790,17,18,0,1,1,5.6
R00011,R00839,17,9,0,2,2,11.8
R00011,R00940,17,8,1,0,1,5.9
R00011,R00949,17,13,0,2,2,11.8
R00011,R01073,17,12,0,1,1,5.9
R00011,R01076,17,30,0,1,1,3.3
R00011,R01396,17,12,0,2,2,11.8
R00011,R01455,17,10,0,1,1,5.9
R00011,R01456,17,6,0,1,1,5.9
R00011,R01459,17,2,1,0,1,5.9
R00011,R01480,17,16,0,2,2,11.8
R00011,R01504,17,3,0,1,1,5.9
R00011,R01527,17,7,0,2,2,11.8
R00011,R01574,17,7,0,1,1,5.9
R00011,R01693,17,12,0,2,2,11.8
R00011,R01757,17,3,1,0,1,5.9
R00011,R01761,17,11,0,1,1,5.9
R00011,R01765,17,4,1,0,1,5.9
R00011,R01803,17,13,0,2,2,11.8
R00011,R01813,17,7,1,0,1,5.9
R00011,R01888,17,6,1,0,1,5.9
R00011,R02027,17,9,1,0,1,5.9
R00011,R02095,17,7,1,0,1,5.9
R00012,R00015,19,3,2,0,2,10.5
R00012,R00033,19,19,2,3,17,89.5
R00012,R00036,19,16,0,3,11,57.9
R00012,R00041,19,13,0,3,11,57.9
R00012,R00053,19,27,0,3,11,40.7
R00012,R00072,19,26,0,3,11,42.3
R00012,R00095,19,7,0,3,6,31.6
R00012,R00134,19,12,0,3,10,52.6
R00012,R00146,19,9,0,3,7,36.8
R00012,R00155,19,8,0,3,8,42.1
R00012,R00201,19,3,0,3,3,15.8
R00012,R00209,19,9,0,3,9,47.4
R00012,R00226,19,16,0,3,13,68.4
R00012,R00381,19,9,1,0,1,5.3
R00012,R00429,19,18,0,3,13,68.4
R00012,R00435,19,12,0,3,10,52.6
R00012,R00471,19,12,0,3,12,63.2
R00012,R00479,19,7,0,3,7,36.8
R00012,R00504,19,6,1,0,1,5.3
R00012,R00585,19,6,1,0,1,5.3
R00012,R00981,19,7,0,6,7,36.8
R00012,R00982,19,10,0,6,9,47.4
R00012,R01056,19,15,1,0,1,5.3
R00012,R01263,19,8,1,0,1,5.3
R00012,R01308,19,11,0,2,2,10.5
R00012,R01389,19,5,1,0,1,5.3
R00012,R01397,19,4,1,0,1,5.3
R00012,R01410,19,12,0,2,2,10.5
R00012,R01506,19,9,1,0,1,5.3
R00012,R01508,19,30,0,3,11,36.7
R00012,R01513,19,17,0,3,14,73.7
R00012,R01854,19,6,1,0,1,5.3
R00012,R01857,19,5,1,0,1,5.3
R00012,R01938,19,11,0,11,11,57.9
R00012,R01941,19,9,0,3,9,47.4
R00012,R02041,19,8,0,3,6,31.6
R00012,R02056,19,11,1,0,1,5.3
R00014,R00125,32,33,0,29,30,90.9
R00014,R00413,32,34,0,3,4,11.8
R00014,R00497,32,13,4,0,4,12.5
R00014,R00514,32,38,0,1,1,2.6
R00014,R00516,32,19,3,0,3,9.4
R00014,R00522,32,18,4,0,8,25.0
R00014,R00610,32,27,3,0,5,15.6
R00014,R00664,32,15,0,9,15,46.9
R00014,R00671,32,22,0,22,22,68.8
R00014,R01568,32,28,0,1,13,40.6
R00014,R01609,32,13,3,0,3,9.4
R00014,R01800,32,23,2,0,5,15.6
R00015,R00033,3,19,2,0,2,10.5
R00015,R00381,3,9,1,0,1,11.1
R00015,R00504,3,6,1,0,1,16.7
R00015,R00585,3,6,1,0,1,16.7
R00015,R01056,3,15,1,0,1,6.7
R00015,R01263,3,8,1,0,1,12.5
R00015,R01389,3,5,1,0,1,20.0
R00015,R01397,3,4,1,0,1,25.0
R00015,R01506,3,9,1,0,1,11.1
R00015,R01854,3,6,1,0,1,16.7
R00015,R01857,3,5,1,0,1,20.0
R00015,R02056,3,11,1,0,1,9.1
R00015,R02102,3,14,0,1,2,14.3
R00016,R00315,6,4,1,0,1,16.7
R00016,R00822,6,4,1,0,1,16.7
R00017,R00039,12,13,2,0,2,15.4
R00017,R00060,12,8,2,0,2,16.7
R00017,R00158,12,26,2,0,2,7.7
R00017,R00389,12,2,0,2,2,16.7
R00017,R02092,12,3,2,0,2,16.7
R00018,R00052,15,21,0,3,5,23.8
R00018,R00212,15,13,0,4,4,26.7
R00018,R00256,15,31,0,3,5,16.1
R00018,R00436,15,42,0,3,5,11.9
R00018,R00488,15,14,0,3,5,33.3
R00018,R00489,15,17,0,3,5,29.4
R00018,R00525,15,15,0,3,4,26.7
R00018,R00526,15,16,2,0,4,25.0
R00018,R00617,15,14,2,0,3,20.0
R00018,R01338,15,14,1,0,1,6.7
R00018,R01578,15,16,0,6,6,37.5
R00018,R01636,15,22,0,3,5,22.7
R00018,R01637,15,32,0,3,5,15.6
R00018,R01645,15,21,0,3,5,23.8
R00018,R01660,15,38,0,3,5,13.2
R00018,R02064,15,18,0,3,13,72.2
R00018,R02066,15,10,0,3,5,33.3
R00018,R02073,15,9,0,3,5,33.3
R00018,R02093,15,21,0,3,4,19.0
R00019,R00301,3,15,1,0,2,13.3
R00019,R00368,3,8,0,1,1,12.5
R00019,R00448,3,3,0,2,2,66.7
R00019,R01374,3,23,0,1,1,4.3
R00019,R01392,3,4,0,1,1,25.0
R00019,R01730,3,4,0,2,2,50.0
R00019,R01855,3,6,0,1,1,16.7
R00019,R02054,3,10,0,1,1,10.0
R00020,R00701,19,9,0,3,3,15.8
R00020,R00837,19,9,0,9,9,47.4
R00021,R00075,17,22,0,12,12,54.5
R00021,R00717,17,18,0,12,12,66.7
R00022,R00025,4,5,0,4,4,80.0
R00022,R00279,4,2,1,0,1,25.0
R00023,R00186,36,19,1,0,1,2.8
R00023,R00194,36,8,0,1,1,2.8
R00023,R00195,36,13,0,1,1,2.8
R00023,R00196,36,17,0,1,1,2.8
R00023,R00197,36,14,0,1,1,2.8
R00023,R00205,36,15,0,1,1,2.8
R00023,R00339,36,11,1,0,1,2.8
R00023,R00495,36,13,0,1,1,2.8
R00023,R00559,36,30,1,0,1,2.8
R00023,R00592,36,33,2,0,2,5.6
R00023,R00594,36,19,1,0,1,2.8
R00023,R00622,36,4,1,0,1,2.8
R00023,R00709,36,18,1,0,1,2.8
R00023,R00764,36,15,0,1,1,2.8
R00023,R00809,36,7,0,1,1,2.8
R00023,R00825,36,18,0,1,2,5.6
R00023,R00948,36,51,3,0,27,52.9
R00023,R01197,36,5,0,2,5,13.9
R00023,R01232,36,8,1,0,1,2.8
R00023,R01246,36,40,3,0,3,7.5
R00023,R01265,36,23,2,0,2,5.6
R00023,R01292,36,7,0,1,1,2.8
R00023,R01433,36,12,0,1,1,2.8
R00023,R01434,36,12,0,1,1,2.8
R00023,R01435,36,8,0,1,1,2.8
R00023,R01436,36,13,0,1,1,2.8
R00023,R01746,36,9,1,0,1,2.8
R00023,R01770,36,12,1,0,1,2.8
R00023,R01772,36,10,0,4,4,11.1
R00023,R01782,36,13,1,0,1,2.8
R00023,R01809,36,17,1,0,1,2.8
R00023,R01835,36,27,1,0,1,2.8
R00023,R01914,36,9,0,2,3,8.3
R00023,R01940,36,16,0,4,4,11.1
R00023,R01968,36,15,0,1,1,2.8
R00023,R02084,36,11,1,0,1,2.8
R00024,R00242,16,16,1,0,1,6.2
R00024,R00243,16,14,1,0,1,6.2
R00024,R00701,16,9,1,0,1,6.2
R00024,R00953,16,18,1,0,1,5.6
R00024,R01008,16,11,1,0,1,6.2
R00024,R01278,16,15,1,0,1,6.2
R00024,R01521,16,14,1,0,1,6.2
R00024,R01776,16,16,1,0,1,6.2
R00024,R01780,16,24,1,0,1,4.2
R00024,R01794,16,4,1,0,1,6.2
R00024,R01840,16,4,1,0,1,6.2
R00024,R01858,16,19,1,0,1,5.3
R00024,R01898,16,25,1,0,1,4.0
R00025,R00274,5,2,2,0,2,40.0
R00026,R01607,5,7,0,4,4,57.1
R00027,R00094,19,28,1,0,1,3.6
R00027,R00121,19,19,1,0,2,10.5
R00027,R00300,19,7,1,0,1,5.3
R00027,R00312,19,4,1,0,1,5.3
R00027,R00360,19,22,1,0,2,9.1
R00027,R00404,19,6,3,0,3,15.8
R00027,R00453,19,18,1,0,2,10.5
R00027,R00468,19,45,1,0,2,4.4
R00027,R00769,19,15,1,4,14,73.7
R00027,R00949,19,13,4,0,4,21.1
R00027,R00991,19,31,1,0,1,3.2
R00027,R01060,19,2,1,0,2,10.5
R00027,R01388,19,26,1,0,2,7.7
R00027,R01400,19,15,1,7,15,78.9
R00027,R01404,19,13,1,4,12,63.2
R00027,R01409,19,5,0,1,5,26.3
R00027,R01612,19,14,1,0,1,5.3
R00027,R01613,19,19,3,0,3,15.8
R00027,R01635,19,4,1,0,1,5.3
R00027,R01973,19,11,1,0,10,52.6
R00027,R02044,19,24,1,0,2,8.3
R00027,R02045,19,9,1,0,1,5.3
R00028,R00348,14,24,1,0,1,4.2
R00028,R00379,14,43,4,0,8,18.6
R00028,R00428,14,4,1,0,1,7.1
R00028,R00924,14,8,3,0,3,21.4
R00028,R00935,14,47,4,0,7,14.9
R00028,R01151,14,16,1,0,1,6.2
R00028,R01329,14,8,1,0,1,7.1
R00028,R01331,14,7,1,0,1,7.1
R00028,R01332,14,13,1,0,1,7.1
R00028,R01346,14,5,1,0,2,14.3
R00028,R01361,14,12,1,0,1,7.1
R00028,R01443,14,24,1,0,1,4.2
R00028,R01465,14,9,1,0,2,14.3
R00028,R01662,14,18,1,0,1,5.6
R00028,R01712,14,23,1,0,1,4.3
R00028,R01716,14,5,1,0,3,21.4
R00028,R01723,14,13,1,0,1,7.1
R00028,R01784,14,25,1,0,1,4.0
R00028,R01855,14,6,1,0,1,7.1
R00028,R01943,14,16,3,0,3,18.8
R00028,R01972,14,7,2,0,2,14.3
R00028,R01996,14,21,1,0,1,4.8
R00029,R00151,28,14,1,0,1,3.6
R00029,R00395,28,18,0,1,1,3.6
R00029,R00816,28,14,0,2,2,7.1
R00029,R00843,28,15,0,2,2,7.1
R00029,R00886,28,14,0,4,4,14.3
R00029,R00889,28,13,0,4,4,14.3
R00029,R00899,28,12,0,2,2,7.1
R00029,R00900,28,14,0,4,4,14.3
R00029,R00911,28,8,0,2,2,7.1
R00029,R00954,28,22,0,8,22,78.6
R00029,R00973,28,10,0,9,10,35.7
R00029,R00999,28,20,0,1,1,3.6
R00029,R01047,28,26,0,1,1,3.6
R00029,R01153,28,9,0,2,2,7.1
R00029,R01198,28,19,0,1,1,3.6
R00029,R01220,28,15,0,1,1,3.6
R00029,R01223,28,11,0,1,1,3.6
R00029,R01231,28,11,0,1,1,3.6
R00029,R01268,28,23,2,0,9,32.1
R00029,R01382,28,13,1,0,1,3.6
R00029,R02076,28,11,0,1,1,3.6
R00029,R02077,28,5,0,1,1,3.6
R00030,R01795,7,2,0,1,1,14.3
R00031,R00268,5,2,0,1,1,20.0
R00031,R01725,5,9,1,0,1,11.1
R00031,R02101,5,4,0,2,2,40.0
R00032,R00325,11,12,1,0,1,8.3
R00032,R00350,11,25,1,0,1,4.0
R00032,R00392,11,7,2,2,7,63.6
R00032,R00681,11,3,1,0,1,9.1
R00032,R00696,11,4,1,0,1,9.1
R00032,R00711,11,24,2,0,2,8.3
R00032,R00744,11,20,0,11,11,55.0
R00032,R00761,11,23,2,0,2,8.7
R00032,R00918,11,21,1,0,1,4.8
R00032,R01235,11,16,1,0,1,6.2
R00032,R01317,11,5,1,0,1,9.1
R00032,R01467,11,21,1,0,1,4.8
R00032,R01984,11,11,1,0,1,9.1
R00032,R01985,11,10,1,0,1,9.1
R00032,R01987,11,12,1,0,1,8.3
R00032,R01996,11,21,0,11,11,52.4
R00033,R00036,19,16,0,5,12,63.2
R00033,R00041,19,13,0,3,10,52.6
R00033,R00053,19,27,0,5,11,40.7
R00033,R00072,19,26,0,5,11,42.3
R00033,R00095,19,7,0,3,5,26.3
R00033,R00134,19,12,0,3,9,47.4
R00033,R00146,19,9,0,3,6,31.6
R00033,R00155,19,8,0,5,7,36.8
R00033,R00201,19,3,0,3,3,15.8
R00033,R00209,19,9,0,5,9,47.4
R00033,R00226,19,16,0,8,13,68.4
R00033,R00381,19,9,1,0,1,5.3
R00033,R00429,19,18,0,3,11,57.9
R00033,R00435,19,12,0,5,9,47.4
R00033,R00471,19,12,0,8,11,57.9
R00033,R00479,19,7,0,6,7,36.8
R00033,R00504,19,6,1,0,1,5.3
R00033,R00585,19,6,1,0,1,5.3
R00033,R00981,19,7,0,3,6,31.6
R00033,R00982,19,10,0,3,8,42.1
R00033,R01056,19,15,1,0,1,5.3
R00033,R01263,19,8,1,0,1,5.3
R00033,R01308,19,11,0,2,2,10.5
R00033,R01389,19,5,1,0,1,5.3
R00033,R01397,19,4,1,0,1,5.3
R00033,R01410,19,12,0,2,2,10.5
R00033,R01506,19,9,1,0,1,5.3
R00033,R01508,19,30,0,5,11,36.7
R00033,R01513,19,17,0,8,13,68.4
R00033,R01854,19,6,1,0,1,5.3
R00033,R01857,19,5,1,0,1,5.3
R00033,R01938,19,11,0,3,9,47.4
R00033,R01941,19,9,0,6,8,42.1
R00033,R02041,19,8,0,3,5,26.3
R00033,R02056,19,11,1,0,1,5.3
R00034,R00321,36,71,0,25,25,35.2
R00034,R00346,36,14,0,14,14,38.9
R00034,R00350,36,25,0,11,21,58.3
R00034,R00351,36,18,0,11,14,38.9
R00034,R00540,36,6,1,0,2,5.6
R00034,R00580,36,5,0,2,2,5.6
R00034,R00621,36,4,2,0,2,5.6
R00034,R01037,36,34,1,0,9,25.0
R00034,R01246,36,40,0,11,25,62.5
R00034,R01325,36,19,0,11,14,38.9
R00034,R01374,36,23,1,0,8,22.2
R00034,R01381,36,57,1,13,29,50.9
R00034,R01644,36,11,1,0,6,16.7
R00034,R01652,36,14,1,0,6,16.7
R00034,R01748,36,8,1,0,1,2.8
R00034,R01777,36,8,3,0,6,16.7
R00034,R01784,36,25,0,25,25,69.4
R00034,R01819,36,15,0,13,14,38.9
R00034,R01894,36,7,1,0,1,2.8
R00035,R00045,14,15,0,7,11,73.3
R00035,R00098,14,14,0,7,7,50.0
R00035,R00106,14,36,0,2,2,5.6
R00035,R00123,14,14,0,7,9,64.3
R00035,R00130,14,22,0,2,2,9.1
R00035,R00132,14,2,0,1,1,7.1
R00035,R00169,14,12,0,2,2,14.3
R00035,R00171,14,10,0,1,1,7.1
R00035,R00184,14,21,0,2,2,9.5
R00035,R00313,14,10,0,1,1,7.1
R00035,R00344,14,33,0,1,1,3.0
R00035,R00356,14,16,0,2,8,50.0
R00035,R00357,14,16,0,7,7,43.8
R00035,R00378,14,30,0,2,2,6.7
R00035,R00455,14,73,0,1,1,1.4
R00035,R00472,14,9,0,2,2,14.3
R00035,R00480,14,29,0,2,2,6.9
R00035,R00486,14,18,0,1,1,5.6
R00035,R00581,14,28,0,2,2,7.1
R00035,R00688,14,12,1,0,1,7.1
R00035,R00750,14,31,0,9,13,41.9
R00035,R00935,14,47,0,1,1,2.1
R00035,R00948,14,51,0,1,1,2.0
R00035,R01028,14,21,1,0,1,4.8
R00035,R01127,14,10,0,2,2,14.3
R00035,R01152,14,10,0,2,6,42.9
R00035,R01169,14,15,0,1,1,6.7
R00035,R01176,14,19,0,2,2,10.5
R00035,R01201,14,13,0,2,2,14.3
R00035,R01202,14,7,0,1,1,7.1
R00035,R01221,14,14,0,2,2,14.3
R00035,R01260,14,13,3,2,11,78.6
R00035,R01271,14,10,0,4,9,64.3
R00035,R01273,14,11,0,4,7,50.0
R00035,R01303,14,15,0,2,2,13.3
R00035,R01464,14,22,0,2,2,9.1
R00035,R01544,14,8,1,0,1,7.1
R00035,R01591,14,20,0,2,2,10.0
R00035,R01720,14,6,0,2,2,14.3
R00035,R01796,14,9,4,2,9,64.3
R00035,R01844,14,24,0,2,2,8.3
R00035,R01853,14,11,0,7,9,64.3
R00035,R01860,14,11,0,2,6,42.9
R00035,R01865,14,28,0,1,2,7.1
R00035,R01870,14,4,1,0,1,7.1
R00035,R01879,14,22,0,2,2,9.1
R00035,R01979,14,16,4,0,5,31.2
R00035,R02061,14,4,0,2,2,14.3
R00036,R00041,16,13,0,3,8,50.0
R00036,R00053,16,27,0,6,15,55.6
R00036,R00072,16,26,0,6,15,57.7
R00036,R00095,16,7,0,3,5,31.2
R00036,R00124,16,11,1,0,2,12.5
R00036,R00134,16,12,0,3,8,50.0
R00036,R00146,16,9,0,3,6,37.5
R00036,R00155,16,8,0,6,7,43.8
R00036,R00201,16,3,0,3,3,18.8
R00036,R00209,16,9,0,6,9,56.2
R00036,R00226,16,16,1,5,14,87.5
R00036,R00429,16,18,0,3,9,50.0
R00036,R00435,16,12,0,6,9,56.2
R00036,R00471,16,12,0,5,9,56.2
R00036,R00479,16,7,0,5,6,37.5
R00036,R00981,16,7,0,3,6,37.5
R00036,R00982,16,10,0,3,8,50.0
R00036,R01308,16,11,0,2,2,12.5
R00036,R01410,16,12,0,2,2,12.5
R00036,R01508,16,30,0,6,14,46.7
R00036,R01513,16,17,0,5,14,82.4
R00036,R01535,16,9,3,0,3,18.8
R00036,R01938,16,11,0,3,7,43.8
R00036,R01941,16,9,0,5,7,43.8
R00036,R02041,16,8,0,3,5,31.2
R00037,R01148,20,9,0,7,9,45.0
R00038,R00111,17,13,2,0,2,11.8
R00038,R00228,17,28,2,0,2,7.1
R00038,R00290,17,19,1,0,1,5.3
R00038,R00298,17,30,1,0,1,3.3
R00038,R00359,17,11,1,0,1,5.9
R00038,R00367,17,5,1,0,1,5.9
R00038,R00842,17,22,1,0,2,9.1
R00038,R00846,17,22,1,0,1,4.5
R00038,R01087,17,12,1,0,2,11.8
R00038,R01292,17,7,1,0,1,5.9
R00038,R01362,17,13,1,0,1,5.9
R00038,R01411,17,10,2,0,2,11.8
R00038,R01438,17,4,1,0,1,5.9
R00038,R01447,17,21,1,0,1,4.8
R00038,R01450,17,34,1,0,1,2.9
R00038,R01452,17,21,1,0,1,4.8
R00038,R01461,17,2,0,1,1,5.9
R00038,R01525,17,3,2,0,3,17.6
R00038,R01726,17,20,2,0,2,10.0
R00038,R01753,17,5,1,0,1,5.9
R00038,R01756,17,12,0,12,12,70.6
R00038,R01758,17,3,0,1,1,5.9
R00038,R01769,17,2,0,1,1,5.9
R00038,R01771,17,4,0,1,1,5.9
R00038,R01928,17,6,0,1,1,5.9
R00038,R02012,17,7,2,0,3,17.6
R00039,R00060,13,8,3,0,7,53.8
R00039,R00158,13,26,3,0,8,30.8
R00039,R02092,13,3,3,0,3,23.1
R00041,R00053,13,27,0,3,7,25.9
R00041,R00072,13,26,0,3,7,26.9
R00041,R00095,13,7,0,7,7,53.8
R00041,R00134,13,12,4,8,12,92.3
R00041,R00146,13,9,0,3,8,61.5
R00041,R00155,13,8,2,3,8,61.5
R00041,R00201,13,3,0,3,3,23.1
R00041,R00209,13,9,0,3,7,53.8
R00041,R00226,13,16,0,3,9,56.2
R00041,R00429,13,18,0,3,12,66.7
R00041,R00435,13,12,0,3,8,61.5
R00041,R00471,13,12,0,3,10,76.9
R00041,R00479,13,7,0,3,7,53.8
R00041,R00981,13,7,0,3,7,53.8
R00041,R00982,13,10,4,3,10,76.9
R00041,R01308,13,11,0,2,2,15.4
R00041,R01410,13,12,0,2,2,15.4
R00041,R01508,13,30,0,3,7,23.3
R00041,R01513,13,17,0,3,10,58.8
R00041,R01938,13,11,2,3,11,84.6
R00041,R01941,13,9,2,3,9,69.2
R00041,R02041,13,8,0,3,7,53.8
R00042,R00070,22,19,0,19,19,86.4
R00042,R01214,22,3,0,3,3,13.6
R00042,R01217,22,20,4,0,9,40.9
R00042,R01361,22,12,0,12,12,54.5
R00042,R01799,22,6,1,0,1,4.5
R00043,R00265,25,23,0,1,1,4.0
R00043,R00417,25,17,3,0,4,16.0
R00043,R00657,25,26,4,2,20,76.9
R00043,R00658,25,15,3,0,12,48.0
R00043,R00660,25,57,0,1,1,1.8
R00043,R00691,25,2,1,0,1,4.0
R00043,R00740,25,18,0,2,14,56.0
R00043,R00743,25,22,0,2,18,72.0
R00043,R00747,25,26,4,0,4,15.4
R00043,R00774,25,9,0,1,1,4.0
R00043,R00812,25,34,0,2,21,61.8
R00043,R00930,25,11,0,2,9,36.0
R00043,R00932,25,10,0,1,1,4.0
R00043,R00933,25,11,0,1,1,4.0
R00043,R00967,25,19,0,2,14,56.0
R00043,R00970,25,37,0,1,1,2.7
R00043,R00985,25,30,3,0,3,10.0
R00043,R01241,25,48,0,1,1,2.1
R00043,R01511,25,7,0,1,1,4.0
R00043,R01707,25,5,0,1,1,4.0
R00043,R01708,25,5,0,1,1,4.0
R00043,R01898,25,25,0,1,1,4.0
R00043,R01930,25,23,0,6,16,64.0
R00043,R01980,25,8,0,1,1,4.0
R00043,R02090,25,6,0,1,1,4.0
R00044,R00046,22,31,3,7,22,71.0
R00044,R00122,22,13,0,4,10,45.5
R00044,R00254,22,19,0,7,15,68.2
R00044,R00297,22,21,0,2,2,9.1
R00044,R00491,22,26,0,2,4,15.4
R00044,R00524,22,16,0,10,12,54.5
R00044,R00526,22,16,0,4,4,18.2
R00044,R00536,22,22,0,4,4,18.2
R00044,R00608,22,14,0,2,2,9.1
R00044,R00610,22,27,0,2,5,18.5
R00044,R00624,22,12,0,4,4,18.2
R00044,R00630,22,8,3,0,3,13.6
R00044,R00654,22,27,0,6,6,22.2
R00044,R01168,22,29,3,0,3,10.3
R00044,R01587,22,29,0,7,13,44.8
R00044,R01639,22,26,0,10,12,46.2
R00044,R01674,22,13,0,13,13,59.1
R00044,R01745,22,24,0,2,4,16.7
R00044,R01969,22,26,0,8,8,30.8
R00044,R01975,22,26,0,7,8,30.8
R00045,R00098,15,14,0,7,7,46.7
R00045,R00106,15,36,0,2,2,5.6
R00045,R00123,15,14,0,12,12,80.0
R00045,R00130,15,22,0,2,2,9.1
R00045,R00132,15,2,0,1,1,6.7
R00045,R00169,15,12,0,2,2,13.3
R00045,R00171,15,10,0,1,1,6.7
R00045,R00184,15,21,0,2,2,9.5
R00045,R00313,15,10,0,1,1,6.7
R00045,R00344,15,33,0,1,1,3.0
R00045,R00356,15,16,3,2,9,56.2
R00045,R00357,15,16,0,7,7,43.8
R00045,R00378,15,30,0,2,2,6.7
R00045,R00455,15,73,0,1,1,1.4
R00045,R00472,15,9,0,2,2,13.3
R00045,R00480,15,29,0,2,2,6.9
R00045,R00486,15,18,0,1,1,5.6
R00045,R00581,15,28,0,2,2,7.1
R00045,R00685,15,10,1,0,1,6.7
R00045,R00750,15,31,0,7,10,32.3
R00045,R00935,15,47,0,1,1,2.1
R00045,R00948,15,51,0,1,1,2.0
R00045,R01127,15,10,0,2,2,13.3
R00045,R01152,15,10,0,2,6,40.0
R00045,R01169,15,15,0,1,1,6.7
R00045,R01176,15,19,0,2,2,10.5
R00045,R01185,15,13,1,0,1,6.7
R00045,R01201,15,13,0,2,2,13.3
R00045,R01202,15,7,0,1,1,6.7
R00045,R01221,15,14,0,2,2,13.3
R00045,R01260,15,13,0,2,9,60.0
R00045,R01271,15,10,4,4,10,66.7
R00045,R01273,15,11,3,4,8,53.3
R00045,R01303,15,15,0,2,2,13.3
R00045,R01464,15,22,0,2,2,9.1
R00045,R01591,15,20,0,2,2,10.0
R00045,R01720,15,6,0,2,2,13.3
R00045,R01796,15,9,0,2,6,40.0
R00045,R01844,15,24,0,2,2,8.3
R00045,R01853,15,11,0,8,10,66.7
R00045,R01860,15,11,0,2,6,40.0
R00045,R01865,15,28,0,1,2,7.1
R00045,R01873,15,6,1,0,1,6.7
R00045,R01879,15,22,0,2,2,9.1
R00045,R02061,15,4,0,2,2,13.3
R00046,R00122,31,13,0,4,12,38.7
R00046,R00254,31,19,0,10,19,61.3
R00046,R00297,31,21,0,2,2,6.5
R00046,R00491,31,26,0,2,4,12.9
R00046,R00524,31,16,0,7,12,38.7
R00046,R00526,31,16,0,4,4,12.9
R00046,R00536,31,22,0,4,4,12.9
R00046,R00608,31,14,0,2,2,6.5
R00046,R00610,31,27,0,2,5,16.1
R00046,R00624,31,12,0,4,4,12.9
R00046,R00630,31,8,3,0,3,9.7
R00046,R00654,31,27,0,6,6,19.4
R00046,R01168,31,29,3,0,3,9.7
R00046,R01587,31,29,0,10,17,54.8
R00046,R01639,31,26,0,7,13,41.9
R00046,R01674,31,13,0,7,13,41.9
R00046,R01745,31,24,0,2,4,12.9
R00046,R01969,31,26,0,7,8,25.8
R00046,R01975,31,26,0,9,9,29.0
R00047,R00248,2,29,2,0,2,6.9
R00047,R01419,2,23,2,0,2,8.7
R00047,R01677,2,4,2,0,2,50.0
R00048,R00102,14,57,2,0,2,3.5
R00048,R00139,14,18,2,0,3,16.7
R00048,R00162,14,20,2,0,2,10.0
R00048,R00175,14,10,1,0,1,7.1
R00048,R00179,14,36,2,0,2,5.6
R00048,R00181,14,8,1,0,1,7.1
R00048,R00183,14,22,2,0,2,9.1
R00048,R00305,14,10,1,0,1,7.1
R00048,R00321,14,71,1,0,1,1.4
R00048,R00574,14,13,2,2,6,42.9
R00048,R00625,14,13,2,0,2,14.3
R00048,R00714,14,12,2,0,4,28.6
R00048,R00871,14,6,2,0,2,14.3
R00048,R00938,14,5,1,0,1,7.1
R00048,R01128,14,10,2,0,2,14.3
R00048,R01129,14,18,2,0,2,11.1
R00048,R01143,14,4,2,0,2,14.3
R00048,R01149,14,7,1,0,1,7.1
R00048,R01244,14,22,4,0,5,22.7
R00048,R01258,14,13,2,0,4,28.6
R00048,R01270,14,17,2,0,2,11.8
R00048,R01673,14,12,2,0,7,50.0
R00048,R01795,14,2,1,0,1,7.1
R00048,R01845,14,7,2,0,2,14.3
