station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band
SCR041,Barry Links,BYL,,,,56.493206,-2.745444,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR041,,,False,regional
SCR042,Bathgate,BHG,,,,55.898678,-3.644019,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR042,,,False,regional
SCR043,Bearsden,BRN,,,,55.917202,-4.332945,,,,,,,,,,,,,,,,,,,,,,,,['Argyle Line'],Argyle Line,False,False,single,False,True,False,SCR043,,,False,regional
SCR044,Beasdale,BSL,,,,56.899624,-5.763864,,,,,,,,,,,,,,,,,,,,,,,,['West Highland Line'],West Highland Line,False,False,single,False,True,True,SCR044,,,False,regional
SCR045,Beauly,BEL,,,,57.478,-4.4698,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR045,,,False,regional
SCR046,Bellgrove,BLG,,,,55.857182,-4.22547,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR046,,,False,regional
SCR047,Bellshill,BLH,,,,55.816605,-4.025222,,,,,,,,,,,,,,,,,,,,,,,,['Shotts Line'],Shotts Line,False,False,single,False,True,False,SCR047,,,False,regional
SCR048,Bishopbriggs,BBG,,,,55.903927,-4.224958,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR048,,,False,regional
SCR049,Bishopton,BPT,,,,55.902206,-4.501637,,,,,,,,,,,,,,,,,,,,,,,,['Inverclyde Line'],Inverclyde Line,False,False,single,False,True,True,SCR049,,,False,regional
SCR050,Blackridge,BKR,,,,55.88368,-3.75047,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR050,,,False,regional
SCR051,Blair Atholl,BLA,,,,56.765614,-3.85025,,,,,,,,,,,,,,,,,,,,,,,,['Highland Main Line'],Highland Main Line,False,False,multiple,False,True,False,SCR051,,,False,regional
SCR052,Blairhill,BAI,,,,55.866653,-4.04221,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR052,,,False,regional
SCR053,Blantyre,BLT,,,,55.7976,-4.086466,,,,,,,,,,,,,,,,,,,,,,,,['Argyle Line'],Argyle Line,False,False,single,False,True,False,SCR053,,,False,regional
SCR054,Bogston,BGS,,,,55.937267,-4.713676,,,,,,,,,,,,,,,,,,,,,,,,['Inverclyde Line'],Inverclyde Line,False,False,single,False,True,True,SCR054,,,False,regional
SCR055,Bowling,BWG,,,,55.931129,-4.493879,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR055,,,False,regional
SCR056,Branchton,BCN,,,,55.940647,-4.803598,,,,,,,,,,,,,,,,,,,,,,,,['Wemyss Bay Branch'],Wemyss Bay Branch,False,False,single,False,True,False,SCR056,,,False,regional
SCR057,Breich,BRC,,,,55.827351,-3.668147,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR057,,,False,regional
SCR058,Bridge of Allan,BEA,,,,56.157429,-3.956166,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR058,,,False,regional
SCR059,Bridge of Orchy,BRO,,,,56.515926,-4.763048,,,,,,,,,,,,,,,,,,,,,,,,['West Highland Line'],West Highland Line,False,False,multiple,False,True,True,SCR059,,,False,regional
SCR060,Bridgeton,BDG,,,,55.849968,-4.226668,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR060,,,False,regional
SCR061,Brora,BRA,,,,58.012657,-3.853251,,,,,,,,,,,,,,,,,,,,,,,,['Far North Line'],Far North Line,False,False,single,True,False,True,SCR061,,,False,regional
SCR062,Broughty Ferry,BYF,,,,56.467213,-2.873153,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR062,,,False,regional
SCR063,Brunstane,BSU,,,,55.94143,-3.10064,,,,,,,,,,,,,,,,,,,,,,,,['Borders Railway'],Borders Railway,False,False,single,True,False,False,SCR063,,,False,regional
SCR064,Burnside,BUI,,,,55.817123,-4.204029,,,,,,,,,,,,,,,,,,,,,,,,['East Kilbride Line'],East Kilbride Line,False,False,single,False,True,False,SCR064,,,False,regional
SCR065,Burntisland,BTS,,,,56.057133,-3.233214,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR065,,,False,regional
SCR066,Busby,BUS,,,,55.780109,-4.262551,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR066,,,False,regional
SCR067,Caldercruix,CAC,,,,55.88791,-3.88978,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR067,,,False,regional
SCR068,Cambuslang,CBL,,,,55.819458,-4.173839,,,,,,,,,,,,,,,,,,,,,,,,['Argyle Line'],Argyle Line,False,False,single,False,True,False,SCR068,,,False,regional
SCR069,Camelon,CMO,,,,56.006775,-3.817015,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR069,,,False,regional
SCR070,Cameron Bridge,CBX,,,,56.189693,-3.046855,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR070,,,False,regional
SCR071,Cardenden,CDD,,,,56.141308,-3.261651,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR071,,,False,regional
SCR072,Cardonald,CDO,,,,55.853252,-4.340297,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR072,,,False,regional
SCR073,Cardross,CDR,,,,55.960163,-4.652782,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR073,,,False,regional
SCR074,Carfin,CRF,,,,55.806938,-3.956112,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR074,,,False,regional
SCR075,Carluke,CLU,,,,55.730408,-3.848761,,,,,,,,,,,,,,,,,,,,,,,,['Lanark Line'],Lanark Line,False,False,single,True,False,False,SCR075,,,False,regional
SCR076,Carmyle,CML,,,,55.834053,-4.161873,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR076,,,False,regional
SCR077,Carnoustie,CAN,,,,56.500618,-2.7066,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR077,,,False,regional
SCR078,Carntyne,CAY,,,,55.854412,-4.17898,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR078,,,False,regional
SCR079,Carrbridge,CAG,,,,57.279873,-3.829541,,,,,,,,,,,,,,,,,,,,,,,,['Highland Main Line'],Highland Main Line,False,False,single,False,True,False,SCR079,,,False,regional
SCR080,Carstairs,CRS,,,,55.69075,-3.668696,,,,,,,,,,,,,,,,,,,,,,,,['Carstairs Corridor'],Carstairs Corridor,False,False,single,False,True,False,SCR080,,,False,regional
SCR081,Cartsdyke,CDY,,,,55.942261,-4.731633,,,,,,,,,,,,,,,,,,,,,,,,['Inverclyde Line'],Inverclyde Line,False,False,single,False,True,True,SCR081,,,False,regional
SCR082,Cathcart,CCT,,,,55.817879,-4.261552,,,,,,,,,,,,,,,,,,,,,,,,['Cathcart Circle'],Cathcart Circle,False,False,single,False,True,False,SCR082,,,False,regional
SCR083,Charing Cross (Glasgow),CHC,,,,55.865345,-4.270689,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR083,,,False,regional
SCR084,Chatelherault,CTE,,,,55.76521,-4.00466,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR084,,,False,regional
SCR085,Clarkston,CKS,,,,55.789753,-4.275865,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR085,,,False,regional
SCR086,Cleland,CEA,,,,55.804073,-3.909695,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR086,,,False,regional
SCR087,Clydebank,CYK,,,,55.900562,-4.403927,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR087,,,False,regional
SCR088,Coatbridge Central,CBC,,,,55.863213,-4.032443,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR088,,,False,regional
SCR089,Coatbridge Sunnyside,CBS,,,,55.866886,-4.027847,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR089,,,False,regional
SCR090,Coatdyke,COA,,,,55.864567,-4.005343,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR090,,,False,regional
SCR091,Connel Ferry,CON,,,,56.451981,-5.384973,,,,,,,,,,,,,,,,,,,,,,,,['Oban Branch'],Oban Branch,False,False,multiple,True,False,False,SCR091,,,False,regional
SCR092,Conon Bridge,CBD,,,,57.5617,-4.4404,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR092,,,False,regional
SCR093,Corkerhill,CKH,,,,55.836494,-4.323322,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR093,,,False,regional
SCR094,Corpach,CPA,,,,56.842724,-5.121662,,,,,,,,,,,,,,,,,,,,,,,,['West Highland Line'],West Highland Line,False,False,single,False,True,True,SCR094,,,False,regional
SCR095,Corrour,CRR,,,,56.760181,-4.690966,,,,,,,,,,,,,,,,,,,,,,,,['West Highland Line'],West Highland Line,False,False,single,False,True,True,SCR095,,,False,regional
SCR096,Cowdenbeath,COW,,,,56.111679,-3.344314,,,,,,,,,,,,,,,,,,,,,,,,['Fife Circle'],Fife Circle,False,False,single,False,True,False,SCR096,,,False,regional
SCR097,Craigendoran,CGD,,,,55.99485,-4.711291,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR097,,,False,regional
SCR098,Crianlarich,CNR,,,,56.389652,-4.617778,,,,,,,,,,,,,,,,,,,,,,,,"['West Highland Line', 'Oban Branch']",West Highland Line,False,False,single,True,False,True,SCR098,,,False,regional
SCR099,Croftfoot,CFF,,,,55.818455,-4.229643,,,,,,,,,,,,,,,,,,,,,,,,['East Kilbride Line'],East Kilbride Line,False,False,single,False,True,False,SCR099,,,False,regional
SCR100,Crookston,CKT,,,,55.84388,-4.36049,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR100,,,False,regional
SCR101,Crosshill,COI,,,,55.833225,-4.257648,,,,,,,,,,,,,,,,,,,,,,,,['East Kilbride Line'],East Kilbride Line,False,False,single,False,True,False,SCR101,,,False,regional
SCR102,Crossmyloof,CMY,,,,55.833626,-4.284813,,,,,,,,,,,,,,,,,,,,,,,,['Cathcart Circle'],Cathcart Circle,False,False,single,False,True,False,SCR102,,,False,regional
SCR103,Croy,CRO,,,,55.955734,-4.035697,,,,,,,,,,,,,,,,,,,,,,,,['Edinburgh–Glasgow Main Line'],Edinburgh–Glasgow Main Line,False,False,single,False,True,False,SCR103,,,False,regional
SCR104,Culrain,CUA,,,,57.919842,-4.405676,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR104,,,False,regional
SCR105,Cumbernauld,CUB,,,,55.941326,-3.982089,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR105,,,False,regional
SCR106,Cupar,CUP,,,,56.317043,-3.008772,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR106,,,False,regional
SCR107,Curriehill,CUH,,,,55.901703,-3.317849,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR107,,,False,regional
SCR108,Dalgety Bay,DAG,,,,56.044178,-3.354809,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,multiple,False,True,False,SCR108,,,False,regional
SCR109,Dalmally,DAL,,,,56.400272,-4.9832,,,,,,,,,,,,,,,,,,,,,,,,['Oban Branch'],Oban Branch,False,False,single,True,False,False,SCR109,,,False,regional
SCR110,Dalmarnock,DAK,,,,55.839371,-4.21647,,,,,,,,,,,,,,,,,,,,,,,,['Argyle Line'],Argyle Line,False,False,single,False,True,False,SCR110,,,False,regional
SCR111,Dalmeny,DAM,,,,55.986362,-3.381645,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR111,,,False,regional
SCR112,Dalmuir,DMR,,,,55.911793,-4.427038,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR112,,,False,regional
SCR113,Dalreoch,DLR,,,,55.947365,-4.578226,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR113,,,False,regional
SCR114,Dalry,DLY,,,,55.705395,-4.711899,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR114,,,False,regional
SCR115,Dalwhinnie,DLW,,,,56.934334,-4.246498,,,,,,,,,,,,,,,,,,,,,,,,['Highland Main Line'],Highland Main Line,False,False,single,False,True,False,SCR115,,,False,regional
SCR116,Dingwall,DIN,,,,57.594238,-4.422611,,,,,,,,,,,,,,,,,,,,,,,,"['Kyle Line', 'Far North Line']",Kyle Line,False,False,single,True,False,True,SCR116,,,False,regional
SCR117,Drem,DRM,,,,56.005981,-2.785752,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR117,,,False,regional
SCR118,Drumchapel,DMC,,,,55.904926,-4.364204,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR118,,,False,regional
SCR119,Drumfrochar,DFR,,,,55.941292,-4.774822,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR119,,,False,regional
SCR120,Drumgelloch,DRU,,,,55.867233,-3.95114,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR120,,,False,regional
SCR121,Drumry,DMY,,,,55.904495,-4.386583,,,,,,,,,,,,,,,,,,,,,,,,[],,False,False,single,False,True,False,SCR121,,,False,regional
SCR122,Duirinish,DRN,,,,57.319847,-5.692103,,,,,,,,,,,,,,,,,,,,,,,,['Kyle Line'],Kyle Line,False,False,single,True,False,True,SCR122,,,False,regional
