station_id,route_id,station_name,crs,operator,route,county,region,latitude,longitude,is_interchange,major_interchange,is_terminus1,branch_junction,is_junction,canonical_time_to_...,time_band,distance_from_..._km,distance_band,time_band,accessibility_score,difficulty_score,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km
SC_0334,SC_R0334,Stranraer,STR,Scotrail,Stranraer Line,,,54.909626,-5.024806,,,TRUE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR334,,,FALSE,regional,,,,,,,,,,,,
SC_0047,SC_R0047,Bellshill,BLH,Scotrail,Shotts Line,,,55.816605,-4.025222,,,FALSE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR047,,,FALSE,regional,,,,,,,,,,,,
SC_0167,SC_R0167,Glasgow Central,GLC,Scotrail,Shotts Line,,,55.860157,-4.259208,,,TRUE,,,,,,,,,,multiple,TRUE,FALSE,TRUE,SCR167,,,FALSE,regional,,,,,,,,,,,,
SC_0244,SC_R0244,Livingston South,LVG,Scotrail,Shotts Line,,,55.871712,-3.503823,,,FALSE,,,,,,,,,,multiple,FALSE,TRUE,FALSE,SCR244,,,FALSE,regional,,,,,,,,,,,,
SC_0321,SC_R0321,Shotts,SHS,Scotrail,Shotts Line,,,55.818302,-3.80024,,,TRUE,,,,,,,,,,single,FALSE,TRUE,FALSE,SCR321,,,FALSE,regional,,,,,,,,,,,,
SC_0352,SC_R0352,West Calder,WCL,Scotrail,Shotts Line,,,55.853848,-3.567045,,,FALSE,,,,,,,,,,multiple,FALSE,TRUE,FALSE,SCR352,,,FALSE,regional,,,,,,,,,,,,
SC_0091,SC_R0091,Connel Ferry,CON,Scotrail,Oban Branch,,,56.451981,-5.384973,,,FALSE,,,,,,,,,,multiple,TRUE,FALSE,FALSE,SCR091,,,FALSE,regional,,,,,,,,,,,,
SC_0109,SC_R0109,Dalmally,DAL,Scotrail,Oban Branch,,,56.400272,-4.9832,,,TRUE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR109,,,FALSE,regional,,,,,,,,,,,,
SC_0150,SC_R0150,Falls of Cruachan,FOC,Scotrail,Oban Branch,,,56.386242,-5.114992,,,FALSE,,,,,,,,,,multiple,TRUE,FALSE,FALSE,SCR150,,,FALSE,regional,,,,,,,,,,,,
SC_0245,SC_R0245,Loch Awe,LHA,Scotrail,Oban Branch,,,56.402481,-5.040117,,,FALSE,,,,,,,,,,multiple,TRUE,FALSE,FALSE,SCR245,,,FALSE,regional,,,,,,,,,,,,
SC_0283,SC_R0283,Oban,OBN,Scotrail,Oban Branch,,,56.411758,-5.473841,,,TRUE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR283,,,FALSE,regional,,,,,,,,,,,,
SC_0339,SC_R0339,Taynuilt,TAY,Scotrail,Oban Branch,,,56.430714,-5.23868,,,FALSE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR339,,,FALSE,regional,,,,,,,,,,,,
SC_0346,SC_R0346,Tyndrum Lower,TYL,Scotrail,Oban Branch,,,56.433407,-4.714873,,,FALSE,,,,,,,,,,multiple,TRUE,FALSE,FALSE,SCR346,,,FALSE,regional,,,,,,,,,,,,
SC_0039,SC_R0039,Barrhead,BRR,Scotrail,Neilston Line,,,55.804535,-4.396411,,,TRUE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR039,,,FALSE,regional,,,,,,,,,,,,
SC_0212,SC_R0212,Kennishead,KNS,Scotrail,Neilston Line,,,55.813099,-4.325119,,,FALSE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR212,,,FALSE,regional,,,,,,,,,,,,
SC_0273,SC_R0273,Neilston,NEI,Scotrail,Neilston Line,,,55.782364,-4.426945,,,TRUE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR273,,,FALSE,regional,,,,,,,,,,,,
SC_0280,SC_R0280,Nitshill,NIT,Scotrail,Neilston Line,,,55.811531,-4.360126,,,FALSE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR280,,,FALSE,regional,,,,,,,,,,,,
SC_0295,SC_R0295,Pollokshields West,PLW,Scotrail,Neilston Line,,,55.83736,-4.277043,,,FALSE,,,,,,,,,,multiple,TRUE,FALSE,FALSE,SCR295,,,FALSE,regional,,,,,,,,,,,,
SC_0303,SC_R0303,Priesthill & Darnley,PTL,Scotrail,Neilston Line,,,55.812737,-4.344246,,,FALSE,,,,,,,,,,multiple,TRUE,FALSE,FALSE,SCR303,,,FALSE,regional,,,,,,,,,,,,
SC_0021,SC_R0021,Ardrossan South Beach,ASB,Scotrail,Largs Branch,,,55.640495,-4.799593,,,TRUE,,,,,,,,,,multiple,TRUE,FALSE,TRUE,SCR021,,,FALSE,regional,,,,,,,,,,,,
SC_0147,SC_R0147,Fairlie,FRL,Scotrail,Largs Branch,,,55.752514,-4.853834,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR147,,,FALSE,regional,,,,,,,,,,,,
SC_0236,SC_R0236,Largs,LAR,Scotrail,Largs Branch,,,55.792637,-4.867942,,,TRUE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR236,,,FALSE,regional,,,,,,,,,,,,
SC_0313,SC_R0313,Saltcoats,SLT,Scotrail,Largs Branch,,,55.633648,-4.784804,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR313,,,FALSE,regional,,,,,,,,,,,,
SC_0329,SC_R0329,Stevenston,STV,Scotrail,Largs Branch,,,55.633533,-4.749829,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR329,,,FALSE,regional,,,,,,,,,,,,
SC_0353,SC_R0353,West Kilbride,WKB,Scotrail,Largs Branch,,,55.696842,-4.851365,,,FALSE,,,,,,,,,,multiple,TRUE,FALSE,TRUE,SCR353,,,FALSE,regional,,,,,,,,,,,,
SC_0007,SC_R0007,Airbles,AIR,Scotrail,Lanark Line,,,55.782504,-3.994447,,,FALSE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR007,,,FALSE,regional,,,,,,,,,,,,
SC_0075,SC_R0075,Carluke,CLU,Scotrail,Lanark Line,,,55.730408,-3.848761,,,FALSE,,,,,,,,,,single,TRUE,FALSE,FALSE,SCR075,,,FALSE,regional,,,,,,,,,,,,
