station_id,network,route_station_id,route_group,crs,station_name
NO_000116,Northern,NO0116,,COT,Cottingley
NO_000117,Northern,NO0117,,CRM,Cramlington
NO_000118,Northern,NO0118,,CRG,Cross Gates
NO_000119,Northern,NO0119,,CFL,Crossflatts
NO_000120,Northern,NO0120,,CSO,Croston
NO_000121,Northern,NO0121,,CWE,Crowle
NO_000122,Northern,NO0122,,CUD,Cuddington
NO_000123,Northern,NO0123,,DSY,Daisy Hill
NO_000124,Northern,NO0124,,DLS,Dalston (Cumbria)
NO_000125,Northern,NO0125,,DLT,Dalton (Cumbria)
NO_000126,Northern,NO0126,,DNY,Danby
NO_000127,Northern,NO0127,,DAN,Darnall
NO_000128,Northern,NO0128,,DRT,Darton
NO_000129,Northern,NO0129,,DWN,Darwen
NO_000130,Northern,NO0130,,DVN,Davenport
NO_000131,Northern,NO0131,,DGT,Deansgate
NO_000132,Northern,NO0132,,DHN,Deighton
NO_000133,Northern,NO0133,,DLM,Delamere
NO_000134,Northern,NO0134,,DBD,Denby Dale
NO_000135,Northern,NO0135,,DNT,Dent
NO_000136,Northern,NO0136,,DTN,Denton
NO_000137,Northern,NO0137,,DND,Dinsdale
NO_000138,Northern,NO0138,,DTG,Dinting
NO_000139,Northern,NO0139,,DSL,Disley
NO_000140,Northern,NO0140,,DOD,Dodworth
NO_000141,Northern,NO0141,,DOR,Dore & Totley
NO_000142,Northern,NO0142,,DVH,Dove Holes
NO_000143,Northern,NO0143,,DRF,Driffield
NO_000144,Northern,NO0144,,DRI,Drigg
NO_000145,Northern,NO0145,,DRO,Dronfield
NO_000146,Northern,NO0146,,DOT,Dunston
NO_000147,Northern,NO0147,,EAG,Eaglescliffe
NO_000148,Northern,NO0148,,ERL,Earlestown
NO_000149,Northern,NO0149,,EDY,East Didsbury
NO_000150,Northern,NO0150,,EGF,East Garforth
NO_000151,Northern,NO0151,,EGN,Eastrington
NO_000152,Northern,NO0152,,ECC,Eccles (Manchester)
NO_000153,Northern,NO0153,,ECL,Eccleston Park
NO_000154,Northern,NO0154,,EDL,Edale
NO_000155,Northern,NO0155,,EDG,Edge Hill
NO_000156,Northern,NO0156,,EGT,Egton
NO_000157,Northern,NO0157,,ELR,Elsecar
NO_000158,Northern,NO0158,,ENT,Entwistle
NO_000159,Northern,NO0159,,EBA,Euxton Balshaw Lane
NO_000160,Northern,NO0160,,FRF,Fairfield
NO_000161,Northern,NO0161,,FNW,Farnworth
NO_000162,Northern,NO0162,,FEA,Featherstone
NO_000163,Northern,NO0163,,FRY,Ferriby
NO_000164,Northern,NO0164,,FIL,Filey
NO_000165,Northern,NO0165,,FZW,Fitzwilliam
NO_000166,Northern,NO0166,,FLM,Flimby
NO_000167,Northern,NO0167,,FLI,Flixton
NO_000168,Northern,NO0168,,FLF,Flowery Field
NO_000169,Northern,NO0169,,FOX,Foxfield
NO_000170,Northern,NO0170,,FZH,Frizinghall
NO_000171,Northern,NO0171,,FNV,Furness Vale
NO_000172,Northern,NO0172,,GNB,Gainsborough Central
NO_000173,Northern,NO0173,,GRF,Garforth
NO_000174,Northern,NO0174,,GGV,Gargrave
NO_000175,Northern,NO0175,,GSD,Garsdale
NO_000176,Northern,NO0176,,GSW,Garswood
NO_000177,Northern,NO0177,,GST,Gathurst
NO_000178,Northern,NO0178,,GTY,Gatley
NO_000179,Northern,NO0179,,GIG,Giggleswick
NO_000180,Northern,NO0180,,GBD,Gilberdyke
NO_000181,Northern,NO0181,,GLS,Glaisdale
NO_000182,Northern,NO0182,,GLH,Glasshoughton
NO_000183,Northern,NO0183,,GLZ,Glazebrook
NO_000184,Northern,NO0184,,GLO,Glossop
NO_000185,Northern,NO0185,,GDL,Godley
NO_000186,Northern,NO0186,,GOE,Goldthorpe
NO_000187,Northern,NO0187,,GOO,Goole
NO_000188,Northern,NO0188,,GTR,Goostrey
NO_000189,Northern,NO0189,,GTO,Gorton
NO_000190,Northern,NO0190,,GOS,Grange-over-Sands
NO_000191,Northern,NO0191,,GTA,Great Ayton
NO_000192,Northern,NO0192,,GNR,Green Road
NO_000193,Northern,NO0193,,GBK,Greenbank
NO_000194,Northern,NO0194,,GNF,Greenfield
NO_000195,Northern,NO0195,,GRN,Grindleford
NO_000196,Northern,NO0196,,GMT,Grosmont
NO_000197,Northern,NO0197,,GUI,Guide Bridge
NO_000198,Northern,NO0198,,GSY,Guiseley
NO_000199,Northern,NO0199,,GYP,Gypsy Lane
NO_000200,Northern,NO0200,,HDF,Hadfield
NO_000201,Northern,NO0201,,HGF,Hag Fold
NO_000202,Northern,NO0202,,HAL,Hale (Manchester)
NO_000203,Northern,NO0203,,HED,Halewood
NO_000204,Northern,NO0204,,HFX,Halifax
NO_000205,Northern,NO0205,,HID,Hall-i'-th'-Wood
NO_000206,Northern,NO0206,,HWH,Haltwhistle
NO_000207,Northern,NO0207,,HMM,Hammerton
NO_000208,Northern,NO0208,,HTH,Handforth
NO_000209,Northern,NO0209,,HPN,Hapton
NO_000210,Northern,NO0210,,HRR,Harrington
NO_000211,Northern,NO0211,,HGT,Harrogate
NO_000212,Northern,NO0212,,HPL,Hartlepool
NO_000213,Northern,NO0213,,HFS,Hatfield & Stainforth
NO_000214,Northern,NO0214,,HSG,Hathersage
NO_000215,Northern,NO0215,,HTY,Hattersley
NO_000216,Northern,NO0216,,HDB,Haydon Bridge
NO_000217,Northern,NO0217,,HAZ,Hazel Grove
NO_000218,Northern,NO0218,,HDY,Headingley
NO_000219,Northern,NO0219,,HDG,Heald Green
NO_000220,Northern,NO0220,,HTC,Heaton Chapel
NO_000221,Northern,NO0221,,HBD,Hebden Bridge
NO_000222,Northern,NO0222,,HEI,Heighington
NO_000223,Northern,NO0223,,HLD,Hellifield
NO_000224,Northern,NO0224,,HEL,Hensall
NO_000225,Northern,NO0225,,HES,Hessle
NO_000226,Northern,NO0226,,HEW,Heworth
NO_000227,Northern,NO0227,,HEX,Hexham
NO_000228,Northern,NO0228,,HHB,Heysham Port
NO_000229,Northern,NO0229,,HIN,Hindley
NO_000230,Northern,NO0230,,HCH,Holmes Chapel
NO_000231,Northern,NO0231,,HOY,Honley
NO_000232,Northern,NO0232,,HOP,Hope Derbyshire
NO_000233,Northern,NO0233,,HRE,Horden
NO_000234,Northern,NO0234,,HBP,Hornbeam Park
NO_000235,Northern,NO0235,,HRS,Horsforth
NO_000236,Northern,NO0236,,HIR,Horton-in-Ribblesdale
NO_000237,Northern,NO0237,,HSC,Hoscar
NO_000238,Northern,NO0238,,HGN,Hough Green
NO_000239,Northern,NO0239,,HOW,Howden
NO_000240,Northern,NO0240,,HUP,Humphrey Park
NO_000241,Northern,NO0241,,HCT,Huncoat
NO_000242,Northern,NO0242,,HUB,Hunmanby
NO_000243,Northern,NO0243,,HUT,Hutton Cranswick
NO_000244,Northern,NO0244,,HUY,Huyton
NO_000245,Northern,NO0245,,HYC,Hyde Central
NO_000246,Northern,NO0246,,HYT,Hyde North
NO_000247,Northern,NO0247,,ILK,Ilkley
NO_000248,Northern,NO0248,,INC,Ince (Manchester)
NO_000249,Northern,NO0249,,INE,Ince & Elton (Cheshire)
NO_000250,Northern,NO0250,,IRL,Irlam
NO_000251,Northern,NO0251,,JCH,James Cook University Hospital
NO_000252,Northern,NO0252,,KSL,Kearsley (Manchester)
NO_000253,Northern,NO0253,,KEI,Keighley
NO_000254,Northern,NO0254,,KEN,Kendal
NO_000255,Northern,NO0255,,KBK,Kents Bank
NO_000256,Northern,NO0256,,KLD,Kildale
NO_000257,Northern,NO0257,,KKS,Kirk Sandall
NO_000258,Northern,NO0258,,KSW,Kirkby Stephen
NO_000259,Northern,NO0259,,KBF,Kirkby-in-Furness
NO_000260,Northern,NO0260,,KKM,Kirkham & Wesham
NO_000261,Northern,NO0261,,KLF,Kirkstall Forge
NO_000262,Northern,NO0262,,KTL,Kirton Lindsey
NO_000263,Northern,NO0263,,KIV,Kiveton Bridge
NO_000264,Northern,NO0264,,KVP,Kiveton Park
NO_000265,Northern,NO0265,,KNA,Knaresborough
NO_000266,Northern,NO0266,,KNO,Knottingley
NO_000267,Northern,NO0267,,KNF,Knutsford
NO_000268,Northern,NO0268,,LHO,Langho
NO_000269,Northern,NO0269,,LGW,Langwathby
NO_000270,Northern,NO0270,,LAY,Layton (Lancs)
NO_000271,Northern,NO0271,,LZB,Lazonby & Kirkoswald
NO_000272,Northern,NO0272,,LEG,Lea Green
NO_000273,Northern,NO0273,,LHM,Lealholm
NO_000274,Northern,NO0274,,LVM,Levenshulme
NO_000275,Northern,NO0275,,LEY,Leyland
NO_000276,Northern,NO0276,,LTL,Littleborough
NO_000277,Northern,NO0277,,LCK,Lockwood
NO_000278,Northern,NO0278,,LPR,Long Preston
NO_000279,Northern,NO0279,,LGK,Longbeck
NO_000280,Northern,NO0280,,LOT,Lostock
NO_000281,Northern,NO0281,,LTG,Lostock Gralam
NO_000282,Northern,NO0282,,LOH,Lostock Hall
NO_000283,Northern,NO0283,,LMR,Low Moor
NO_000284,Northern,NO0284,,LTM,Lytham
NO_000285,Northern,NO0285,,MCO,Manchester Oxford Road
NO_000286,Northern,NO0286,,MUF,Manchester United Football Ground
NO_000287,Northern,NO0287,,MCV,Manchester Victoria
NO_000288,Northern,NO0288,,MAS,Manors
NO_000289,Northern,NO0289,,MPL,Marple
NO_000290,Northern,NO0290,,MSN,Marsden (Yorks)
NO_000291,Northern,NO0291,,MSK,Marske
NO_000292,Northern,NO0292,,MTO,Marton
NO_000293,Northern,NO0293,,MRY,Maryport
NO_000294,Northern,NO0294,,MAU,Mauldeth Road
NO_000295,Northern,NO0295,,MHS,Meadowhall
NO_000296,Northern,NO0296,,MNN,Menston
NO_000297,Northern,NO0297,,MEC,Meols Cop
NO_000298,Northern,NO0298,,MCE,MetroCentre
NO_000299,Northern,NO0299,,MEX,Mexborough
NO_000300,Northern,NO0300,,MIK,Micklefield
NO_000301,Northern,NO0301,,MDL,Middlewood
NO_000302,Northern,NO0302,,MLH,Mill Hill (Lancs)
NO_000303,Northern,NO0303,,MLM,Millom
NO_000304,Northern,NO0304,,MIH,Mills Hill (Manchester)
NO_000305,Northern,NO0305,,MIR,Mirfield
NO_000306,Northern,NO0306,,MOB,Mobberley
NO_000307,Northern,NO0307,,MSD,Moorside
NO_000308,Northern,NO0308,,MRP,Moorthorpe
NO_000309,Northern,NO0309,,MCM,Morecambe
NO_000310,Northern,NO0310,,MLY,Morley
NO_000311,Northern,NO0311,,MPT,Morpeth
NO_000312,Northern,NO0312,,MSS,Moses Gate
NO_000313,Northern,NO0313,,MOS,Moss Side
NO_000314,Northern,NO0314,,MSL,Mossley (Manchester)
NO_000315,Northern,NO0315,,MSH,Mossley Hill
NO_000316,Northern,NO0316,,MSO,Moston
NO_000317,Northern,NO0317,,MLD,Mouldsworth
NO_000318,Northern,NO0318,,MYT,Mytholmroyd
NO_000319,Northern,NO0319,,NFN,Nafferton
NO_000320,Northern,NO0320,,NVR,Navigation Road
NO_000321,Northern,NO0321,,NEL,Nelson
NO_000322,Northern,NO0322,,NRT,Nethertown
NO_000323,Northern,NO0323,,NLN,New Lane
NO_000324,Northern,NO0324,,NMC,New Mills Central
NO_000325,Northern,NO0325,,NMN,New Mills Newtown
NO_000326,Northern,NO0326,,NPD,New Pudsey
NO_000327,Northern,NO0327,,NWH,Newsham
NO_000328,Northern,NO0328,,NAY,Newton Aycliffe
NO_000329,Northern,NO0329,,NWN,Newton for Hyde
NO_000330,Northern,NO0330,,NLW,Newton-le-Willows
NO_000331,Northern,NO0331,,NOR,Normanton
NO_000332,Northern,NO0332,,NRD,North Road (Darlington)
NO_000333,Northern,NO0333,,NOP,Northumberland Park (Tyne & Wear)
NO_000334,Northern,NO0334,,NWI,Northwich
NO_000335,Northern,NO0335,,NNT,Nunthorpe
NO_000336,Northern,NO0336,,ORR,Orrell
NO_000337,Northern,NO0337,,OUT,Outwood
NO_000338,Northern,NO0338,,PDG,Padgate
NO_000339,Northern,NO0339,,PNL,Pannal
NO_000340,Northern,NO0340,,PBL,Parbold
NO_000341,Northern,NO0341,,PRN,Parton
NO_000342,Northern,NO0342,,PAT,Patricroft
NO_000343,Northern,NO0343,,PEG,Pegswood
NO_000344,Northern,NO0344,,PEM,Pemberton
NO_000345,Northern,NO0345,,PNS,Penistone
NO_000346,Northern,NO0346,,PLS,Pleasington
NO_000347,Northern,NO0347,,PLM,Plumley
NO_000348,Northern,NO0348,,PFR,Pontefract Baghill
NO_000349,Northern,NO0349,,PFM,Pontefract Monkhill
NO_000350,Northern,NO0350,,POT,Pontefract Tanshelf
NO_000351,Northern,NO0351,,POP,Poppleton
NO_000352,Northern,NO0352,,PFY,Poulton-le-Fylde
NO_000353,Northern,NO0353,,PYT,Poynton
NO_000354,Northern,NO0354,,PSC,Prescot
NO_000355,Northern,NO0355,,PRB,Prestbury
NO_000356,Northern,NO0356,,PRU,Prudhoe
NO_000357,Northern,NO0357,,RNF,Rainford
NO_000358,Northern,NO0358,,RNH,Rainhill
NO_000359,Northern,NO0359,,RGW,Ramsgreave & Wilpshire
NO_000360,Northern,NO0360,,RAV,Ravenglass for Eskdale
NO_000361,Northern,NO0361,,RVN,Ravensthorpe
NO_000362,Northern,NO0362,,RWC,Rawcliffe
NO_000363,Northern,NO0363,,RBS,Redcar British Steel
NO_000364,Northern,NO0364,,RCC,Redcar Central
NO_000365,Northern,NO0365,,RCE,Redcar East
NO_000366,Northern,NO0366,,RDN,Reddish North
NO_000367,Northern,NO0367,,RDS,Reddish South
NO_000368,Northern,NO0368,,RHD,Ribblehead
NO_000369,Northern,NO0369,,RDM,Riding Mill
NO_000370,Northern,NO0370,,RIS,Rishton
NO_000371,Northern,NO0371,,ROB,Roby
NO_000372,Northern,NO0372,,RCD,Rochdale
NO_000373,Northern,NO0373,,RML,Romiley
NO_000374,Northern,NO0374,,ROO,Roose
NO_000375,Northern,NO0375,,RSG,Rose Grove
NO_000376,Northern,NO0376,,RSH,Rose Hill Marple
NO_000377,Northern,NO0377,,RMC,Rotherham Central
NO_000378,Northern,NO0378,,RUF,Rufford
NO_000379,Northern,NO0379,,RUS,Ruswarp
NO_000380,Northern,NO0380,,RRB,Ryder Brow
NO_000381,Northern,NO0381,,SFD,Salford Central
NO_000382,Northern,NO0382,,SLD,Salford Crescent
NO_000383,Northern,NO0383,,SAE,Saltaire
NO_000384,Northern,NO0384,,SLB,Saltburn
NO_000385,Northern,NO0385,,SAM,Saltmarshe
NO_000386,Northern,NO0386,,SLW,Salwick
NO_000387,Northern,NO0387,,SNA,Sandal & Agbrigg
NO_000388,Northern,NO0388,,SDB,Sandbach
NO_000389,Northern,NO0389,,SNK,Sankey for Penketh
NO_000390,Northern,NO0390,,SEA,Seaham
NO_000391,Northern,NO0391,,SSC,Seascale
NO_000392,Northern,NO0392,,SEC,Seaton Carew
NO_000393,Northern,NO0393,,SEJ,Seaton Delaval
NO_000394,Northern,NO0394,,SEL,Sellafield
NO_000395,Northern,NO0395,,SET,Settle
NO_000396,Northern,NO0396,,SPY,Shepley
NO_000397,Northern,NO0397,,SIE,Sherburn-in-Elmet
NO_000398,Northern,NO0398,,SHD,Shildon
NO_000399,Northern,NO0399,,SHY,Shipley (Yorks)
NO_000400,Northern,NO0400,,SRO,Shireoaks
NO_000401,Northern,NO0401,,SIC,Silecroft
NO_000402,Northern,NO0402,,SLK,Silkstone Common
NO_000403,Northern,NO0403,,SVR,Silverdale
NO_000404,Northern,NO0404,,SKI,Skipton
NO_000405,Northern,NO0405,,SWT,Slaithwaite
NO_000406,Northern,NO0406,,SLH,Sleights
NO_000407,Northern,NO0407,,SMB,Smithy Bridge
NO_000408,Northern,NO0408,,SNI,Snaith
NO_000409,Northern,NO0409,,SBK,South Bank
NO_000410,Northern,NO0410,,SES,South Elmsall
NO_000411,Northern,NO0411,,SOM,South Milford
NO_000412,Northern,NO0412,,SOW,Sowerby Bridge
NO_000413,Northern,NO0413,,SQU,Squires Gate
NO_000414,Northern,NO0414,,SAS,St Annes-on-the-Sea
NO_000415,Northern,NO0415,,SBS,St Bees
NO_000416,Northern,NO0416,,SNH,St Helens Central
NO_000417,Northern,NO0417,,SHJ,St Helens Junction
NO_000418,Northern,NO0418,,SNT,Stanlow & Thornton
NO_000419,Northern,NO0419,,SBE,Starbeck
NO_000420,Northern,NO0420,,SVL,Staveley (Cumbria)
NO_000421,Northern,NO0421,,SON,Steeton & Silsden
NO_000422,Northern,NO0422,,SKS,Stocksfield
NO_000423,Northern,NO0423,,SSM,Stocksmoor
NO_000424,Northern,NO0424,,STK,Stockton
NO_000425,Northern,NO0425,,SHC,Streethouse
NO_000426,Northern,NO0426,,SRN,Strines
NO_000427,Northern,NO0427,,SYA,Styal
NO_000428,Northern,NO0428,,SUN,Sunderland
NO_000429,Northern,NO0429,,SNN,Swinton (Manchester)
NO_000430,Northern,NO0430,,SWN,Swinton (South Yorks)
NO_000431,Northern,NO0431,,TEA,Teesside Airport
NO_000432,Northern,NO0432,,THH,Thatto Heath
NO_000433,Northern,NO0433,,TNN,Thorne North
NO_000434,Northern,NO0434,,TNS,Thorne South
NO_000435,Northern,NO0435,,THC,Thurnscoe
NO_000436,Northern,NO0436,,TOD,Todmorden
NO_000437,Northern,NO0437,,TRA,Trafford Park
NO_000438,Northern,NO0438,,ULL,Ulleskelf
NO_000439,Northern,NO0439,,ULV,Ulverston
NO_000440,Northern,NO0440,,UPL,Upholland
NO_000441,Northern,NO0441,,URM,Urmston
NO_000442,Northern,NO0442,,WKK,Wakefield Kirkgate
NO_000443,Northern,NO0443,,WKD,Walkden
NO_000444,Northern,NO0444,,WDN,Walsden
NO_000445,Northern,NO0445,,WAC,Warrington Central
NO_000446,Northern,NO0446,,WAW,Warrington West
NO_000447,Northern,NO0447,,WAV,Wavertree Technology Park
NO_000448,Northern,NO0448,,WET,Weeton
NO_000449,Northern,NO0449,,WNN,Wennington
NO_000450,Northern,NO0450,,WSA,West Allerton
