station_id,station_name,crs,route,terminus,interchange,paddington_minutes,latitude,longitude,country,distance_from_paddington_km,distance_band,coastal,zone,county
STN_stapleton_road,Stapleton Road,SRD,Severn Beach Line,FALSE,FALSE,92,51.468052,-2.565747,england,165.5,long,FALSE,Bristol,Bristol
STN_starcross,Starcross,SCS,Great Western Main Line,FALSE,FALSE,145,50.627731,-3.447757,england,249,long,TRUE,Thames Valley,Devon
STN_swansea,Swansea,SWA,South Wales Main Line,FALSE,FALSE,155,51.625103,-3.941598,wales,260.5,long,FALSE,South Wales,South Wales
STN_swindon,Swindon,SWI,Great Western Main Line,FALSE,FALSE,50,51.565437,-1.786448,england,111.5,regional,FALSE,Thames Valley,Wiltshire
STN_taplow,Taplow,TAP,Great Western Main Line,FALSE,FALSE,27,51.523528,-0.681474,england,35,local,FALSE,Thames Valley,Berkshire
STN_taunton,Taunton,TAU,Great Western Main Line,FALSE,FALSE,110,51.023613,-3.102146,england,210.8,long,FALSE,Thames Valley,Somerset
STN_teignmouth,Teignmouth,TGM,Great Western Main Line,FALSE,FALSE,160,50.547993,-3.494712,england,255.8,long,TRUE,Thames Valley,Devon
STN_tilehurst,Tilehurst,TLH,Great Western Main Line,FALSE,FALSE,30,51.471333,-1.029754,england,59.3,regional,FALSE,Thames Valley,Berkshire
STN_tiverton_parkway,Tiverton Parkway,TVP,Great Western Main Line,FALSE,FALSE,125,50.917477,-3.359979,england,231.5,long,FALSE,Thames Valley,Devon
STN_topsham,Topsham,TOP,Exmouth Branch,FALSE,FALSE,155,50.685989,-3.4637,england,247.4,long,FALSE,Devon,Devon
STN_totnes,Totnes,TOT,Great Western Main Line,FALSE,FALSE,170,50.435623,-3.688317,england,273.6,long,FALSE,Thames Valley,Devon
STN_truro,Truro,TRU,Great Western Main Line,FALSE,TRUE,255,50.263603,-5.063017,england,369.9,remote,FALSE,Thames Valley,Cornwall
STN_twyford,Twyford,TWY,Great Western Main Line,FALSE,TRUE,30,51.475605,-0.86389,england,47.8,local,FALSE,Thames Valley,Berkshire
STN_umberleigh,Umberleigh,UMB,Tarka Line,FALSE,FALSE,182,50.996704,-3.982228,england,271.1,long,FALSE,Devon,Devon
STN_wargrave,Wargrave,WGV,Henley Branch,FALSE,FALSE,35,51.498217,-0.876589,england,48.5,local,FALSE,Thames Valley,Berkshire
STN_west_drayton,West Drayton,WDT,Great Western Main Line,FALSE,FALSE,20,51.509827,-0.472515,england,20.5,local,FALSE,Thames Valley,Greater London
STN_west_ealing,West Ealing,WEA,Greenford Branch,FALSE,FALSE,12,51.513123,-0.320792,england,10,local,FALSE,London,Greater London
STN_weston_super_mare,Weston-super-Mare,WSM,Great Western Main Line,FALSE,FALSE,105,51.34454,-2.972301,england,194.8,long,TRUE,Thames Valley,Somerset
STN_windsor_and_eton_central,Windsor & Eton Central,WNC,Windsor Branch,TRUE,FALSE,35,51.48275,-0.608806,england,30.2,local,FALSE,Thames Valley,Berkshire
