station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score
,Angmering,ANG,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
,Balcombe,BAL,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,18,0-30,2,8
,Balham,BAL,,,,,1,FALSE,,,,,,,,,,,,,,,2,2,medium,some,9,0-30,4,6
,Barnham,BAR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,27,0-30,2,8
,Basingstoke,BAS,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,44,30-60,2,8
,Bat & Ball,BAT,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,27,0-30,2,8
,Battle,BAT,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,81,60-120,2,8
,Berwick,BER,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
,Bexhill,BEX,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,76.5,60-120,2,8
,Bosham,BOS,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
,Brighton,BRI,,,,,1,TRUE,,,,,,,,,,,,,,,3,3,medium,some,18,0-30,6,4
,Burgess Hill,BUR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
,Carshalton,CAR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,45,30-60,2,8
,Chichester,CHI,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
,Clapham Junction,CLA,,,,,1,TRUE,,,,,,,,,,,,,,,4,4,high,many,4.5,0-30,8,2
,Collington,COL,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,72,60-120,2,8
,Cooden Beach,COO,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,67.5,60-120,2,8
,Cosham,COS,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,54,30-60,2,8
,Coulsdon South,COU,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,18,0-30,2,8
,Dunton Green,DUN,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
,Durrington-on-Sea,DUR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
,Earlswood,EAR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,22.5,0-30,2,8
,East Croydon,EAS,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,4.5,0-30,2,8
,Eastbourne,EAS,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,54,30-60,2,8
,Emsworth,EMS,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,36,30-60,2,8
,Etchingham,ETC,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,72,60-120,2,8
,Eynsford,EYN,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,13.5,0-30,2,8
,Falmer,FAL,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,27,0-30,2,8
,Fareham,FAR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,63,60-120,2,8
,Farningham Road,FAR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,9,0-30,2,8
,Fishbourne,FIS,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,36,30-60,2,8
,Ford,FOR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,31.5,30-60,2,8
,Frant,FRA,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,58.5,30-60,2,8
,Fratton,FRA,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,45,30-60,2,8
,Gatwick Airport,GAT,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,9,0-30,2,8
,Glynde,GLY,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,36,30-60,2,8
,Goring-by-Sea,GOR,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,36,30-60,2,8
,Hackbridge,HAC,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,40.5,30-60,2,8
,Hampden Park,HAM,,,,,0,FALSE,,,,,,,,,,,,,,,1,1,low,few,49.5,30-60,2,8
