station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km
CM001,London Marylebone,MYB,Chiltern Railways,Main Line,Greater London,51.52248,-0.163605,,,,Bekonscot Model Village,34.64,Oxford Castle,80.08,Coventry Cathedral,134.83,Roald Dahl Museum,42.64,National Trust Cliveden,36.38,Chiltern Hills,48.2
CM002,Wembley Stadium,WCX,Chiltern Railways,Main Line,Greater London,51.553993,-0.284958,,,,Bekonscot Model Village,25.89,Oxford Castle,71.23,Coventry Cathedral,126.63,Roald Dahl Museum,33.75,National Trust Cliveden,28.1,Chiltern Hills,39.3
CM003,South Ruislip,SRU,Chiltern Railways,Main Line,Greater London,51.556742,-0.398812,,,,Bekonscot Model Village,17.92,Oxford Castle,63.42,Coventry Cathedral,121.33,Roald Dahl Museum,26.81,National Trust Cliveden,19.83,Chiltern Hills,31.92
CM004,West Ruislip,WRU,Chiltern Railways,Main Line,Greater London,51.569708,-0.437812,,,,Bekonscot Model Village,14.93,Oxford Castle,60.42,Coventry Cathedral,118.56,Roald Dahl Museum,23.82,National Trust Cliveden,17.21,Chiltern Hills,28.89
CM005,Denham,DNM,Chiltern Railways,Main Line,Buckinghamshire,51.578495,-0.497633,,,,Bekonscot Model Village,9.38,Oxford Castle,54.9,Coventry Cathedral,114.46,Roald Dahl Museum,19.08,National Trust Cliveden,11.85,Chiltern Hills,23.7
CM006,Denham Golf Club,DGC,Chiltern Railways,Main Line,Buckinghamshire,51.580544,-0.517774,,,,Bekonscot Model Village,9.34,Oxford Castle,54.85,Coventry Cathedral,114.28,Roald Dahl Museum,18.92,National Trust Cliveden,11.95,Chiltern Hills,23.6
CM007,Gerrards Cross,GER,Chiltern Railways,Main Line,Buckinghamshire,51.588883,-0.555367,,,,Bekonscot Model Village,6.57,Oxford Castle,52.08,Coventry Cathedral,112.02,Roald Dahl Museum,16.5,National Trust Cliveden,9.69,Chiltern Hills,20.93
CM008,Seer Green & Jordans,SRG,Chiltern Railways,Main Line,Buckinghamshire,51.609524,-0.607809,,,,Bekonscot Model Village,2.65,Oxford Castle,47.87,Coventry Cathedral,107.96,Roald Dahl Museum,12.38,National Trust Cliveden,8.03,Chiltern Hills,16.59
CM009,Beaconsfield,BCF,Chiltern Railways,Main Line,Buckinghamshire,51.611141,-0.643644,,,,Bekonscot Model Village,0.43,Oxford Castle,45.48,Coventry Cathedral,106.49,Roald Dahl Museum,11.09,National Trust Cliveden,6.66,Chiltern Hills,14.6
CM010,High Wycombe,HWY,Chiltern Railways,Main Line,Buckinghamshire,51.629793,-0.745139,,,,Hughenden Manor,2.56,Oxford Castle,38.24,Coventry Cathedral,101.14,Roald Dahl Museum,8.62,Hughenden Manor,2.56,Chiltern Hills,8.76
CM011,Saunderton,SDR,Chiltern Railways,Main Line,Buckinghamshire,51.675751,-0.825626,,,,Chiltern Hills,3.27,Oxford Castle,31.37,Coventry Cathedral,93.94,Roald Dahl Museum,8.65,Hughenden Manor,5.06,Chiltern Hills,3.27
CM012,Princes Risborough,PRR,Chiltern Railways,Main Line,Buckinghamshire,51.717697,-0.844059,,,,Chiltern Hills,4.11,Oxford Castle,29.01,Coventry Cathedral,88.48,Roald Dahl Museum,9.68,Hughenden Manor,10.11,Chiltern Hills,4.11
CM013,Haddenham & Thame Parkway,HDM,Chiltern Railways,Main Line,Buckinghamshire,51.770788,-0.942121,,,,Waddesdon Manor,8.11,Oxford Castle,22.18,Coventry Cathedral,80.8,Roald Dahl Museum,17.75,Waddesdon Manor,8.11,Chiltern Hills,12.5
CM014,Bicester Village,BIT,Chiltern Railways,Main Line,Oxfordshire,51.893429,-1.148393,,,,Bicester Village,0.3,Oxford Castle,17.53,Coventry Cathedral,62.29,Oxford University Museum of Natural History,16.59,Blenheim Palace,15.46,Port Meadow,16.13
CM015,Kings Sutton,KGS,Chiltern Railways,Main Line,Northamptonshire,52.020184,-1.280066,,,,Bicester Heritage,14.99,Oxford Castle,29.6,Coventry Cathedral,46.05,Oxford University Museum of Natural History,28.85,Blenheim Palace,19.7,Wychwood Forest,26.25
CM016,Banbury,BAN,Chiltern Railways,Main Line,Oxfordshire,52.060925,-1.327541,,,,Bicester Heritage,20.67,Warwick Castle,30.02,Coventry Cathedral,40.59,Oxford University Museum of Natural History,33.85,Blenheim Palace,23.68,Wychwood Forest,27.83
CM017,Leamington Spa,LMS,Chiltern Railways,Main Line,Warwickshire,52.284893,-1.536723,,,,Warwick Castle,3.45,Warwick Castle,3.45,Coventry Cathedral,13.84,Coventry Transport Museum,13.99,Charlecote Park,12.09,Coombe Abbey Park,16.79
CM018,Warwick,WRW,Chiltern Railways,Main Line,Warwickshire,52.286861,-1.582155,,,,Warwick Castle,0.73,Warwick Castle,0.73,Coventry Cathedral,14.52,Coventry Transport Museum,14.58,Packwood House,10.78,Coombe Abbey Park,18.59
