station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,station_id,route_groups,route_count,service_count,service_density,route_diversity_band,region,is_interchange,is_terminus,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,time_from_london,canonical_time_to_london,time_band,time_group,is_high_speed,distance_band
Chalkwell,CHW,C2C_GA,,,51.538722717,0.6706052576,,,,,,,,,,,,,,,,C2_000005,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000005,,,,,False,
Chappel & Wakes Colne,CWC,Greater_Anglia,,,51.92592031,0.758518905,,,,,,,,,,,,,,,,GR_000028,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000028,,,,,False,
Chelmsford,CHM,Greater_Anglia,,,51.73638236,0.468580339,,,,,,,,,,,,,,,,GR_000029,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000029,,,,,False,
Cheshunt,CHN,Greater_Anglia,,,51.70287691,-0.023951585,,,,,,,,,,,,,,,,GR_000030,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000030,,,,,False,
Clacton-on-Sea,CLT,Greater_Anglia,,,51.79401273,1.154105287,,,,,,,,,,,,,,,,GR_000031,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000031,,,,,False,
Colchester,COL,Greater_Anglia,,,51.90061619,0.89347015,,,,,,,,,,,,,,,,GR_000032,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000032,,,,,False,
Colchester Town,CET,Greater_Anglia,,,51.8865294,0.904148555,,,,,,,,,,,,,,,,GR_000033,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000033,,,,,False,
Cressing (Essex),CES,Greater_Anglia,,,51.85234942,0.577973167,,,,,,,,,,,,,,,,GR_000034,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000034,,,,,False,
Cromer,CMR,Greater_Anglia,,,52.9301088,1.292833615,,,,,,,,,,,,,,,,GR_000035,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000035,,,,,False,
Dagenham Dock,DDK,C2C_GA,,,51.5262934247,0.1450431938,,,,,,,,,,,,,,,,C2_000006,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000006,,,,,False,
Darsham,DSM,Greater_Anglia,,,52.27301314,1.523482074,,,,,,,,,,,,,,,,GR_000036,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000036,,,,,False,
Derby Road (Ipswich),DBR,Greater_Anglia,,,52.05057196,1.182659486,,,,,,,,,,,,,,,,GR_000037,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000037,,,,,False,
Diss,DIS,Greater_Anglia,,,52.37367539,1.123713427,,,,,,,,,,,,,,,,GR_000038,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000038,,,,,False,
Dovercourt,DVC,Greater_Anglia,,,51.93875208,1.280629166,,,,,,,,,,,,,,,,GR_000039,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000039,,,,,False,
Dullingham,DUL,Greater_Anglia,,,52.20166503,0.366671696,,,,,,,,,,,,,,,,GR_000040,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000040,,,,,False,
East Tilbury,ETL,C2C_GA,,,51.4848340787,0.4129328582,,,,,,,,,,,,,,,,C2_000007,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000007,,,,,False,
Eccles Road,ECS,Greater_Anglia,,,52.47090467,0.969929467,,,,,,,,,,,,,,,,GR_000041,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000041,,,,,False,
Elmswell,ESW,Greater_Anglia,,,52.23805444,0.912598515,,,,,,,,,,,,,,,,GR_000042,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000042,,,,,False,
Elsenham (Essex),ESM,Greater_Anglia,,,51.92055206,0.228072408,,,,,,,,,,,,,,,,GR_000043,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000043,,,,,False,
Ely,ELY,Greater_Anglia,,,52.39124961,0.266833823,,,,,,,,,,,,,,,,GR_000044,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000044,,,,,False,
Enfield Lock,ENL,Greater_Anglia,,,51.67088281,-0.02833834,,,,,,,,,,,,,,,,GR_000045,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000045,,,,,False,
Felixstowe,FLX,Greater_Anglia,,,51.96708668,1.35045546,,,,,,,,,,,,,,,,GR_000046,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000046,,,,,False,
Frinton-on-Sea,FRI,Greater_Anglia,,,51.83769342,1.243187057,,,,,,,,,,,,,,,,GR_000047,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000047,,,,,False,
Grays,GRY,C2C_GA,,,51.4762505757,0.3218346029,,,,,,,,,,,,,,,,C2_000008,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000008,,,,,False,
Great Bentley,GRB,Greater_Anglia,,,51.85177166,1.065164898,,,,,,,,,,,,,,,,GR_000048,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000048,,,,,False,
Great Chesterford,GRC,Greater_Anglia,,,52.05982142,0.193523039,,,,,,,,,,,,,,,,GR_000049,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000049,,,,,False,
Great Yarmouth,GYM,Greater_Anglia,,,52.61218298,1.720906278,,,,,,,,,,,,,,,,GR_000050,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000050,,,,,False,
Gunton,GNT,Greater_Anglia,,,52.86613631,1.348766988,,,,,,,,,,,,,,,,GR_000051,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000051,,,,,False,
Haddiscoe,HAD,Greater_Anglia,,,52.52889004,1.622411116,,,,,,,,,,,,,,,,GR_000052,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000052,,,,,False,
Halesworth,HAS,Greater_Anglia,,,52.34669719,1.505698126,,,,,,,,,,,,,,,,GR_000053,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000053,,,,,False,
Harling Road,HRD,Greater_Anglia,,,52.45371021,0.909152671,,,,,,,,,,,,,,,,GR_000054,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000054,,,,,False,
Harlow Mill,HWM,Greater_Anglia,,,51.79036827,0.132320656,,,,,,,,,,,,,,,,GR_000055,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000055,,,,,False,
Harlow Town,HWN,Greater_Anglia,,,51.78107298,0.095143791,,,,,,,,,,,,,,,,GR_000056,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000056,,,,,False,
Harwich International,HPQ,Greater_Anglia,,,51.9473035,1.25514186,,,,,,,,,,,,,,,,GR_000057,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000057,,,,,False,
Harwich Town,HWC,Greater_Anglia,,,51.94415922,1.286700168,,,,,,,,,,,,,,,,GR_000058,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000058,,,,,False,
Hatfield Peverel,HAP,Greater_Anglia,,,51.779875,0.592135742,,,,,,,,,,,,,,,,GR_000059,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000059,,,,,False,
Hertford East,HFE,Greater_Anglia,,,51.79903842,-0.07293406,,,,,,,,,,,,,,,,GR_000060,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000060,,,,,False,
Hockley,HOC,Greater_Anglia,,,51.60356168,0.65901386,,,,,,,,,,,,,,,,GR_000061,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000061,,,,,False,
Hoveton & Wroxham,HXM,Greater_Anglia,,,52.71559814,1.408008889,,,,,,,,,,,,,,,,GR_000062,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000062,,,,,False,
Hythe (Essex),HYH,Greater_Anglia,,,51.88565263,0.927535333,,,,,,,,,,,,,,,,GR_000063,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000063,,,,,False,
Ingatestone,INT,Greater_Anglia,,,51.66705103,0.384252139,,,,,,,,,,,,,,,,GR_000064,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000064,,,,,False,
Ipswich,IPS,Greater_Anglia,,,52.05060957,1.144440623,,,,,,,,,,,,,,,,GR_000065,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000065,,,,,False,
Kelvedon,KEL,Greater_Anglia,,,51.84071438,0.702401142,,,,,,,,,,,,,,,,GR_000066,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000066,,,,,False,
Kennett,KNE,Greater_Anglia,,,52.27728025,0.490476315,,,,,,,,,,,,,,,,GR_000067,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000067,,,,,False,
Kirby Cross,KBX,Greater_Anglia,,,51.84140899,1.215008216,,,,,,,,,,,,,,,,GR_000068,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000068,,,,,False,
Laindon,LAI,C2C_GA,,,51.5677669135,0.4236436899,,,,,,,,,,,,,,,,C2_000009,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000009,,,,,False,
Lakenheath,LAK,Greater_Anglia,,,52.4475127,0.533892607,,,,,,,,,,,,,,,,GR_000069,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000069,,,,,False,
Lea Bridge,LEB,Greater_Anglia,,,51.567669,-0.035556,,,,,,,,,,,,,,,,GR_000070,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000070,,,,,False,
Leigh-on-Sea,LES,C2C_GA,,,51.5413668098,0.6404283175,,,,,,,,,,,,,,,,C2_000010,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000010,,,,,False,
Limehouse,LHS,C2C_GA,,,51.512794432,-0.0393527349,,,,,,,,,,,,,,,,C2_000011,[nan],1,1,low,single,,False,False,single,False,True,False,C2_000011,,,,,False,
Lingwood,LGD,Greater_Anglia,,,52.62223679,1.489863333,,,,,,,,,,,,,,,,GR_000071,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000071,,,,,False,
London Fenchurch Street,FST,C2C_GA,,,51.51157341,-0.078591579,,,,,,,,,,,,,,,,C2_000012,[nan],1,1,low,single,,False,False,multiple,False,True,False,C2_000012,,,,,False,
Lowestoft,LWT,Greater_Anglia,,,52.47445691,1.749727847,,,,,,,,,,,,,,,,GR_000072,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000072,,,,,False,
Manea,MNE,Greater_Anglia,,,52.49785289,0.177697575,,,,,,,,,,,,,,,,GR_000073,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000073,,,,,False,
Manningtree,MNG,Greater_Anglia,,,51.94906612,1.045251421,,,,,,,,,,,,,,,,GR_000074,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000074,,,,,False,
March,MCH,Greater_Anglia,,,52.55990987,0.091199581,,,,,,,,,,,,,,,,GR_000075,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000075,,,,,False,
Marks Tey,MKT,Greater_Anglia,,,51.88095194,0.783345532,,,,,,,,,,,,,,,,GR_000076,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000076,,,,,False,
Melton (Suffolk),MES,Greater_Anglia,,,52.10445728,1.338257583,,,,,,,,,,,,,,,,GR_000077,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000077,,,,,False,
Meridian Water,MRW,Greater_Anglia,,,51.6110012,-0.0493156,,,,,,,,,,,,,,,,GR_000078,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000078,,,,,False,
Mistley,MIS,Greater_Anglia,,,51.94364535,1.081412598,,,,,,,,,,,,,,,,GR_000079,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000079,,,,,False,
Needham Market,NMT,Greater_Anglia,,,52.15260095,1.05527234,,,,,,,,,,,,,,,,GR_000080,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000080,,,,,False,
Newmarket,NMK,Greater_Anglia,,,52.23795928,0.406217482,,,,,,,,,,,,,,,,GR_000081,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000081,,,,,False,
Newport (Essex),NWE,Greater_Anglia,,,51.97987781,0.215142617,,,,,,,,,,,,,,,,GR_000082,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000082,,,,,False,
North Fambridge,NFA,Greater_Anglia,,,51.64859041,0.681672508,,,,,,,,,,,,,,,,GR_000083,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000083,,,,,False,
North Walsham,NWA,Greater_Anglia,,,52.81691581,1.384466116,,,,,,,,,,,,,,,,GR_000084,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000084,,,,,False,
Northumberland Park London,NUM,Greater_Anglia,,,51.60170041,-0.05357565,,,,,,,,,,,,,,,,GR_000085,[nan],1,1,low,single,,False,False,multiple,False,True,False,GR_000085,,,,,False,
Norwich,NRW,Greater_Anglia,,,52.62717818,1.306828331,,,,,,,,,,,,,,,,GR_000086,[nan],1,1,low,single,,False,False,single,False,True,False,GR_000086,,,,,False,
